,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
0,KGZ,2022,,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
1,KGZ,2021,2334.9,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
2,KGZ,2020,3260.4,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
3,KGZ,2019,3233.9,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
4,KGZ,2018,3162.2,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
5,KGZ,2017,3093.4,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
6,KGZ,2016,3104.2,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
7,KGZ,2015,2999.0,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
8,KGZ,2014,2276.3,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
9,KGZ,2013,2904.0,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
10,KGZ,2012,2367.1,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
11,KGZ,2011,2603.1,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
12,KGZ,2010,2610.5,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
13,KGZ,2009,3034.2,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
14,KGZ,2008,2380.2,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
15,KGZ,2007,2512.9,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
16,KGZ,2006,2550.6,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
17,KGZ,2005,2677.9,,,0,AG.YLD.CREL.KG,Cereal yield (kg per hectare),KG,Kyrgyz Republic
