,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
0,TJK,2022,,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
1,TJK,2021,0.960845884589944,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
2,TJK,2020,1.30974719340915,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
3,TJK,2019,2.56373022995454,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
4,TJK,2018,2.84432481729144,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
5,TJK,2017,2.46571436621114,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
6,TJK,2016,3.45541562095808,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
7,TJK,2015,5.48890562047009,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
8,TJK,2014,3.58400233865329,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
9,TJK,2013,3.35138475303477,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
10,TJK,2012,3.1669696462665,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
11,TJK,2011,2.23654237934096,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
12,TJK,2010,1.6649715827839,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
13,TJK,2009,2.99349511833143,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
14,TJK,2008,9.42806695791495,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
15,TJK,2007,9.67782773499735,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
16,TJK,2006,11.9646993761248,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
17,TJK,2005,2.35603733216774,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
18,TJK,2004,13.1021769583124,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
19,TJK,2003,2.03495592850842,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
20,TJK,2002,2.95354890646757,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
21,TJK,2001,0.878578199547547,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
22,TJK,2000,2.73593516440197,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
23,TJK,1999,0.616866133547955,,,1,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",TJ,Tajikistan
