,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
0,KAZ,2022,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
1,KAZ,2021,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
2,KAZ,2020,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
3,KAZ,2019,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
4,KAZ,2018,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
5,KAZ,2017,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
6,KAZ,2016,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
7,KAZ,2015,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
8,KAZ,2014,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
9,KAZ,2013,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
10,KAZ,2012,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
11,KAZ,2011,99.7974700927734,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
12,KAZ,2010,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
13,KAZ,2009,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
14,KAZ,2008,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
15,KAZ,2007,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
16,KAZ,2006,99.7665481567383,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
17,KAZ,2005,100.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
18,KAZ,2004,99.9599990844727,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
19,KAZ,2003,99.9199981689453,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
20,KAZ,2002,99.8099975585938,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
21,KAZ,2001,99.6500015258789,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
22,KAZ,2000,99.5095596313477,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
23,KAZ,1999,97.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
24,KAZ,1998,99.3427505493164,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
25,KAZ,1997,99.2694702148438,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
26,KAZ,1996,99.1921157836914,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
27,KAZ,1995,99.9,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
28,KAZ,1994,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
29,KAZ,1993,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
30,KAZ,1992,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
31,KAZ,1991,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
32,KAZ,1990,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
33,KAZ,1989,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
34,KAZ,1988,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
35,KAZ,1987,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
36,KAZ,1986,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
37,KAZ,1985,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
38,KAZ,1984,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
39,KAZ,1983,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
40,KAZ,1982,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
41,KAZ,1981,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
42,KAZ,1980,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
43,KAZ,1979,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
44,KAZ,1978,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
45,KAZ,1977,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
46,KAZ,1976,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
47,KAZ,1975,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
48,KAZ,1974,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
49,KAZ,1973,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KZ,Kazakhstan
