,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
0,TKM,2022,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
1,TKM,2021,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
2,TKM,2020,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
3,TKM,2019,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
4,TKM,2018,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
5,TKM,2017,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
6,TKM,2016,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
7,TKM,2015,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
8,TKM,2014,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
9,TKM,2013,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
10,TKM,2012,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
11,TKM,2011,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
12,TKM,2010,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
13,TKM,2009,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
14,TKM,2008,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
15,TKM,2007,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
16,TKM,2006,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
17,TKM,2005,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
18,TKM,2004,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
19,TKM,2003,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
20,TKM,2002,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
21,TKM,2001,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
22,TKM,2000,0.0,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
23,TKM,1999,0.0564334085778781,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
24,TKM,1998,0.0637213254035684,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
25,TKM,1997,0.0526426616129712,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
26,TKM,1996,0.0495049504950495,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
27,TKM,1995,0.0408163265306122,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
28,TKM,1994,0.038109756097561,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
29,TKM,1993,0.0395663527736013,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
30,TKM,1992,0.0303421072593492,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
31,TKM,1991,4.69798657718121,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
32,TKM,1990,4.79123887748118,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
33,TKM,1989,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
34,TKM,1988,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
35,TKM,1987,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
36,TKM,1986,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
37,TKM,1985,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
38,TKM,1984,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
39,TKM,1983,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),TM,Turkmenistan
