,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
0,UZB,2022,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
1,UZB,2021,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
2,UZB,2020,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
3,UZB,2019,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
4,UZB,2018,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
5,UZB,2017,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
6,UZB,2016,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
7,UZB,2015,20.6529329608939,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
8,UZB,2014,21.3537906137184,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
9,UZB,2013,21.3284132841328,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
10,UZB,2012,21.352380952381,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
11,UZB,2011,19.5419847328244,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
12,UZB,2010,20.9787234042553,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
13,UZB,2009,18.6786786786787,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
14,UZB,2008,22.995951417004,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
15,UZB,2007,13.0745658835546,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
16,UZB,2006,17.9890023566379,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
17,UZB,2005,17.5406504065041,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
18,UZB,2004,18.02,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
19,UZB,2003,15.4251012145749,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
20,UZB,2002,12.5451226931657,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
21,UZB,2001,12.5456099747712,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
22,UZB,2000,12.5448105155343,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
23,UZB,1999,12.5451820506039,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
24,UZB,1998,12.5446623093682,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
25,UZB,1997,12.5439701220307,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
26,UZB,1996,14.3662343952971,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
27,UZB,1995,13.0402714264641,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
28,UZB,1994,14.9707112970711,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
29,UZB,1993,14.9708030682211,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
30,UZB,1992,12.3372159258314,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
31,UZB,1991,11.1344964460445,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
32,UZB,1990,11.8029294274301,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
33,UZB,1989,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
34,UZB,1988,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
35,UZB,1987,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
36,UZB,1986,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
37,UZB,1985,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
38,UZB,1984,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
39,UZB,1983,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
40,UZB,1982,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
41,UZB,1981,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
42,UZB,1980,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
43,UZB,1979,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
44,UZB,1978,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
45,UZB,1977,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
46,UZB,1976,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
47,UZB,1975,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
48,UZB,1974,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
49,UZB,1973,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
50,UZB,1972,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
51,UZB,1971,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
52,UZB,1970,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
53,UZB,1969,,,,2,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),UZ,Uzbekistan
