,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
0,UZB,2022,,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
1,UZB,2021,,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
2,UZB,2020,,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
3,UZB,2019,,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
4,UZB,2018,,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
5,UZB,2017,,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
6,UZB,2016,,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
7,UZB,2015,,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
8,UZB,2014,1645.44162925056,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
9,UZB,2013,1637.19447677494,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
10,UZB,2012,1610.80790609414,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
11,UZB,2011,1631.5262070799,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
12,UZB,2010,1653.46749572865,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
13,UZB,2009,1643.14988079547,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
14,UZB,2008,1652.6510101528,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
15,UZB,2007,1664.06133690636,,,0,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),UZ,Uzbekistan
