Year,Sex,Age,Degree of urbanisation,Economic activity,Value,M49_country_code
2015,,,,,22.971916,KGZ
2016,,,,,18.3,KGZ
2017,,,,,18.0,KGZ
2018,,,,,15.5,KGZ
2019,,,,,13.2,KGZ
2020,,,,,17.2,KGZ
2021,,,,,24.7,KGZ
2015,Male,,,,24.625381,KGZ
2016,Male,,,,19.7,KGZ
2017,Male,,,,20.0,KGZ
2018,Male,,,,16.6,KGZ
2019,Male,,,,14.9,KGZ
2020,Male,,,,18.7,KGZ
2021,Male,,,,26.3,KGZ
2015,Female,,,,20.568799,KGZ
2016,Female,,,,16.0,KGZ
2017,Female,,,,14.8,KGZ
2018,Female,,,,13.6,KGZ
2019,Female,,,,10.5,KGZ
2020,Female,,,,14.9,KGZ
2021,Female,,,,22.0,KGZ
2015,,15 to 19 years old,,,23.727492,KGZ
2016,,15 to 19 years old,,,18.981762,KGZ
2017,,15 to 19 years old,,,14.748617,KGZ
2018,,15 to 19 years old,,,12.569312,KGZ
2019,,15 to 19 years old,,,6.6,KGZ
2020,,15 to 19 years old,,,11.4,KGZ
2021,,15 to 19 years old,,,18.0,KGZ
2015,,20 to 24 years old,,,19.900404,KGZ
2016,,20 to 24 years old,,,18.030501,KGZ
2017,,20 to 24 years old,,,13.948053,KGZ
2018,,20 to 24 years old,,,10.713886,KGZ
2019,,20 to 24 years old,,,8.1,KGZ
2020,,20 to 24 years old,,,8.9,KGZ
2021,,20 to 24 years old,,,17.2,KGZ
2015,,25 to 29 years old,,,20.936837,KGZ
2016,,25 to 29 years old,,,17.480642,KGZ
2017,,25 to 29 years old,,,18.451453,KGZ
2018,,25 to 29 years old,,,15.81122,KGZ
2019,,25 to 29 years old,,,11.1,KGZ
2020,,25 to 29 years old,,,15.3,KGZ
2021,,25 to 29 years old,,,23.2,KGZ
2015,,30 to 34 years old,,,31.941974,KGZ
2016,,30 to 34 years old,,,22.514499,KGZ
2017,,30 to 34 years old,,,22.859646,KGZ
2018,,30 to 34 years old,,,18.364477,KGZ
2019,,30 to 34 years old,,,17.1,KGZ
2020,,30 to 34 years old,,,22.1,KGZ
2021,,30 to 34 years old,,,29.1,KGZ
2015,,35 to 39 years old,,,33.358438,KGZ
2016,,35 to 39 years old,,,27.556783,KGZ
2017,,35 to 39 years old,,,26.449237,KGZ
2018,,35 to 39 years old,,,23.421118,KGZ
2019,,35 to 39 years old,,,25.0,KGZ
2020,,35 to 39 years old,,,27.5,KGZ
2021,,35 to 39 years old,,,34.2,KGZ
2015,,40 to 44 years old,,,27.540969,KGZ
