Year,SERIES,Value,M49_country_code
2007,Proportion of population receiving retirement benefits to total population,10.1,KGZ
2008,Proportion of population receiving retirement benefits to total population,10.6,KGZ
2009,Proportion of population receiving retirement benefits to total population,10.527481,KGZ
2010,Proportion of population receiving retirement benefits to total population,10.608791,KGZ
2011,Proportion of population receiving retirement benefits to total population,10.838101,KGZ
2012,Proportion of population receiving retirement benefits to total population,11.043937,KGZ
2013,Proportion of population receiving retirement benefits to total population,10.825698,KGZ
2014,Proportion of population receiving retirement benefits to total population,10.759191,KGZ
2015,Proportion of population receiving retirement benefits to total population,10.746011,KGZ
2016,Proportion of population receiving retirement benefits to total population,10.768411,KGZ
2017,Proportion of population receiving retirement benefits to total population,10.760094,KGZ
2018,Proportion of population receiving retirement benefits to total population,10.874701,KGZ
2019,Proportion of population receiving retirement benefits to total population,10.95936,KGZ
2020,Proportion of population receiving retirement benefits to total population,11.086874,KGZ
2021,Proportion of population receiving retirement benefits to total population,11.239761,KGZ
2007,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,8.277782,KGZ
2008,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,6.836681,KGZ
2009,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,6.915016,KGZ
2010,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,6.6,KGZ
2011,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,6.879721,KGZ
2012,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,6.187625,KGZ
2013,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,5.8,KGZ
2014,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,5.3,KGZ
2015,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,5.1,KGZ
2016,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,4.5,KGZ
2017,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,4.7,KGZ
2018,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,4.5,KGZ
2019,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,4.7,KGZ
2020,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,5.1,KGZ
2021,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,5.328736,KGZ
2007,Proportion of population receiving social assistance,1.124026,KGZ
2008,Proportion of population receiving social assistance,1.150702,KGZ
2009,Proportion of population receiving social assistance,1.176048,KGZ
2010,Proportion of population receiving social assistance,1.2,KGZ
2011,Proportion of population receiving social assistance,1.287183,KGZ
2012,Proportion of population receiving social assistance,1.283635,KGZ
2013,Proportion of population receiving social assistance,1.3,KGZ
2014,Proportion of population receiving social assistance,1.3,KGZ
2015,Proportion of population receiving social assistance,1.3,KGZ
2016,Proportion of population receiving social assistance,1.4,KGZ
2017,Proportion of population receiving social assistance,1.4,KGZ
2018,Proportion of population receiving social assistance,1.4,KGZ
2019,Proportion of population receiving social assistance,1.4,KGZ
2020,Proportion of population receiving social assistance,1.4,KGZ
2021,Proportion of population receiving social assistance,1.46836,KGZ
