Year,UNIT_MEASURE,SERIES,Value,M49_country_code,Территория,Пол,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",145.0,KAZ,,,,,,,
2010.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.89,KAZ,,,,,,,
2010.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",53.0,KAZ,,,,,,,
2010.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.32,KAZ,,,,,,,
2011.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",12.0,KAZ,,,,,,,
2011.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.07,KAZ,,,,,,,
2011.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",5.0,KAZ,,,,,,,
2011.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.03,KAZ,,,,,,,
2012.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",20.0,KAZ,,,,,,,
2012.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.12,KAZ,,,,,,,
2012.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",15.0,KAZ,,,,,,,
2012.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.09,KAZ,,,,,,,
2013.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",12.0,KAZ,,,,,,,
2013.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.07,KAZ,,,,,,,
2013.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",3.0,KAZ,,,,,,,
2013.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.02,KAZ,,,,,,,
2014.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",19.0,KAZ,,,,,,,
2014.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.11,KAZ,,,,,,,
2014.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",9.0,KAZ,,,,,,,
2014.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.05,KAZ,,,,,,,
2015.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",8.0,KAZ,,,,,,,
2015.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.05,KAZ,,,,,,,
2015.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",0.0,KAZ,,,,,,,
2015.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.0,KAZ,,,,,,,
2016.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",8.0,KAZ,,,,,,,
2016.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.04,KAZ,,,,,,,
2016.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",1.0,KAZ,,,,,,,
2016.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.006,KAZ,,,,,,,
2017.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",35.0,KAZ,,,,,,,
2017.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.19,KAZ,,,,,,,
2017.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",11.0,KAZ,,,,,,,
2017.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.06,KAZ,,,,,,,
2018.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",8.0,KAZ,,,,,,,
2018.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.044,KAZ,,,,,,,
2018.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",1.0,KAZ,,,,,,,
2018.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.005,KAZ,,,,,,,
2019.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",9.0,KAZ,,,,,,,
2019.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.049,KAZ,,,,,,,
2019.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",2.0,KAZ,,,,,,,
2019.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.011,KAZ,,,,,,,
2020.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",15.0,KAZ,,,,,,,
2020.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.08,KAZ,,,,,,,
2020.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",5.0,KAZ,,,,,,,
2020.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.03,KAZ,,,,,,,
2021.0,persons,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",24.0,KAZ,,,,,,,
2021.0,persons,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.13,KAZ,,,,,,,
2021.0,persons,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",7.0,KAZ,,,,,,,
2021.0,persons,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.04,KAZ,,,,,,,
2007.0,,,93.0,KGZ,,,,,,,
2008.0,,,281.0,KGZ,,,,,,,
2009.0,,,71.0,KGZ,,,,,,,
2010.0,,,158.0,KGZ,,,,,,,
2011.0,,,140.0,KGZ,,,,,,,
2012.0,,,99.0,KGZ,,,,,,,
2013.0,,,95.0,KGZ,,,,,,,
2014.0,,,62.0,KGZ,,,,,,,
2015.0,,,53.0,KGZ,,,,,,,
2016.0,,,47.0,KGZ,,,,,,,
2017.0,,,141.0,KGZ,,,,,,,
2018.0,,,18.0,KGZ,,,,,,,
2019.0,,,17.0,KGZ,,,,,,,
2020.0,,,51.0,KGZ,,,,,,,
2021.0,,,109.0,KGZ,,,,,,,
2007.0,,,74.0,KGZ,,Мужчины,,,,,
2008.0,,,184.0,KGZ,,Мужчины,,,,,
2009.0,,,48.0,KGZ,,Мужчины,,,,,
2010.0,,,106.0,KGZ,,Мужчины,,,,,
2011.0,,,93.0,KGZ,,Мужчины,,,,,
2012.0,,,65.0,KGZ,,Мужчины,,,,,
2013.0,,,62.0,KGZ,,Мужчины,,,,,
2014.0,,,39.0,KGZ,,Мужчины,,,,,
2015.0,,,33.0,KGZ,,Мужчины,,,,,
2016.0,,,37.0,KGZ,,Мужчины,,,,,
2017.0,,,85.0,KGZ,,Мужчины,,,,,
2018.0,,,14.0,KGZ,,Мужчины,,,,,
2019.0,,,8.0,KGZ,,Мужчины,,,,,
2020.0,,,29.0,KGZ,,Мужчины,,,,,
2021.0,,,74.0,KGZ,,Мужчины,,,,,
2007.0,,,19.0,KGZ,,Женщины,,,,,
2008.0,,,97.0,KGZ,,Женщины,,,,,
2009.0,,,23.0,KGZ,,Женщины,,,,,
2010.0,,,52.0,KGZ,,Женщины,,,,,
2011.0,,,47.0,KGZ,,Женщины,,,,,
2012.0,,,34.0,KGZ,,Женщины,,,,,
2013.0,,,33.0,KGZ,,Женщины,,,,,
2014.0,,,23.0,KGZ,,Женщины,,,,,
2015.0,,,20.0,KGZ,,Женщины,,,,,
2016.0,,,10.0,KGZ,,Женщины,,,,,
2017.0,,,56.0,KGZ,,Женщины,,,,,
2018.0,,,4.0,KGZ,,Женщины,,,,,
2019.0,,,9.0,KGZ,,Женщины,,,,,
2020.0,,,22.0,KGZ,,Женщины,,,,,
