Year,UNIT_MEASURE,SERIES,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,_L_KZ_010a02_1B,12.9,KAZ,,,,,
2010.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.0,KAZ,,,,,
2010.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",10.7,KAZ,,,,,
2010.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",17.4,KAZ,,,,,
2010.0,Percent,_L_KZ_010a02_1A,4.7,KAZ,,,,,
2011.0,Percent,_L_KZ_010a02_1B,11.0,KAZ,,,,,
2011.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",16.2,KAZ,,,,,
2011.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",10.0,KAZ,,,,,
2011.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",18.1,KAZ,,,,,
2011.0,Percent,_L_KZ_010a02_1A,3.8,KAZ,,,,,
2012.0,Percent,_L_KZ_010a02_1B,11.3,KAZ,,,,,
2012.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",17.1,KAZ,,,,,
2012.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",10.3,KAZ,,,,,
2012.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",17.5,KAZ,,,,,
2012.0,Percent,_L_KZ_010a02_1A,3.4,KAZ,,,,,
2013.0,Percent,_L_KZ_010a02_1B,10.4,KAZ,,,,,
2013.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",16.6,KAZ,,,,,
2013.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",10.6,KAZ,,,,,
2013.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",18.5,KAZ,,,,,
2013.0,Percent,_L_KZ_010a02_1A,3.5,KAZ,,,,,
2014.0,Percent,_L_KZ_010a02_1B,10.2,KAZ,,,,,
2014.0,Percent,"Proportion of total government spending on essential services, education [1.a.2]",15.4,KAZ,,,,,
2014.0,Percent,"Proportion of total government spending on essential services, health [1.a.2]",9.7,KAZ,,,,,
2014.0,Percent,"Proportion of total government spending on essential services, social protection [1.a.2]",17.8,KAZ,,,,,
2014.0,Percent,_L_KZ_010a02_1A,3.4,KAZ,,,,,
