Year,Территория,Пол,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2007.0,,,93.0,KGZ,,,,,
2008.0,,,281.0,KGZ,,,,,
2009.0,,,71.0,KGZ,,,,,
2010.0,,,158.0,KGZ,,,,,
2011.0,,,140.0,KGZ,,,,,
2012.0,,,99.0,KGZ,,,,,
2013.0,,,95.0,KGZ,,,,,
2014.0,,,62.0,KGZ,,,,,
2015.0,,,53.0,KGZ,,,,,
2016.0,,,47.0,KGZ,,,,,
2017.0,,,141.0,KGZ,,,,,
2018.0,,,18.0,KGZ,,,,,
2019.0,,,17.0,KGZ,,,,,
2020.0,,,51.0,KGZ,,,,,
2021.0,,,109.0,KGZ,,,,,
2007.0,,Мужчины,74.0,KGZ,,,,,
2008.0,,Мужчины,184.0,KGZ,,,,,
2009.0,,Мужчины,48.0,KGZ,,,,,
2010.0,,Мужчины,106.0,KGZ,,,,,
2011.0,,Мужчины,93.0,KGZ,,,,,
2012.0,,Мужчины,65.0,KGZ,,,,,
2013.0,,Мужчины,62.0,KGZ,,,,,
2014.0,,Мужчины,39.0,KGZ,,,,,
2015.0,,Мужчины,33.0,KGZ,,,,,
2016.0,,Мужчины,37.0,KGZ,,,,,
2017.0,,Мужчины,85.0,KGZ,,,,,
2018.0,,Мужчины,14.0,KGZ,,,,,
2019.0,,Мужчины,8.0,KGZ,,,,,
2020.0,,Мужчины,29.0,KGZ,,,,,
2021.0,,Мужчины,74.0,KGZ,,,,,
2007.0,,Женщины,19.0,KGZ,,,,,
2008.0,,Женщины,97.0,KGZ,,,,,
2009.0,,Женщины,23.0,KGZ,,,,,
2010.0,,Женщины,52.0,KGZ,,,,,
2011.0,,Женщины,47.0,KGZ,,,,,
2012.0,,Женщины,34.0,KGZ,,,,,
2013.0,,Женщины,33.0,KGZ,,,,,
2014.0,,Женщины,23.0,KGZ,,,,,
2015.0,,Женщины,20.0,KGZ,,,,,
2016.0,,Женщины,10.0,KGZ,,,,,
2017.0,,Женщины,56.0,KGZ,,,,,
2018.0,,Женщины,4.0,KGZ,,,,,
2019.0,,Женщины,9.0,KGZ,,,,,
2020.0,,Женщины,22.0,KGZ,,,,,
2021.0,,Женщины,35.0,KGZ,,,,,
2007.0,Баткенская область,,8.0,KGZ,,,,,
2008.0,Баткенская область,,9.0,KGZ,,,,,
2009.0,Баткенская область,,0.0,KGZ,,,,,
2010.0,Баткенская область,,15.0,KGZ,,,,,
2011.0,Баткенская область,,7.0,KGZ,,,,,
2012.0,Баткенская область,,9.0,KGZ,,,,,
2013.0,Баткенская область,,3.0,KGZ,,,,,
2014.0,Баткенская область,,3.0,KGZ,,,,,
2015.0,Баткенская область,,1.0,KGZ,,,,,
2016.0,Баткенская область,,9.0,KGZ,,,,,
2017.0,Баткенская область,,0.0,KGZ,,,,,
2018.0,Баткенская область,,0.0,KGZ,,,,,
2019.0,Баткенская область,,6.0,KGZ,,,,,
2020.0,Баткенская область,,5.0,KGZ,,,,,
2021.0,Баткенская область,,36.0,KGZ,,,,,
2007.0,Баткенская область,Мужчины,6.0,KGZ,,,,,
2008.0,Баткенская область,Мужчины,9.0,KGZ,,,,,
2009.0,Баткенская область,Мужчины,0.0,KGZ,,,,,
2010.0,Баткенская область,Мужчины,11.0,KGZ,,,,,
2011.0,Баткенская область,Мужчины,4.0,KGZ,,,,,
2012.0,Баткенская область,Мужчины,7.0,KGZ,,,,,
2013.0,Баткенская область,Мужчины,3.0,KGZ,,,,,
2014.0,Баткенская область,Мужчины,3.0,KGZ,,,,,
2015.0,Баткенская область,Мужчины,1.0,KGZ,,,,,
2016.0,Баткенская область,Мужчины,7.0,KGZ,,,,,
2017.0,Баткенская область,Мужчины,0.0,KGZ,,,,,
2018.0,Баткенская область,Мужчины,0.0,KGZ,,,,,
2019.0,Баткенская область,Мужчины,4.0,KGZ,,,,,
2020.0,Баткенская область,Мужчины,3.0,KGZ,,,,,
2021.0,Баткенская область,Мужчины,35.0,KGZ,,,,,
2007.0,Баткенская область,Женщины,2.0,KGZ,,,,,
2008.0,Баткенская область,Женщины,0.0,KGZ,,,,,
2009.0,Баткенская область,Женщины,0.0,KGZ,,,,,
2010.0,Баткенская область,Женщины,4.0,KGZ,,,,,
2011.0,Баткенская область,Женщины,3.0,KGZ,,,,,
2012.0,Баткенская область,Женщины,2.0,KGZ,,,,,
2013.0,Баткенская область,Женщины,0.0,KGZ,,,,,
2014.0,Баткенская область,Женщины,0.0,KGZ,,,,,
2015.0,Баткенская область,Женщины,0.0,KGZ,,,,,
2016.0,Баткенская область,Женщины,2.0,KGZ,,,,,
2017.0,Баткенская область,Женщины,0.0,KGZ,,,,,
2018.0,Баткенская область,Женщины,0.0,KGZ,,,,,
2019.0,Баткенская область,Женщины,2.0,KGZ,,,,,
2020.0,Баткенская область,Женщины,2.0,KGZ,,,,,
2021.0,Баткенская область,Женщины,1.0,KGZ,,,,,
2007.0,Джалал-Абадская область,,5.0,KGZ,,,,,
2008.0,Джалал-Абадская область,,25.0,KGZ,,,,,
2009.0,Джалал-Абадская область,,39.0,KGZ,,,,,
2010.0,Джалал-Абадская область,,32.0,KGZ,,,,,
2011.0,Джалал-Абадская область,,35.0,KGZ,,,,,
2012.0,Джалал-Абадская область,,33.0,KGZ,,,,,
2013.0,Джалал-Абадская область,,31.0,KGZ,,,,,
2014.0,Джалал-Абадская область,,17.0,KGZ,,,,,
2015.0,Джалал-Абадская область,,11.0,KGZ,,,,,
2016.0,Джалал-Абадская область,,13.0,KGZ,,,,,
2017.0,Джалал-Абадская область,,43.0,KGZ,,,,,
2018.0,Джалал-Абадская область,,4.0,KGZ,,,,,
2019.0,Джалал-Абадская область,,0.0,KGZ,,,,,
2020.0,Джалал-Абадская область,,15.0,KGZ,,,,,
2021.0,Джалал-Абадская область,,15.0,KGZ,,,,,
2007.0,Джалал-Абадская область,Мужчины,5.0,KGZ,,,,,
2008.0,Джалал-Абадская область,Мужчины,18.0,KGZ,,,,,
2009.0,Джалал-Абадская область,Мужчины,27.0,KGZ,,,,,
2010.0,Джалал-Абадская область,Мужчины,21.0,KGZ,,,,,
2011.0,Джалал-Абадская область,Мужчины,27.0,KGZ,,,,,
2012.0,Джалал-Абадская область,Мужчины,17.0,KGZ,,,,,
2013.0,Джалал-Абадская область,Мужчины,22.0,KGZ,,,,,
2014.0,Джалал-Абадская область,Мужчины,11.0,KGZ,,,,,
2015.0,Джалал-Абадская область,Мужчины,5.0,KGZ,,,,,
2016.0,Джалал-Абадская область,Мужчины,9.0,KGZ,,,,,
2017.0,Джалал-Абадская область,Мужчины,29.0,KGZ,,,,,
2018.0,Джалал-Абадская область,Мужчины,4.0,KGZ,,,,,
2019.0,Джалал-Абадская область,Мужчины,0.0,KGZ,,,,,
2020.0,Джалал-Абадская область,Мужчины,9.0,KGZ,,,,,
2021.0,Джалал-Абадская область,Мужчины,8.0,KGZ,,,,,
2007.0,Джалал-Абадская область,Женщины,0.0,KGZ,,,,,
2008.0,Джалал-Абадская область,Женщины,7.0,KGZ,,,,,
2009.0,Джалал-Абадская область,Женщины,12.0,KGZ,,,,,
2010.0,Джалал-Абадская область,Женщины,11.0,KGZ,,,,,
2011.0,Джалал-Абадская область,Женщины,8.0,KGZ,,,,,
2012.0,Джалал-Абадская область,Женщины,16.0,KGZ,,,,,
2013.0,Джалал-Абадская область,Женщины,9.0,KGZ,,,,,
2014.0,Джалал-Абадская область,Женщины,6.0,KGZ,,,,,
2015.0,Джалал-Абадская область,Женщины,6.0,KGZ,,,,,
2016.0,Джалал-Абадская область,Женщины,4.0,KGZ,,,,,
2017.0,Джалал-Абадская область,Женщины,14.0,KGZ,,,,,
2018.0,Джалал-Абадская область,Женщины,0.0,KGZ,,,,,
2019.0,Джалал-Абадская область,Женщины,0.0,KGZ,,,,,
2020.0,Джалал-Абадская область,Женщины,6.0,KGZ,,,,,
2021.0,Джалал-Абадская область,Женщины,7.0,KGZ,,,,,
2007.0,Иссык-Кульская область,,14.0,KGZ,,,,,
2008.0,Иссык-Кульская область,,42.0,KGZ,,,,,
2009.0,Иссык-Кульская область,,11.0,KGZ,,,,,
2010.0,Иссык-Кульская область,,15.0,KGZ,,,,,
2011.0,Иссык-Кульская область,,17.0,KGZ,,,,,
2012.0,Иссык-Кульская область,,4.0,KGZ,,,,,
2013.0,Иссык-Кульская область,,21.0,KGZ,,,,,
2014.0,Иссык-Кульская область,,25.0,KGZ,,,,,
2015.0,Иссык-Кульская область,,6.0,KGZ,,,,,
2016.0,Иссык-Кульская область,,2.0,KGZ,,,,,
2017.0,Иссык-Кульская область,,6.0,KGZ,,,,,
2018.0,Иссык-Кульская область,,2.0,KGZ,,,,,
2019.0,Иссык-Кульская область,,5.0,KGZ,,,,,
2020.0,Иссык-Кульская область,,0.0,KGZ,,,,,
2021.0,Иссык-Кульская область,,12.0,KGZ,,,,,
2007.0,Иссык-Кульская область,Мужчины,10.0,KGZ,,,,,
2008.0,Иссык-Кульская область,Мужчины,26.0,KGZ,,,,,
2009.0,Иссык-Кульская область,Мужчины,7.0,KGZ,,,,,
2010.0,Иссык-Кульская область,Мужчины,10.0,KGZ,,,,,
2011.0,Иссык-Кульская область,Мужчины,9.0,KGZ,,,,,
2012.0,Иссык-Кульская область,Мужчины,4.0,KGZ,,,,,
2013.0,Иссык-Кульская область,Мужчины,13.0,KGZ,,,,,
2014.0,Иссык-Кульская область,Мужчины,16.0,KGZ,,,,,
2015.0,Иссык-Кульская область,Мужчины,5.0,KGZ,,,,,
2016.0,Иссык-Кульская область,Мужчины,1.0,KGZ,,,,,
2017.0,Иссык-Кульская область,Мужчины,6.0,KGZ,,,,,
2018.0,Иссык-Кульская область,Мужчины,1.0,KGZ,,,,,
2019.0,Иссык-Кульская область,Мужчины,2.0,KGZ,,,,,
2020.0,Иссык-Кульская область,Мужчины,0.0,KGZ,,,,,
2021.0,Иссык-Кульская область,Мужчины,7.0,KGZ,,,,,
2007.0,Иссык-Кульская область,Женщины,4.0,KGZ,,,,,
2008.0,Иссык-Кульская область,Женщины,16.0,KGZ,,,,,
2009.0,Иссык-Кульская область,Женщины,4.0,KGZ,,,,,
2010.0,Иссык-Кульская область,Женщины,5.0,KGZ,,,,,
2011.0,Иссык-Кульская область,Женщины,8.0,KGZ,,,,,
