Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2013,Waste removal: Garbage chute,0.3,KGZ
2014,Waste removal: Garbage chute,0.2,KGZ
2015,Waste removal: Garbage chute,0.1,KGZ
2016,Waste removal: Garbage chute,0.1,KGZ
2017,Waste removal: Garbage chute,0.1,KGZ
2018,Waste removal: Garbage chute,0.1,KGZ
2019,Waste removal: Garbage chute,0.0,KGZ
2020,Waste removal: Garbage chute,0.0,KGZ
2013,"Waste removal: Collection by truck, container",26.9,KGZ
2014,"Waste removal: Collection by truck, container",27.7,KGZ
2015,"Waste removal: Collection by truck, container",30.6,KGZ
2016,"Waste removal: Collection by truck, container",31.3,KGZ
2017,"Waste removal: Collection by truck, container",38.8,KGZ
2018,"Waste removal: Collection by truck, container",44.0,KGZ
2019,"Waste removal: Collection by truck, container",46.9,KGZ
2020,"Waste removal: Collection by truck, container",48.2,KGZ
2013,Waste removal: Dumping into garbage heaps,21.6,KGZ
2014,Waste removal: Dumping into garbage heaps,23.4,KGZ
2015,Waste removal: Dumping into garbage heaps,29.0,KGZ
2016,Waste removal: Dumping into garbage heaps,22.4,KGZ
2017,Waste removal: Dumping into garbage heaps,21.8,KGZ
2018,Waste removal: Dumping into garbage heaps,20.2,KGZ
2019,Waste removal: Dumping into garbage heaps,20.2,KGZ
2020,Waste removal: Dumping into garbage heaps,19.3,KGZ
2013,Waste removal: Burning,33.0,KGZ
2014,Waste removal: Burning,31.8,KGZ
2015,Waste removal: Burning,29.8,KGZ
2016,Waste removal: Burning,32.9,KGZ
2017,Waste removal: Burning,28.6,KGZ
2018,Waste removal: Burning,25.6,KGZ
2019,Waste removal: Burning,24.0,KGZ
2020,Waste removal: Burning,24.2,KGZ
2013,Waste removal: Burying,18.2,KGZ
2014,Waste removal: Burying,16.9,KGZ
2015,Waste removal: Burying,10.6,KGZ
2016,Waste removal: Burying,13.4,KGZ
2017,Waste removal: Burying,10.9,KGZ
2018,Waste removal: Burying,10.0,KGZ
2019,Waste removal: Burying,8.9,KGZ
2020,Waste removal: Burying,8.3,KGZ
