Year,Reference area,Sex,GeoCode,Value,M49_country_code
2007,,,,93,KGZ
2008,,,,281,KGZ
2009,,,,71,KGZ
2010,,,,158,KGZ
2011,,,,140,KGZ
2012,,,,99,KGZ
2013,,,,95,KGZ
2014,,,,62,KGZ
2015,,,,53,KGZ
2016,,,,47,KGZ
2017,,,,141,KGZ
2018,,,,18,KGZ
2019,,,,17,KGZ
2020,,,,51,KGZ
2021,,,,109,KGZ
2007,,Male,,74,KGZ
2008,,Male,,184,KGZ
2009,,Male,,48,KGZ
2010,,Male,,106,KGZ
2011,,Male,,93,KGZ
2012,,Male,,65,KGZ
2013,,Male,,62,KGZ
2014,,Male,,39,KGZ
2015,,Male,,33,KGZ
2016,,Male,,37,KGZ
2017,,Male,,85,KGZ
2018,,Male,,14,KGZ
2019,,Male,,8,KGZ
2020,,Male,,29,KGZ
2021,,Male,,74,KGZ
2007,,Female,,19,KGZ
2008,,Female,,97,KGZ
2009,,Female,,23,KGZ
2010,,Female,,52,KGZ
2011,,Female,,47,KGZ
2012,,Female,,34,KGZ
2013,,Female,,33,KGZ
2014,,Female,,23,KGZ
2015,,Female,,20,KGZ
2016,,Female,,10,KGZ
2017,,Female,,56,KGZ
2018,,Female,,4,KGZ
2019,,Female,,9,KGZ
2020,,Female,,22,KGZ
2021,,Female,,35,KGZ
2007,Batken,,KG05,8,KGZ
2008,Batken,,KG05,9,KGZ
2010,Batken,,KG05,15,KGZ
2011,Batken,,KG05,7,KGZ
2012,Batken,,KG05,9,KGZ
2013,Batken,,KG05,3,KGZ
2014,Batken,,KG05,3,KGZ
2015,Batken,,KG05,1,KGZ
2016,Batken,,KG05,9,KGZ
2019,Batken,,KG05,6,KGZ
2020,Batken,,KG05,5,KGZ
2021,Batken,,KG05,36,KGZ
2007,Batken,Male,KG05,6,KGZ
2008,Batken,Male,KG05,9,KGZ
2010,Batken,Male,KG05,11,KGZ
2011,Batken,Male,KG05,4,KGZ
2012,Batken,Male,KG05,7,KGZ
2013,Batken,Male,KG05,3,KGZ
2014,Batken,Male,KG05,3,KGZ
2015,Batken,Male,KG05,1,KGZ
2016,Batken,Male,KG05,7,KGZ
2019,Batken,Male,KG05,4,KGZ
2020,Batken,Male,KG05,3,KGZ
2021,Batken,Male,KG05,35,KGZ
2007,Batken,Female,KG05,2,KGZ
2010,Batken,Female,KG05,4,KGZ
2011,Batken,Female,KG05,3,KGZ
2012,Batken,Female,KG05,2,KGZ
2016,Batken,Female,KG05,2,KGZ
2019,Batken,Female,KG05,2,KGZ
2020,Batken,Female,KG05,2,KGZ
2021,Batken,Female,KG05,1,KGZ
2007,Jalal-Abad,,KG03,5,KGZ
2008,Jalal-Abad,,KG03,25,KGZ
2009,Jalal-Abad,,KG03,39,KGZ
2010,Jalal-Abad,,KG03,32,KGZ
2011,Jalal-Abad,,KG03,35,KGZ
2012,Jalal-Abad,,KG03,33,KGZ
2013,Jalal-Abad,,KG03,31,KGZ
2014,Jalal-Abad,,KG03,17,KGZ
2015,Jalal-Abad,,KG03,11,KGZ
2016,Jalal-Abad,,KG03,13,KGZ
2017,Jalal-Abad,,KG03,43,KGZ
2018,Jalal-Abad,,KG03,4,KGZ
2020,Jalal-Abad,,KG03,15,KGZ
2021,Jalal-Abad,,KG03,15,KGZ
2007,Jalal-Abad,Male,KG03,5,KGZ
2008,Jalal-Abad,Male,KG03,18,KGZ
2009,Jalal-Abad,Male,KG03,27,KGZ
2010,Jalal-Abad,Male,KG03,21,KGZ
2011,Jalal-Abad,Male,KG03,27,KGZ
2012,Jalal-Abad,Male,KG03,17,KGZ
2013,Jalal-Abad,Male,KG03,22,KGZ
2014,Jalal-Abad,Male,KG03,11,KGZ
2015,Jalal-Abad,Male,KG03,5,KGZ
2016,Jalal-Abad,Male,KG03,9,KGZ
2017,Jalal-Abad,Male,KG03,29,KGZ
2018,Jalal-Abad,Male,KG03,4,KGZ
2020,Jalal-Abad,Male,KG03,9,KGZ
2021,Jalal-Abad,Male,KG03,8,KGZ
2008,Jalal-Abad,Female,KG03,7,KGZ
2009,Jalal-Abad,Female,KG03,12,KGZ
2010,Jalal-Abad,Female,KG03,11,KGZ
2011,Jalal-Abad,Female,KG03,8,KGZ
2012,Jalal-Abad,Female,KG03,16,KGZ
2013,Jalal-Abad,Female,KG03,9,KGZ
2014,Jalal-Abad,Female,KG03,6,KGZ
2015,Jalal-Abad,Female,KG03,6,KGZ
2016,Jalal-Abad,Female,KG03,4,KGZ
2017,Jalal-Abad,Female,KG03,14,KGZ
2020,Jalal-Abad,Female,KG03,5,KGZ
2021,Jalal-Abad,Female,KG03,7,KGZ
2007,Issyk-Kul,,KG02,14,KGZ
2008,Issyk-Kul,,KG02,42,KGZ
2009,Issyk-Kul,,KG02,11,KGZ
2010,Issyk-Kul,,KG02,15,KGZ
2011,Issyk-Kul,,KG02,17,KGZ
2012,Issyk-Kul,,KG02,4,KGZ
2013,Issyk-Kul,,KG02,21,KGZ
2014,Issyk-Kul,,KG02,25,KGZ
2015,Issyk-Kul,,KG02,6,KGZ
2016,Issyk-Kul,,KG02,2,KGZ
2017,Issyk-Kul,,KG02,6,KGZ
2018,Issyk-Kul,,KG02,2,KGZ
2019,Issyk-Kul,,KG02,5,KGZ
2021,Issyk-Kul,,KG02,12,KGZ
2007,Issyk-Kul,Male,KG02,10,KGZ
2008,Issyk-Kul,Male,KG02,26,KGZ
2009,Issyk-Kul,Male,KG02,7,KGZ
2010,Issyk-Kul,Male,KG02,10,KGZ
2011,Issyk-Kul,Male,KG02,9,KGZ
2012,Issyk-Kul,Male,KG02,4,KGZ
2013,Issyk-Kul,Male,KG02,13,KGZ
2014,Issyk-Kul,Male,KG02,16,KGZ
2015,Issyk-Kul,Male,KG02,5,KGZ
2016,Issyk-Kul,Male,KG02,1,KGZ
2017,Issyk-Kul,Male,KG02,6,KGZ
2019,Issyk-Kul,Male,KG02,2,KGZ
2021,Issyk-Kul,Male,KG02,7,KGZ
2007,Issyk-Kul,Female,KG02,4,KGZ
2008,Issyk-Kul,Female,KG02,16,KGZ
2009,Issyk-Kul,Female,KG02,4,KGZ
2010,Issyk-Kul,Female,KG02,5,KGZ
2011,Issyk-Kul,Female,KG02,8,KGZ
2013,Issyk-Kul,Female,KG02,8,KGZ
2014,Issyk-Kul,Female,KG02,9,KGZ
2015,Issyk-Kul,Female,KG02,1,KGZ
2016,Issyk-Kul,Female,KG02,1,KGZ
2019,Issyk-Kul,Female,KG02,3,KGZ
2021,Issyk-Kul,Female,KG02,5,KGZ
2007,Naryn,,KG04,5,KGZ
2008,Naryn,,KG04,6,KGZ
2010,Naryn,,KG04,7,KGZ
2012,Naryn,,KG04,5,KGZ
2013,Naryn,,KG04,8,KGZ
2014,Naryn,,KG04,2,KGZ
2015,Naryn,,KG04,9,KGZ
2016,Naryn,,KG04,1,KGZ
2017,Naryn,,KG04,2,KGZ
2007,Naryn,Male,KG04,4,KGZ
2008,Naryn,Male,KG04,4,KGZ
2010,Naryn,Male,KG04,4,KGZ
2012,Naryn,Male,KG04,4,KGZ
2013,Naryn,Male,KG04,5,KGZ
2014,Naryn,Male,KG04,2,KGZ
2015,Naryn,Male,KG04,6,KGZ
2016,Naryn,Male,KG04,1,KGZ
2017,Naryn,Male,KG04,2,KGZ
2007,Naryn,Female,KG04,1,KGZ
2008,Naryn,Female,KG04,2,KGZ
2010,Naryn,Female,KG04,3,KGZ
2012,Naryn,Female,KG04,1,KGZ
2013,Naryn,Female,KG04,3,KGZ
2015,Naryn,Female,KG04,3,KGZ
2007,Osh,,KG06,6,KGZ
2008,Osh,,KG06,96,KGZ
2009,Osh,,KG06,2,KGZ
2010,Osh,,KG06,19,KGZ
2011,Osh,,KG06,11,KGZ
2012,Osh,,KG06,22,KGZ
2013,Osh,,KG06,5,KGZ
2015,Osh,,KG06,10,KGZ
2016,Osh,,KG06,1,KGZ
2017,Osh,,KG06,35,KGZ
2018,Osh,,KG06,1,KGZ
2020,Osh,,KG06,7,KGZ
2021,Osh,,KG06,17,KGZ
2007,Osh,Male,KG06,6,KGZ
2008,Osh,Male,KG06,50,KGZ
2009,Osh,Male,KG06,2,KGZ
2010,Osh,Male,KG06,12,KGZ
2011,Osh,Male,KG06,6,KGZ
2012,Osh,Male,KG06,16,KGZ
2013,Osh,Male,KG06,3,KGZ
2015,Osh,Male,KG06,7,KGZ
2016,Osh,Male,KG06,1,KGZ
2017,Osh,Male,KG06,17,KGZ
2018,Osh,Male,KG06,1,KGZ
2020,Osh,Male,KG06,7,KGZ
2021,Osh,Male,KG06,8,KGZ
2008,Osh,Female,KG06,46,KGZ
2010,Osh,Female,KG06,7,KGZ
2011,Osh,Female,KG06,5,KGZ
2012,Osh,Female,KG06,6,KGZ
2013,Osh,Female,KG06,2,KGZ
2015,Osh,Female,KG06,3,KGZ
2017,Osh,Female,KG06,18,KGZ
