Year,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,,4.5,KAZ,,,,,
2010.0,Akmola,2.6,KAZ,,,,,
2010.0,Aktobe,0.2,KAZ,,,,,
2010.0,Almaty,8.0,KAZ,,,,,
2010.0,Atyrau,0.1,KAZ,,,,,
2010.0,Batys Kazakhstan,0.7,KAZ,,,,,
2010.0,Zhambyl,15.3,KAZ,,,,,
2010.0,Karagandy,0.4,KAZ,,,,,
2010.0,Kostanay,1.1,KAZ,,,,,
2010.0,Kyzylorda,13.6,KAZ,,,,,
2010.0,Mangistau,0.7,KAZ,,,,,
2010.0,Pavlodar,2.0,KAZ,,,,,
2010.0,Soltustik Kazakhstan,5.4,KAZ,,,,,
2010.0,Turkistan,13.7,KAZ,,,,,
2010.0,Shygys Kazakhstan,6.4,KAZ,,,,,
2011.0,,4.6,KAZ,,,,,
2011.0,Akmola,2.6,KAZ,,,,,
2011.0,Aktobe,0.2,KAZ,,,,,
2011.0,Almaty,8.3,KAZ,,,,,
2011.0,Atyrau,0.1,KAZ,,,,,
2011.0,Batys Kazakhstan,0.7,KAZ,,,,,
2011.0,Zhambyl,15.4,KAZ,,,,,
2011.0,Karagandy,0.4,KAZ,,,,,
2011.0,Kostanay,1.1,KAZ,,,,,
2011.0,Kyzylorda,13.7,KAZ,,,,,
2011.0,Mangistau,0.7,KAZ,,,,,
2011.0,Pavlodar,2.0,KAZ,,,,,
2011.0,Soltustik Kazakhstan,5.4,KAZ,,,,,
2011.0,Turkistan,13.7,KAZ,,,,,
2011.0,Shygys Kazakhstan,6.6,KAZ,,,,,
2012.0,,4.6,KAZ,,,,,
2012.0,Akmola,2.6,KAZ,,,,,
2012.0,Aktobe,0.2,KAZ,,,,,
2012.0,Almaty,8.3,KAZ,,,,,
2012.0,Atyrau,0.1,KAZ,,,,,
2012.0,Batys Kazakhstan,0.7,KAZ,,,,,
2012.0,Zhambyl,15.4,KAZ,,,,,
2012.0,Karagandy,0.4,KAZ,,,,,
2012.0,Kostanay,1.2,KAZ,,,,,
2012.0,Kyzylorda,13.5,KAZ,,,,,
2012.0,Mangistau,0.7,KAZ,,,,,
2012.0,Pavlodar,2.0,KAZ,,,,,
2012.0,Soltustik Kazakhstan,5.4,KAZ,,,,,
2012.0,Turkistan,13.8,KAZ,,,,,
2012.0,Shygys Kazakhstan,7.0,KAZ,,,,,
2013.0,,4.6,KAZ,,,,,
2013.0,Akmola,2.6,KAZ,,,,,
2013.0,Aktobe,0.2,KAZ,,,,,
2013.0,Almaty,8.3,KAZ,,,,,
2013.0,Atyrau,0.1,KAZ,,,,,
2013.0,Batys Kazakhstan,0.7,KAZ,,,,,
2013.0,Zhambyl,15.5,KAZ,,,,,
2013.0,Karagandy,0.4,KAZ,,,,,
2013.0,Kostanay,1.2,KAZ,,,,,
2013.0,Kyzylorda,13.5,KAZ,,,,,
2013.0,Mangistau,0.7,KAZ,,,,,
2013.0,Pavlodar,2.0,KAZ,,,,,
2013.0,Soltustik Kazakhstan,5.4,KAZ,,,,,
2013.0,Turkistan,13.8,KAZ,,,,,
2013.0,Shygys Kazakhstan,7.1,KAZ,,,,,
2014.0,,4.6,KAZ,,,,,
2014.0,Akmola,2.6,KAZ,,,,,
2014.0,Aktobe,0.2,KAZ,,,,,
2014.0,Almaty,8.3,KAZ,,,,,
2014.0,Atyrau,0.1,KAZ,,,,,
2014.0,Batys Kazakhstan,0.7,KAZ,,,,,
2014.0,Zhambyl,15.5,KAZ,,,,,
2014.0,Karagandy,0.4,KAZ,,,,,
2014.0,Kostanay,1.2,KAZ,,,,,
2014.0,Kyzylorda,13.6,KAZ,,,,,
2014.0,Mangistau,0.7,KAZ,,,,,
2014.0,Pavlodar,2.0,KAZ,,,,,
2014.0,Soltustik Kazakhstan,5.4,KAZ,,,,,
2014.0,Turkistan,13.8,KAZ,,,,,
2014.0,Shygys Kazakhstan,7.1,KAZ,,,,,
2015.0,,4.6,KAZ,,,,,
2015.0,Akmola,2.6,KAZ,,,,,
2015.0,Aktobe,0.2,KAZ,,,,,
2015.0,Almaty,8.3,KAZ,,,,,
2015.0,Atyrau,0.1,KAZ,,,,,
2015.0,Batys Kazakhstan,0.7,KAZ,,,,,
2015.0,Zhambyl,15.5,KAZ,,,,,
2015.0,Karagandy,0.4,KAZ,,,,,
2015.0,Kostanay,1.2,KAZ,,,,,
2015.0,Kyzylorda,13.5,KAZ,,,,,
2015.0,Mangistau,0.7,KAZ,,,,,
2015.0,Pavlodar,2.0,KAZ,,,,,
2015.0,Soltustik Kazakhstan,5.4,KAZ,,,,,
2015.0,Turkistan,13.8,KAZ,,,,,
2015.0,Shygys Kazakhstan,7.1,KAZ,,,,,
2016.0,,4.7,KAZ,,,,,
2016.0,Akmola,2.6,KAZ,,,,,
2016.0,Aktobe,0.2,KAZ,,,,,
2016.0,Almaty,8.4,KAZ,,,,,
2016.0,Atyrau,0.1,KAZ,,,,,
2016.0,Batys Kazakhstan,0.7,KAZ,,,,,
2016.0,Zhambyl,15.5,KAZ,,,,,
2016.0,Karagandy,0.4,KAZ,,,,,
2016.0,Kostanay,1.2,KAZ,,,,,
2016.0,Kyzylorda,13.6,KAZ,,,,,
2016.0,Mangistau,0.7,KAZ,,,,,
2016.0,Pavlodar,2.1,KAZ,,,,,
2016.0,Soltustik Kazakhstan,5.5,KAZ,,,,,
2016.0,Turkistan,13.9,KAZ,,,,,
2016.0,Shygys Kazakhstan,7.1,KAZ,,,,,
2017.0,,4.7,KAZ,,,,,
2017.0,Akmola,2.6,KAZ,,,,,
2017.0,Aktobe,0.2,KAZ,,,,,
2017.0,Almaty,8.6,KAZ,,,,,
2017.0,Atyrau,0.1,KAZ,,,,,
2017.0,Batys Kazakhstan,0.6,KAZ,,,,,
2017.0,Zhambyl,16.4,KAZ,,,,,
2017.0,Karagandy,0.4,KAZ,,,,,
2017.0,Kostanay,1.2,KAZ,,,,,
2017.0,Kyzylorda,13.7,KAZ,,,,,
2017.0,Mangistau,0.8,KAZ,,,,,
