Year,COMPOSITE_BREAKDOWN,Value,M49_country_code
2013,Species: Plants and mushrooms,1.07,KGZ
2014,Species: Plants and mushrooms,1.07,KGZ
2015,Species: Plants and mushrooms,1.07,KGZ
2016,Species: Plants and mushrooms,1.07,KGZ
2017,Species: Plants and mushrooms,1.07,KGZ
2018,Species: Plants and mushrooms,1.07,KGZ
2019,Species: Plants and mushrooms,1.07,KGZ
2020,Species: Plants and mushrooms,1.07,KGZ
2021,Species: Plants and mushrooms,1.07,KGZ
2013,Species: Mammals,25.3,KGZ
2014,Species: Mammals,25.3,KGZ
2015,Species: Mammals,25.3,KGZ
2016,Species: Mammals,25.3,KGZ
2017,Species: Mammals,25.3,KGZ
2018,Species: Mammals,25.3,KGZ
2019,Species: Mammals,25.27,KGZ
2020,Species: Mammals,25.27,KGZ
2021,Species: Mammals,25.27,KGZ
2013,Species: Birds,14.0,KGZ
2014,Species: Birds,14.0,KGZ
2015,Species: Birds,14.0,KGZ
2016,Species: Birds,14.0,KGZ
2017,Species: Birds,14.0,KGZ
2018,Species: Birds,14.0,KGZ
2019,Species: Birds,14.0,KGZ
2020,Species: Birds,14.0,KGZ
2021,Species: Birds,14.0,KGZ
2013,Species: Insects,0.12,KGZ
2014,Species: Insects,0.12,KGZ
2015,Species: Insects,0.12,KGZ
2016,Species: Insects,0.12,KGZ
2017,Species: Insects,0.12,KGZ
2018,Species: Insects,0.12,KGZ
2019,Species: Insects,0.12,KGZ
2020,Species: Insects,0.12,KGZ
2021,Species: Insects,0.12,KGZ
2013,Species: Amphibians and Reptiles,21.7,KGZ
2014,Species: Amphibians and Reptiles,21.7,KGZ
2015,Species: Amphibians and Reptiles,21.7,KGZ
2016,Species: Amphibians and Reptiles,21.7,KGZ
2017,Species: Amphibians and Reptiles,21.7,KGZ
2018,Species: Amphibians and Reptiles,21.7,KGZ
2019,Species: Amphibians and Reptiles,21.74,KGZ
2020,Species: Amphibians and Reptiles,21.74,KGZ
2021,Species: Amphibians and Reptiles,21.74,KGZ
2013,Species: Fish,9.5,KGZ
2014,Species: Fish,9.5,KGZ
2015,Species: Fish,9.5,KGZ
2016,Species: Fish,9.5,KGZ
2017,Species: Fish,9.5,KGZ
2018,Species: Fish,9.5,KGZ
2019,Species: Fish,9.46,KGZ
2020,Species: Fish,9.46,KGZ
2021,Species: Fish,9.46,KGZ
