Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,units,Type of plants,387,KAZ
2010,units,Type of animals,224,KAZ
2011,units,Type of plants,387,KAZ
2011,units,Type of animals,224,KAZ
2012,units,Type of plants,387,KAZ
2012,units,Type of animals,224,KAZ
2013,units,Type of plants,387,KAZ
2013,units,Type of animals,224,KAZ
2014,units,Type of plants,387,KAZ
2014,units,Type of animals,224,KAZ
2015,units,Type of plants,387,KAZ
2015,units,Type of animals,224,KAZ
2016,units,Type of plants,387,KAZ
2016,units,Type of animals,224,KAZ
2017,units,Type of plants,387,KAZ
2017,units,Type of animals,224,KAZ
2018,units,Type of plants,387,KAZ
2018,units,Type of animals,224,KAZ
2019,units,Type of plants,387,KAZ
2019,units,Type of animals,224,KAZ
2020,units,Type of plants,387,KAZ
2020,units,Type of animals,224,KAZ
