unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
01_101_,Total,True,2000,1,UZB
01_101_,Total,True,2001,1,UZB
01_101_,Total,True,2002,1,UZB
01_101_,Total,True,2003,1,UZB
01_101_,Total,True,2004,1,UZB
01_101_,Total,True,2005,1,UZB
01_101_,Total,True,2006,1,UZB
01_101_,Total,True,2007,1,UZB
01_101_,Total,True,2008,4,UZB
01_101_,Total,True,2009,3,UZB
01_101_,Total,True,2010,2,UZB
01_101_,Total,True,2011,3,UZB
01_101_,Total,True,2012,2,UZB
01_101_,Total,True,2013,3,UZB
01_101_,Total,True,2014,7,UZB
01_101_,Total,True,2015,3,UZB
01_101_,Total,True,2016,2,UZB
01_101_,Total,True,2017,3,UZB
01_101_,Total,True,2018,3,UZB
01_101_,Total,True,2019,5,UZB
01_101_,Total,True,2020,7,UZB
01_101_,Total,True,2021,7,UZB
