Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2011,Percent,,102000,KAZ
2011,Percent,Species from Ural region,17900,KAZ
2011,Percent,Species from Usturts region,6100,KAZ
2011,Percent,Species from Betpakdalinsk region,78000,KAZ
2012,Percent,,137500,KAZ
2012,Percent,Species from Ural region,20900,KAZ
2012,Percent,Species from Usturts region,6500,KAZ
2012,Percent,Species from Betpakdalinsk region,110100,KAZ
2013,Percent,,187000,KAZ
2013,Percent,Species from Ural region,26400,KAZ
2013,Percent,Species from Usturts region,5400,KAZ
2013,Percent,Species from Betpakdalinsk region,155200,KAZ
2014,Percent,,256700,KAZ
2014,Percent,Species from Ural region,39000,KAZ
2014,Percent,Species from Usturts region,1700,KAZ
2014,Percent,Species from Betpakdalinsk region,216000,KAZ
2015,Percent,,295470,KAZ
2015,Percent,Species from Ural region,51700,KAZ
2015,Percent,Species from Usturts region,1270,KAZ
2015,Percent,Species from Betpakdalinsk region,242000,KAZ
2016,Percent,,108300,KAZ
2016,Percent,Species from Ural region,70200,KAZ
2016,Percent,Species from Usturts region,1900,KAZ
2016,Percent,Species from Betpakdalinsk region,26200,KAZ
2017,Percent,,152600,KAZ
2017,Percent,Species from Ural region,98200,KAZ
2017,Percent,Species from Usturts region,2700,KAZ
2017,Percent,Species from Betpakdalinsk region,51700,KAZ
2018,Percent,,215100,KAZ
2018,Percent,Species from Ural region,135000,KAZ
2018,Percent,Species from Usturts region,3700,KAZ
2018,Percent,Species from Betpakdalinsk region,76400,KAZ
2019,Percent,,334400,KAZ
2019,Percent,Species from Ural region,217000,KAZ
2019,Percent,Species from Usturts region,5900,KAZ
2019,Percent,Species from Betpakdalinsk region,111500,KAZ
2020,Percent,,334400,KAZ
2020,Percent,Species from Ural region,217000,KAZ
2020,Percent,Species from Usturts region,5900,KAZ
2020,Percent,Species from Betpakdalinsk region,111500,KAZ
