Year,Reference area,GeoCode,Value,M49_country_code
2007,,,5.9,KGZ
2008,,,5.5,KGZ
2009,,,6.2,KGZ
2010,,,6.2,KGZ
2011,,,5.5,KGZ
2012,,,4.4,KGZ
2013,,,3.8,KGZ
2014,,,3.5,KGZ
2015,,,3.6,KGZ
2016,,,2.7,KGZ
2017,,,2.5,KGZ
2018,,,2.3,KGZ
2019,,,2.0,KGZ
2020,,,2.1,KGZ
2007,Batken,KG05,1.9,KGZ
2008,Batken,KG05,1.9,KGZ
2009,Batken,KG05,2.1,KGZ
2010,Batken,KG05,2.5,KGZ
2011,Batken,KG05,2.7,KGZ
2012,Batken,KG05,2.4,KGZ
2013,Batken,KG05,2.2,KGZ
2014,Batken,KG05,0.6,KGZ
2015,Batken,KG05,0.8,KGZ
2016,Batken,KG05,2.0,KGZ
2017,Batken,KG05,1.6,KGZ
2018,Batken,KG05,1.5,KGZ
2019,Batken,KG05,1.9,KGZ
2020,Batken,KG05,2.4,KGZ
2007,Jalal-Abad,KG03,1.7,KGZ
2008,Jalal-Abad,KG03,2.5,KGZ
2009,Jalal-Abad,KG03,3.6,KGZ
2010,Jalal-Abad,KG03,5.0,KGZ
2011,Jalal-Abad,KG03,4.1,KGZ
2012,Jalal-Abad,KG03,3.5,KGZ
2013,Jalal-Abad,KG03,4.0,KGZ
2014,Jalal-Abad,KG03,2.9,KGZ
2015,Jalal-Abad,KG03,2.1,KGZ
2016,Jalal-Abad,KG03,2.0,KGZ
2017,Jalal-Abad,KG03,1.4,KGZ
2018,Jalal-Abad,KG03,1.7,KGZ
2019,Jalal-Abad,KG03,1.4,KGZ
2020,Jalal-Abad,KG03,1.4,KGZ
2007,Issyk-Kul,KG02,8.3,KGZ
2008,Issyk-Kul,KG02,7.1,KGZ
2009,Issyk-Kul,KG02,7.3,KGZ
2010,Issyk-Kul,KG02,4.7,KGZ
2011,Issyk-Kul,KG02,7.8,KGZ
2012,Issyk-Kul,KG02,8.0,KGZ
2013,Issyk-Kul,KG02,5.5,KGZ
2014,Issyk-Kul,KG02,6.9,KGZ
2015,Issyk-Kul,KG02,6.0,KGZ
2016,Issyk-Kul,KG02,3.2,KGZ
2017,Issyk-Kul,KG02,3.3,KGZ
2018,Issyk-Kul,KG02,3.9,KGZ
2019,Issyk-Kul,KG02,5.1,KGZ
2020,Issyk-Kul,KG02,3.2,KGZ
2007,Naryn,KG04,5.1,KGZ
2008,Naryn,KG04,6.2,KGZ
2009,Naryn,KG04,6.2,KGZ
2010,Naryn,KG04,8.4,KGZ
2011,Naryn,KG04,6.4,KGZ
2012,Naryn,KG04,6.4,KGZ
2013,Naryn,KG04,3.0,KGZ
2014,Naryn,KG04,3.7,KGZ
2015,Naryn,KG04,7.2,KGZ
2016,Naryn,KG04,4.3,KGZ
2017,Naryn,KG04,4.2,KGZ
2018,Naryn,KG04,2.1,KGZ
2019,Naryn,KG04,3.8,KGZ
2020,Naryn,KG04,2.4,KGZ
2007,Osh,KG06,2.7,KGZ
2008,Osh,KG06,2.7,KGZ
2009,Osh,KG06,3.5,KGZ
2010,Osh,KG06,3.8,KGZ
2011,Osh,KG06,3.2,KGZ
2012,Osh,KG06,1.8,KGZ
2013,Osh,KG06,1.8,KGZ
2014,Osh,KG06,1.8,KGZ
2015,Osh,KG06,1.7,KGZ
2016,Osh,KG06,1.8,KGZ
2017,Osh,KG06,1.5,KGZ
2018,Osh,KG06,2.0,KGZ
2019,Osh,KG06,1.1,KGZ
2020,Osh,KG06,0.8,KGZ
2007,Talas,KG07,2.2,KGZ
2008,Talas,KG07,6.7,KGZ
2009,Talas,KG07,3.1,KGZ
2010,Talas,KG07,5.6,KGZ
2011,Talas,KG07,4.3,KGZ
2012,Talas,KG07,5.9,KGZ
2013,Talas,KG07,7.0,KGZ
2014,Talas,KG07,5.3,KGZ
2015,Talas,KG07,3.2,KGZ
2016,Talas,KG07,2.4,KGZ
2017,Talas,KG07,1.9,KGZ
2018,Talas,KG07,0.8,KGZ
2019,Talas,KG07,3.0,KGZ
2020,Talas,KG07,2.2,KGZ
2007,Chui,KG08,14.9,KGZ
2008,Chui,KG08,12.7,KGZ
2009,Chui,KG08,13.9,KGZ
2010,Chui,KG08,13.3,KGZ
2011,Chui,KG08,9.5,KGZ
2012,Chui,KG08,9.2,KGZ
2013,Chui,KG08,6.3,KGZ
2014,Chui,KG08,6.4,KGZ
2015,Chui,KG08,7.2,KGZ
2016,Chui,KG08,5.5,KGZ
2017,Chui,KG08,5.5,KGZ
2018,Chui,KG08,3.7,KGZ
2019,Chui,KG08,2.5,KGZ
2020,Chui,KG08,4.5,KGZ
2007,Bishkek (city),KG11,8.1,KGZ
2008,Bishkek (city),KG11,7.0,KGZ
2009,Bishkek (city),KG11,7.9,KGZ
2010,Bishkek (city),KG11,6.4,KGZ
2011,Bishkek (city),KG11,6.7,KGZ
2012,Bishkek (city),KG11,3.6,KGZ
2013,Bishkek (city),KG11,2.5,KGZ
2014,Bishkek (city),KG11,3.6,KGZ
2015,Bishkek (city),KG11,3.6,KGZ
2016,Bishkek (city),KG11,2.6,KGZ
2017,Bishkek (city),KG11,2.7,KGZ
2018,Bishkek (city),KG11,2.3,KGZ
2019,Bishkek (city),KG11,1.2,KGZ
2020,Bishkek (city),KG11,1.4,KGZ
2007,Osh (city),KG21,7.8,KGZ
2008,Osh (city),KG21,3.1,KGZ
2009,Osh (city),KG21,5.4,KGZ
2010,Osh (city),KG21,4.7,KGZ
2011,Osh (city),KG21,5.5,KGZ
2012,Osh (city),KG21,1.5,KGZ
2013,Osh (city),KG21,6.1,KGZ
2014,Osh (city),KG21,1.9,KGZ
2015,Osh (city),KG21,4.0,KGZ
2016,Osh (city),KG21,1.1,KGZ
2017,Osh (city),KG21,1.8,KGZ
2018,Osh (city),KG21,1.7,KGZ
2019,Osh (city),KG21,2.0,KGZ
2020,Osh (city),KG21,3.2,KGZ
