Year,UNIT_MEASURE,Sex,Age,Value,M49_country_code,SERIES,Reference area,GeoCode
2015,per 100000 population,,,4.9,KAZ,,,
2015,per 100000 population,Male,,7.2,KAZ,,,
2015,per 100000 population,Female,,2.9,KAZ,,,
2015,per 100000 population,,under 18 years old,0.9,KAZ,,,
2015,per 100000 population,,18 to 24 years old,5.8,KAZ,,,
2015,per 100000 population,,Y25T54,8.6,KAZ,,,
2015,per 100000 population,,55-59,9.2,KAZ,,,
2015,per 100000 population,,60+,4.9,KAZ,,,
2016,per 100000 population,,,4.8,KAZ,,,
2016,per 100000 population,Male,,7.2,KAZ,,,
2016,per 100000 population,Female,,2.6,KAZ,,,
2016,per 100000 population,,under 18 years old,0.5,KAZ,,,
2016,per 100000 population,,18 to 24 years old,6.5,KAZ,,,
2016,per 100000 population,,Y25T54,9.8,KAZ,,,
2016,per 100000 population,,55-59,8.4,KAZ,,,
2016,per 100000 population,,60+,5.0,KAZ,,,
2017,per 100000 population,,,5.1,KAZ,,,
2017,per 100000 population,Male,,8.0,KAZ,,,
2017,per 100000 population,Female,,2.4,KAZ,,,
2017,per 100000 population,,under 18 years old,0.7,KAZ,,,
2017,per 100000 population,,18 to 24 years old,5.9,KAZ,,,
2017,per 100000 population,,Y25T54,8.6,KAZ,,,
2017,per 100000 population,,55-59,7.0,KAZ,,,
2017,per 100000 population,,60+,5.3,KAZ,,,
2018,per 100000 population,,,4.4,KAZ,,,
2018,per 100000 population,Male,,6.5,KAZ,,,
2018,per 100000 population,Female,,2.5,KAZ,,,
2018,per 100000 population,,under 18 years old,0.6,KAZ,,,
2018,per 100000 population,,18 to 24 years old,5.1,KAZ,,,
2018,per 100000 population,,Y25T54,9.2,KAZ,,,
2018,per 100000 population,,55-59,6.3,KAZ,,,
2018,per 100000 population,,60+,4.9,KAZ,,,
2019,per 100000 population,,,3.9,KAZ,,,
2019,per 100000 population,Male,,6.0,KAZ,,,
2019,per 100000 population,Female,,1.8,KAZ,,,
2019,per 100000 population,,under 18 years old,0.3,KAZ,,,
2019,per 100000 population,,18 to 24 years old,3.9,KAZ,,,
2019,per 100000 population,,Y25T54,8.3,KAZ,,,
2019,per 100000 population,,55-59,5.6,KAZ,,,
2019,per 100000 population,,60+,3.2,KAZ,,,
2020,per 100000 population,,,3.2,KAZ,,,
2020,per 100000 population,Male,,5.0,KAZ,,,
2020,per 100000 population,Female,,1.5,KAZ,,,
2020,per 100000 population,,under 18 years old,0.3,KAZ,,,
2020,per 100000 population,,18 to 24 years old,2.4,KAZ,,,
2020,per 100000 population,,Y25T54,5.7,KAZ,,,
2020,per 100000 population,,55-59,13.2,KAZ,,,
2020,per 100000 population,,60+,3.8,KAZ,,,
2021,per 100000 population,,,3.0,KAZ,,,
2021,per 100000 population,Male,,4.6,KAZ,,,
2021,per 100000 population,Female,,1.4,KAZ,,,
2021,per 100000 population,,under 18 years old,0.1,KAZ,,,
2021,per 100000 population,,18 to 24 years old,2.1,KAZ,,,
2021,per 100000 population,,Y25T54,5.9,KAZ,,,
2021,per 100000 population,,55-59,5.2,KAZ,,,
2021,per 100000 population,,60+,3.7,KAZ,,,
2014,"Per 100,000 population",,,4.535563,KGZ,"Number of victims of intentional homicide per 100,000 population",,
2015,"Per 100,000 population",,,4.444398,KGZ,"Number of victims of intentional homicide per 100,000 population",,
2016,"Per 100,000 population",,,3.472061,KGZ,"Number of victims of intentional homicide per 100,000 population",,
2017,"Per 100,000 population",,,3.778379,KGZ,"Number of victims of intentional homicide per 100,000 population",,
2018,"Per 100,000 population",,,3.132627,KGZ,"Number of victims of intentional homicide per 100,000 population",,
2019,"Per 100,000 population",,,2.575293,KGZ,"Number of victims of intentional homicide per 100,000 population",,
2020,"Per 100,000 population",,,2.621744,KGZ,"Number of victims of intentional homicide per 100,000 population",,
2014,Number,,,262.0,KGZ,Number of victims of intentional homicide,,
2015,Number,,,262.0,KGZ,Number of victims of intentional homicide,,
2016,Number,,,209.0,KGZ,Number of victims of intentional homicide,,
2017,Number,,,232.0,KGZ,Number of victims of intentional homicide,,
2018,Number,,,196.0,KGZ,Number of victims of intentional homicide,,
2019,Number,,,168.0,KGZ,Number of victims of intentional homicide,,
2020,Number,,,174.0,KGZ,Number of victims of intentional homicide,,
2014,"Per 100,000 population",,,1.87232,KGZ,"Number of victims of intentional homicide per 100,000 population",Batken,KG05
2015,"Per 100,000 population",,,1.624056,KGZ,"Number of victims of intentional homicide per 100,000 population",Batken,KG05
2016,"Per 100,000 population",,,1.588834,KGZ,"Number of victims of intentional homicide per 100,000 population",Batken,KG05
2017,"Per 100,000 population",,,1.168242,KGZ,"Number of victims of intentional homicide per 100,000 population",Batken,KG05
2018,"Per 100,000 population",,,2.28517,KGZ,"Number of victims of intentional homicide per 100,000 population",Batken,KG05
2019,"Per 100,000 population",,,2.047026,KGZ,"Number of victims of intentional homicide per 100,000 population",Batken,KG05
