Year,Value,M49_country_code,SERIES
2010,71,KAZ,
2011,59,KAZ,
2012,74,KAZ,
2013,138,KAZ,
2014,126,KAZ,
2015,161,KAZ,
2016,165,KAZ,
2017,161,KAZ,
2018,121,KAZ,
2019,87,KAZ,
2020,113,KAZ,
2021,117,KAZ,
2016,153,KGZ,Number of firearms voluntarily surrendered
2017,196,KGZ,Number of firearms voluntarily surrendered
2018,232,KGZ,Number of firearms voluntarily surrendered
2019,146,KGZ,Number of firearms voluntarily surrendered
2020,158,KGZ,Number of firearms voluntarily surrendered
2021,149,KGZ,Number of firearms voluntarily surrendered
2016,217,KGZ,Number of firearms seized
2017,399,KGZ,Number of firearms seized
2018,296,KGZ,Number of firearms seized
2019,127,KGZ,Number of firearms seized
2020,397,KGZ,Number of firearms seized
2021,159,KGZ,Number of firearms seized
