Year,Type of product,Value,M49_country_code
2019,,2.093541,KGZ
2020,,1.776893,KGZ
2021,,1.466937,KGZ
2019,Computer and peripheral equipment,0.8758,KGZ
2020,Computer and peripheral equipment,0.704303,KGZ
2021,Computer and peripheral equipment,0.664276,KGZ
2019,Communication equipment (telecommunication equipment),0.916657,KGZ
2020,Communication equipment (telecommunication equipment),0.731091,KGZ
2021,Communication equipment (telecommunication equipment),0.453788,KGZ
2019,Consumer electronics (audio and video equipment),0.216403,KGZ
2020,Consumer electronics (audio and video equipment),0.261201,KGZ
2021,Consumer electronics (audio and video equipment),0.289615,KGZ
2019,Other electronic components and ICT products,0.084681,KGZ
2020,Other electronic components and ICT products,0.080297,KGZ
2021,Other electronic components and ICT products,0.059258,KGZ
