Year,UNIT_MEASURE,Area,Sex,Regions,Value,M49_country_code,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode
2011,Percent,,,,50.6,KAZ,,,,,,
2011,Percent,urban,,,60.4,KAZ,,,,,,
2011,Percent,rural,,,38.6,KAZ,,,,,,
2011,Percent,,,Akmola,53.03666306196898,KAZ,,,,,,
2011,Percent,,,Aktobe,58.92850532674924,KAZ,,,,,,
2011,Percent,,,Almaty,47.62188460809093,KAZ,,,,,,
2011,Percent,,,Atyrau,62.4203731258884,KAZ,,,,,,
2011,Percent,,,Batys Kazakhstan,59.9,KAZ,,,,,,
2011,Percent,,,Zhambyl,33.94220855041687,KAZ,,,,,,
2011,Percent,,,Karagandy,56.25476449021433,KAZ,,,,,,
2011,Percent,,,Kostanay,48.97294426634738,KAZ,,,,,,
2011,Percent,,,Kyzylorda,36.28273873157986,KAZ,,,,,,
2011,Percent,,,Mangistau,50.73488145241394,KAZ,,,,,,
2011,Percent,,,Ontustik Kazakhstan,44.01688913992825,KAZ,,,,,,
2011,Percent,,,Pavlodar,60.81099609136436,KAZ,,,,,,
2011,Percent,,,Soltustik Kazakhstan,50.7838705654966,KAZ,,,,,,
2011,Percent,,,Shygys Kazakhstan,44.875610801261054,KAZ,,,,,,
2011,Percent,,,Nur-Sultan city,54.313469785419386,KAZ,,,,,,
2011,Percent,,,Almaty city,63.683357235146765,KAZ,,,,,,
2012,Percent,,,,61.90662401932264,KAZ,,,,,,
2012,Percent,urban,,,73.9,KAZ,,,,,,
2012,Percent,rural,,,47.2,KAZ,,,,,,
2012,Percent,,,Akmola,70.25494713852555,KAZ,,,,,,
2012,Percent,,,Aktobe,72.90223910400472,KAZ,,,,,,
2012,Percent,,,Almaty,51.84361247256734,KAZ,,,,,,
2012,Percent,,,Atyrau,73.68455305533746,KAZ,,,,,,
2012,Percent,,,Batys Kazakhstan,66.55557347937993,KAZ,,,,,,
2012,Percent,,,Zhambyl,52.826835391720095,KAZ,,,,,,
2012,Percent,,,Karagandy,64.93976060118634,KAZ,,,,,,
2012,Percent,,,Kostanay,75.62765366457826,KAZ,,,,,,
2012,Percent,,,Kyzylorda,62.55566923996232,KAZ,,,,,,
2012,Percent,,,Mangistau,55.18785900474189,KAZ,,,,,,
2012,Percent,,,Ontustik Kazakhstan,48.49678736871316,KAZ,,,,,,
2012,Percent,,,Pavlodar,65.24373555488417,KAZ,,,,,,
2012,Percent,,,Soltustik Kazakhstan,70.44639043135521,KAZ,,,,,,
2012,Percent,,,Shygys Kazakhstan,66.38400412010571,KAZ,,,,,,
2012,Percent,,,Nur-Sultan city,64.3023319712125,KAZ,,,,,,
2012,Percent,,,Almaty city,68.24678063201104,KAZ,,,,,,
2013,Percent,,,,63.3,KAZ,,,,,,
2013,Percent,urban,,,73.2,KAZ,,,,,,
2013,Percent,rural,,,51.2,KAZ,,,,,,
2013,Percent,,,Akmola,71.3,KAZ,,,,,,
2013,Percent,,,Aktobe,73.3,KAZ,,,,,,
2013,Percent,,,Almaty,52.4,KAZ,,,,,,
2013,Percent,,,Atyrau,74.0,KAZ,,,,,,
2013,Percent,,,Batys Kazakhstan,67.2,KAZ,,,,,,
2013,Percent,,,Zhambyl,53.9,KAZ,,,,,,
2013,Percent,,,Karagandy,65.1,KAZ,,,,,,
2013,Percent,,,Kostanay,76.5,KAZ,,,,,,
2013,Percent,,,Kyzylorda,67.0,KAZ,,,,,,
2013,Percent,,,Mangistau,70.0,KAZ,,,,,,
2013,Percent,,,Ontustik Kazakhstan,48.7,KAZ,,,,,,
2013,Percent,,,Pavlodar,68.6,KAZ,,,,,,
2013,Percent,,,Soltustik Kazakhstan,70.6,KAZ,,,,,,
2013,Percent,,,Shygys Kazakhstan,67.0,KAZ,,,,,,
2013,Percent,,,Nur-Sultan city,64.5,KAZ,,,,,,
2013,Percent,,,Almaty city,71.0,KAZ,,,,,,
2014,Percent,,,,63.9,KAZ,,,,,,
2014,Percent,urban,,,72.6,KAZ,,,,,,
2014,Percent,rural,,,52.7,KAZ,,,,,,
