Year,UNIT_MEASURE,Area,Value,M49_country_code,Reference area,Degree of urbanisation,GeoCode
2011,Percent,,3.0,KAZ,,,
2011,Percent,urban,3.0,KAZ,,,
2011,Percent,rural,3.0,KAZ,,,
2012,Percent,,1.8,KAZ,,,
2012,Percent,urban,2.8,KAZ,,,
2012,Percent,rural,0.9,KAZ,,,
2013,Percent,,1.2,KAZ,,,
2013,Percent,urban,1.8,KAZ,,,
2013,Percent,rural,0.8,KAZ,,,
2014,Percent,,1.3,KAZ,,,
2014,Percent,urban,1.8,KAZ,,,
2014,Percent,rural,0.8,KAZ,,,
2015,Percent,,3.1,KAZ,,,
2015,Percent,urban,3.2,KAZ,,,
2015,Percent,rural,2.5,KAZ,,,
2016,Percent,,4.5,KAZ,,,
2016,Percent,urban,4.6,KAZ,,,
2016,Percent,rural,3.7,KAZ,,,
2017,Percent,,3.6,KAZ,,,
2017,Percent,urban,3.5,KAZ,,,
2017,Percent,rural,3.0,KAZ,,,
2018,Percent,,4.6,KAZ,,,
2018,Percent,urban,4.5,KAZ,,,
2018,Percent,rural,3.7,KAZ,,,
2019,Percent,,4.1,KAZ,,,
2019,Percent,urban,4.1,KAZ,,,
2019,Percent,rural,3.1,KAZ,,,
2020,Percent,,4.4,KAZ,,,
2020,Percent,urban,4.0,KAZ,,,
2020,Percent,rural,4.2,KAZ,,,
2000,,,60.521725,KGZ,,,
2001,,,77.154938,KGZ,,,
2002,,,51.354687,KGZ,,,
2003,,,55.244615,KGZ,,,
2004,,,48.2,KGZ,,,
2005,,,49.472402,KGZ,,,
2006,,,47.554172,KGZ,,,
2007,,,48.479985,KGZ,,,
2008,,,45.156055,KGZ,,,
2009,,,40.667524,KGZ,,,
2010,,,42.315954,KGZ,,,
2011,,,44.70876,KGZ,,,
2012,,,51.004239,KGZ,,,
2013,,,48.629898,KGZ,,,
2014,,,47.932099,KGZ,,,
2015,,,50.982902,KGZ,,,
2016,,,45.6165,KGZ,,,
2017,,,50.0267,KGZ,,,
2018,,,46.4,KGZ,,,
2019,,,46.3,KGZ,,,
2020,,,45.3,KGZ,,,
2021,,,46.69,KGZ,,,
2000,,,69.472742,KGZ,,Urban,
2001,,,84.06804,KGZ,,Urban,
2002,,,67.700173,KGZ,,Urban,
2003,,,59.23848,KGZ,,Urban,
2004,,,49.4,KGZ,,Urban,
2005,,,52.267834,KGZ,,Urban,
2006,,,46.086276,KGZ,,Urban,
2007,,,46.663125,KGZ,,Urban,
2008,,,45.363642,KGZ,,Urban,
2009,,,38.386768,KGZ,,Urban,
2010,,,44.47285,KGZ,,Urban,
2011,,,51.442437,KGZ,,Urban,
2012,,,60.754126,KGZ,,Urban,
2013,,,48.726107,KGZ,,Urban,
2014,,,53.02,KGZ,,Urban,
2015,,,58.534524,KGZ,,Urban,
2016,,,48.6979,KGZ,,Urban,
2017,,,55.5006,KGZ,,Urban,
2018,,,51.6,KGZ,,Urban,
2019,,,50.6,KGZ,,Urban,
2020,,,48.2,KGZ,,Urban,
2021,,,52.52,KGZ,,Urban,
2000,,,55.809151,KGZ,,Rural,
2001,,,73.452418,KGZ,,Rural,
2002,,,42.634369,KGZ,,Rural,
2003,,,53.092169,KGZ,,Rural,
2004,,,48.1,KGZ,,Rural,
2005,,,47.848938,KGZ,,Rural,
2006,,,48.420366,KGZ,,Rural,
2007,,,49.514891,KGZ,,Rural,
2008,,,45.039446,KGZ,,Rural,
2009,,,41.917619,KGZ,,Rural,
2010,,,41.073296,KGZ,,Rural,
2011,,,40.705385,KGZ,,Rural,
2012,,,45.363875,KGZ,,Rural,
2013,,,48.57992,KGZ,,Rural,
2014,,,45.06,KGZ,,Rural,
2015,,,46.84518,KGZ,,Rural,
2016,,,43.9253,KGZ,,Rural,
2017,,,47.0111,KGZ,,Rural,
2018,,,43.5,KGZ,,Rural,
2019,,,43.9,KGZ,,Rural,
2020,,,43.6,KGZ,,Rural,
2021,,,43.22,KGZ,,Rural,
2000,,,59.339716,KGZ,Batken,,KG05
2001,,,61.621051,KGZ,Batken,,KG05
2002,,,36.961393,KGZ,Batken,,KG05
2003,,,42.329001,KGZ,Batken,,KG05
2004,,,37.049508,KGZ,Batken,,KG05
2005,,,53.54665,KGZ,Batken,,KG05
2006,,,47.900712,KGZ,Batken,,KG05
2007,,,30.186768,KGZ,Batken,,KG05
2008,,,37.443818,KGZ,Batken,,KG05
2009,,,48.591583,KGZ,Batken,,KG05
2010,,,42.666903,KGZ,Batken,,KG05
2011,,,44.064464,KGZ,Batken,,KG05
2012,,,50.49106,KGZ,Batken,,KG05
2013,,,62.932382,KGZ,Batken,,KG05
2014,,,53.56602,KGZ,Batken,,KG05
2015,,,49.799251,KGZ,Batken,,KG05
2016,,,52.9718,KGZ,Batken,,KG05
2017,,,52.4614,KGZ,Batken,,KG05
2018,,,54.6,KGZ,Batken,,KG05
2019,,,52.6,KGZ,Batken,,KG05
2020,,,48.8,KGZ,Batken,,KG05
2021,,,51.31,KGZ,Batken,,KG05
2000,,,59.287149,KGZ,Jalal-Abad,,KG03
2001,,,81.005572,KGZ,Jalal-Abad,,KG03
2002,,,42.498122,KGZ,Jalal-Abad,,KG03
2003,,,57.011499,KGZ,Jalal-Abad,,KG03
2004,,,51.655713,KGZ,Jalal-Abad,,KG03
2005,,,61.433801,KGZ,Jalal-Abad,,KG03
2006,,,52.669155,KGZ,Jalal-Abad,,KG03
2007,,,61.234009,KGZ,Jalal-Abad,,KG03
2008,,,51.475346,KGZ,Jalal-Abad,,KG03
2009,,,34.357172,KGZ,Jalal-Abad,,KG03
2010,,,45.552551,KGZ,Jalal-Abad,,KG03
2011,,,41.458589,KGZ,Jalal-Abad,,KG03
2012,,,56.178597,KGZ,Jalal-Abad,,KG03
2013,,,55.445404,KGZ,Jalal-Abad,,KG03
2014,,,54.779707,KGZ,Jalal-Abad,,KG03
2015,,,55.904828,KGZ,Jalal-Abad,,KG03
2016,,,48.1947,KGZ,Jalal-Abad,,KG03
2017,,,41.1944,KGZ,Jalal-Abad,,KG03
2018,,,44.0,KGZ,Jalal-Abad,,KG03
2019,,,38.8,KGZ,Jalal-Abad,,KG03
2020,,,41.5,KGZ,Jalal-Abad,,KG03
2021,,,41.31,KGZ,Jalal-Abad,,KG03
2000,,,65.030908,KGZ,Issyk-Kul,,KG02
2001,,,78.831057,KGZ,Issyk-Kul,,KG02
2002,,,60.063825,KGZ,Issyk-Kul,,KG02
2003,,,52.018784,KGZ,Issyk-Kul,,KG02
2004,,,40.999171,KGZ,Issyk-Kul,,KG02
2005,,,46.03717,KGZ,Issyk-Kul,,KG02
2006,,,49.877805,KGZ,Issyk-Kul,,KG02
2007,,,50.802119,KGZ,Issyk-Kul,,KG02
2008,,,54.861606,KGZ,Issyk-Kul,,KG02
2009,,,44.383158,KGZ,Issyk-Kul,,KG02
2010,,,43.452039,KGZ,Issyk-Kul,,KG02
2011,,,41.044025,KGZ,Issyk-Kul,,KG02
2012,,,36.987697,KGZ,Issyk-Kul,,KG02
2013,,,39.824088,KGZ,Issyk-Kul,,KG02
2014,,,42.638658,KGZ,Issyk-Kul,,KG02
2015,,,46.284209,KGZ,Issyk-Kul,,KG02
2016,,,45.0267,KGZ,Issyk-Kul,,KG02
2017,,,51.7617,KGZ,Issyk-Kul,,KG02
2018,,,49.4,KGZ,Issyk-Kul,,KG02
2019,,,50.2,KGZ,Issyk-Kul,,KG02
2020,,,49.7,KGZ,Issyk-Kul,,KG02
2021,,,52.43,KGZ,Issyk-Kul,,KG02
2000,,,69.421773,KGZ,Naryn,,KG04
2001,,,83.854909,KGZ,Naryn,,KG04
2002,,,61.635086,KGZ,Naryn,,KG04
2003,,,56.394478,KGZ,Naryn,,KG04
2004,,,64.607909,KGZ,Naryn,,KG04
2005,,,41.085248,KGZ,Naryn,,KG04
2006,,,44.647005,KGZ,Naryn,,KG04
2007,,,54.995283,KGZ,Naryn,,KG04
2008,,,46.270674,KGZ,Naryn,,KG04
2009,,,45.332789,KGZ,Naryn,,KG04
2010,,,53.95726,KGZ,Naryn,,KG04
2011,,,55.074815,KGZ,Naryn,,KG04
2012,,,50.991559,KGZ,Naryn,,KG04
2013,,,49.875233,KGZ,Naryn,,KG04
2014,,,54.149214,KGZ,Naryn,,KG04
2015,,,50.007164,KGZ,Naryn,,KG04
2016,,,52.6105,KGZ,Naryn,,KG04
2017,,,41.3079,KGZ,Naryn,,KG04
