Year,UNIT_MEASURE,SERIES,Value,M49_country_code,Reference area,Degree of urbanisation,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2015.0,Percent,Food insecurity (moderate and extreme),7.8,KAZ,,,,,,,,
2015.0,Percent,Extreme food insecurity,1.4,KAZ,,,,,,,,
2016.0,Percent,Food insecurity (moderate and extreme),7.8,KAZ,,,,,,,,
2016.0,Percent,Extreme food insecurity,1.4,KAZ,,,,,,,,
2017.0,Percent,Food insecurity (moderate and extreme),7.8,KAZ,,,,,,,,
2017.0,Percent,Extreme food insecurity,1.4,KAZ,,,,,,,,
2018.0,Percent,Food insecurity (moderate and extreme),4.2,KAZ,,,,,,,,
2018.0,Percent,Extreme food insecurity,1.7,KAZ,,,,,,,,
2019.0,Percent,Food insecurity (moderate and extreme),5.3,KAZ,,,,,,,,
2019.0,Percent,Extreme food insecurity,1.9,KAZ,,,,,,,,
2020.0,Percent,Food insecurity (moderate and extreme),5.1,KAZ,,,,,,,,
2020.0,Percent,Extreme food insecurity,1.9,KAZ,,,,,,,,
2019.0,,Prevalence of moderate or severe food insecurity in the population,4.5,KGZ,,,,,,,,
2020.0,,Prevalence of moderate or severe food insecurity in the population,5.7,KGZ,,,,,,,,
2021.0,,Prevalence of moderate or severe food insecurity in the population,7.6,KGZ,,,,,,,,
2019.0,,Prevalence of moderate or severe food insecurity in the population,6.9,KGZ,,Urban,,,,,,
2020.0,,Prevalence of moderate or severe food insecurity in the population,9.4,KGZ,,Urban,,,,,,
2021.0,,Prevalence of moderate or severe food insecurity in the population,12.9,KGZ,,Urban,,,,,,
2019.0,,Prevalence of moderate or severe food insecurity in the population,3.1,KGZ,,Rural,,,,,,
2020.0,,Prevalence of moderate or severe food insecurity in the population,3.6,KGZ,,Rural,,,,,,
2021.0,,Prevalence of moderate or severe food insecurity in the population,4.5,KGZ,,Rural,,,,,,
2019.0,,Prevalence of moderate or severe food insecurity in the population,2.7,KGZ,Batken,,KG05,,,,,
2020.0,,Prevalence of moderate or severe food insecurity in the population,2.4,KGZ,Batken,,KG05,,,,,
2021.0,,Prevalence of moderate or severe food insecurity in the population,0.9,KGZ,Batken,,KG05,,,,,
2019.0,,Prevalence of moderate or severe food insecurity in the population,6.6,KGZ,Jalal-Abad,,KG03,,,,,
2020.0,,Prevalence of moderate or severe food insecurity in the population,7.0,KGZ,Jalal-Abad,,KG03,,,,,
2021.0,,Prevalence of moderate or severe food insecurity in the population,9.8,KGZ,Jalal-Abad,,KG03,,,,,
2019.0,,Prevalence of moderate or severe food insecurity in the population,9.3,KGZ,Issyk-Kul,,KG02,,,,,
2020.0,,Prevalence of moderate or severe food insecurity in the population,9.8,KGZ,Issyk-Kul,,KG02,,,,,
2021.0,,Prevalence of moderate or severe food insecurity in the population,4.6,KGZ,Issyk-Kul,,KG02,,,,,
2019.0,,Prevalence of moderate or severe food insecurity in the population,1.8,KGZ,Naryn,,KG04,,,,,
2020.0,,Prevalence of moderate or severe food insecurity in the population,1.3,KGZ,Naryn,,KG04,,,,,
2021.0,,Prevalence of moderate or severe food insecurity in the population,8.3,KGZ,Naryn,,KG04,,,,,
2019.0,,Prevalence of moderate or severe food insecurity in the population,2.2,KGZ,Osh,,KG06,,,,,
2020.0,,Prevalence of moderate or severe food insecurity in the population,2.2,KGZ,Osh,,KG06,,,,,
2021.0,,Prevalence of moderate or severe food insecurity in the population,3.5,KGZ,Osh,,KG06,,,,,
2019.0,,Prevalence of moderate or severe food insecurity in the population,3.3,KGZ,Talas,,KG07,,,,,
2020.0,,Prevalence of moderate or severe food insecurity in the population,7.6,KGZ,Talas,,KG07,,,,,
2021.0,,Prevalence of moderate or severe food insecurity in the population,8.3,KGZ,Talas,,KG07,,,,,
2019.0,,Prevalence of moderate or severe food insecurity in the population,3.0,KGZ,Chui,,KG08,,,,,
2020.0,,Prevalence of moderate or severe food insecurity in the population,4.2,KGZ,Chui,,KG08,,,,,
