Year,UNIT_MEASURE,Value,M49_country_code,SERIES
2010,thousands hectares,55.0,KAZ,
2011,thousands hectares,67.9,KAZ,
2012,thousands hectares,81.0,KAZ,
2013,thousands hectares,92.8,KAZ,
2014,thousands hectares,109.8,KAZ,
2015,thousands hectares,136.5,KAZ,
2016,thousands hectares,170.3,KAZ,
2017,thousands hectares,183.4,KAZ,
2018,thousands hectares,215.5,KAZ,
2019,thousands hectares,210.5,KAZ,
2020,thousands hectares,221.0,KAZ,
2018,,36.4,KGZ,Proportion of ​​agricultural crops fertilized with mineral fertilizers
2019,,35.4,KGZ,Proportion of ​​agricultural crops fertilized with mineral fertilizers
2020,,35.9,KGZ,Proportion of ​​agricultural crops fertilized with mineral fertilizers
2021,,35.6,KGZ,Proportion of ​​agricultural crops fertilized with mineral fertilizers
2018,,2.5,KGZ,Proportion of ​​agricultural crops fertilized with organic fertilizers
2019,,2.5,KGZ,Proportion of ​​agricultural crops fertilized with organic fertilizers
2020,,2.2,KGZ,Proportion of ​​agricultural crops fertilized with organic fertilizers
2021,,2.5,KGZ,Proportion of ​​agricultural crops fertilized with organic fertilizers
