Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,million US dollars,Kazakhstan as beneficiary,56.0,KAZ
2011,million US dollars,Kazakhstan as beneficiary,14.6,KAZ
2012,million US dollars,Kazakhstan as beneficiary,3.63,KAZ
2013,million US dollars,Kazakhstan as beneficiary,34.03,KAZ
2014,million US dollars,Kazakhstan as beneficiary,6.5,KAZ
2015,million US dollars,Kazakhstan as beneficiary,67.51,KAZ
2016,million US dollars,Kazakhstan as beneficiary,4.12,KAZ
2017,million US dollars,Kazakhstan as beneficiary,44.78,KAZ
2018,million US dollars,Kazakhstan as beneficiary,15.23,KAZ
2019,million US dollars,Kazakhstan as beneficiary,15.56,KAZ
2016,million US dollars,Kazakhstan as donor,0.003,KAZ
2017,million US dollars,Kazakhstan as donor,0.003,KAZ
2018,million US dollars,Kazakhstan as donor,0.786,KAZ
2019,million US dollars,Kazakhstan as donor,0.372,KAZ
