Year,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,,22.7,KAZ,,,,,,,
2010.0,Aktobe,34.5,KAZ,,,,,,,
2010.0,Almaty,16.1,KAZ,,,,,,,
2010.0,Atyrau,20.4,KAZ,,,,,,,
2010.0,Batys Kazakhstan,8.3,KAZ,,,,,,,
2010.0,Zhambyl,29.4,KAZ,,,,,,,
2010.0,Karagandy,4.2,KAZ,,,,,,,
2010.0,Kostanay,15.4,KAZ,,,,,,,
2010.0,Kyzylorda,35.0,KAZ,,,,,,,
2010.0,Mangistau,6.5,KAZ,,,,,,,
2010.0,Ontustik Kazakhstan,26.7,KAZ,,,,,,,
2010.0,Pavlodar,16.3,KAZ,,,,,,,
2010.0,Soltustik Kazakhstan,24.0,KAZ,,,,,,,
2010.0,Shygys Kazakhstan,21.5,KAZ,,,,,,,
2010.0,Nur-Sultan city,27.6,KAZ,,,,,,,
2010.0,Almaty city,6.0,KAZ,,,,,,,
2011.0,,17.4,KAZ,,,,,,,
2011.0,Akmola,23.3,KAZ,,,,,,,
2011.0,Aktobe,16.9,KAZ,,,,,,,
2011.0,Almaty,18.9,KAZ,,,,,,,
2011.0,Atyrau,6.6,KAZ,,,,,,,
2011.0,Zhambyl,22.5,KAZ,,,,,,,
2011.0,Karagandy,8.2,KAZ,,,,,,,
2011.0,Kostanay,15.7,KAZ,,,,,,,
2011.0,Kyzylorda,10.4,KAZ,,,,,,,
2011.0,Mangistau,24.7,KAZ,,,,,,,
2011.0,Ontustik Kazakhstan,16.8,KAZ,,,,,,,
2011.0,Pavlodar,7.8,KAZ,,,,,,,
2011.0,Shygys Kazakhstan,22.4,KAZ,,,,,,,
2011.0,Nur-Sultan city,10.4,KAZ,,,,,,,
2011.0,Almaty city,15.5,KAZ,,,,,,,
2012.0,,13.5,KAZ,,,,,,,
2012.0,Akmola,8.2,KAZ,,,,,,,
2012.0,Almaty,7.9,KAZ,,,,,,,
2012.0,Atyrau,6.4,KAZ,,,,,,,
2012.0,Zhambyl,18.7,KAZ,,,,,,,
2012.0,Karagandy,16.2,KAZ,,,,,,,
2012.0,Kyzylorda,15.0,KAZ,,,,,,,
2012.0,Mangistau,5.9,KAZ,,,,,,,
2012.0,Ontustik Kazakhstan,20.6,KAZ,,,,,,,
2012.0,Pavlodar,15.5,KAZ,,,,,,,
2012.0,Soltustik Kazakhstan,12.2,KAZ,,,,,,,
2012.0,Shygys Kazakhstan,13.2,KAZ,,,,,,,
2012.0,Almaty city,13.0,KAZ,,,,,,,
2013.0,,13.1,KAZ,,,,,,,
2013.0,Akmola,25.4,KAZ,,,,,,,
2013.0,Aktobe,21.3,KAZ,,,,,,,
2013.0,Almaty,5.1,KAZ,,,,,,,
2013.0,Atyrau,25.3,KAZ,,,,,,,
2013.0,Batys Kazakhstan,7.9,KAZ,,,,,,,
2013.0,Zhambyl,14.8,KAZ,,,,,,,
2013.0,Karagandy,4.1,KAZ,,,,,,,
2013.0,Kostanay,15.3,KAZ,,,,,,,
2013.0,Kyzylorda,10.6,KAZ,,,,,,,
2013.0,Mangistau,11.0,KAZ,,,,,,,
2013.0,Ontustik Kazakhstan,10.2,KAZ,,,,,,,
2013.0,Pavlodar,15.4,KAZ,,,,,,,
2013.0,Soltustik Kazakhstan,12.5,KAZ,,,,,,,
2013.0,Shygys Kazakhstan,8.9,KAZ,,,,,,,
2013.0,Nur-Sultan city,17.7,KAZ,,,,,,,
2013.0,Almaty city,10.2,KAZ,,,,,,,
2014.0,,15.2093150821552,KAZ,,,,,,,
2014.0,Akmola,16.93910392140256,KAZ,,,,,,,
2014.0,Aktobe,10.105603557172453,KAZ,,,,,,,
2014.0,Almaty,14.492753623188406,KAZ,,,,,,,
2014.0,Atyrau,12.295585884667403,KAZ,,,,,,,
2014.0,Batys Kazakhstan,23.09646624066518,KAZ,,,,,,,
2014.0,Zhambyl,18.11331691059267,KAZ,,,,,,,
2014.0,Karagandy,16.0655474335288,KAZ,,,,,,,
2014.0,Kostanay,15.730690577316343,KAZ,,,,,,,
2014.0,Kyzylorda,10.012014417300762,KAZ,,,,,,,
2014.0,Mangistau,26.55478251633119,KAZ,,,,,,,
2014.0,Ontustik Kazakhstan,15.487068297971192,KAZ,,,,,,,
2014.0,Pavlodar,0.0,KAZ,,,,,,,
2014.0,Soltustik Kazakhstan,17.691734169057156,KAZ,,,,,,,
2014.0,Shygys Kazakhstan,25.83200585525466,KAZ,,,,,,,
2014.0,Nur-Sultan city,16.335198268468982,KAZ,,,,,,,
2014.0,Almaty city,4.805035677389904,KAZ,,,,,,,
2015.0,,16.549690445562803,KAZ,,,,,,,
2015.0,Akmola,25.89331952356292,KAZ,,,,,,,
2015.0,Aktobe,15.02178158329578,KAZ,,,,,,,
2015.0,Almaty,17.17749257686928,KAZ,,,,,,,
2015.0,Atyrau,36.76245328104896,KAZ,,,,,,,
2015.0,Batys Kazakhstan,38.58024691358025,KAZ,,,,,,,
2015.0,Zhambyl,3.781147200060498,KAZ,,,,,,,
2015.0,Karagandy,32.725190215168126,KAZ,,,,,,,
2015.0,Kostanay,0.0,KAZ,,,,,,,
2015.0,Kyzylorda,48.761987321883296,KAZ,,,,,,,
2015.0,Mangistau,5.236424569304079,KAZ,,,,,,,
2015.0,Ontustik Kazakhstan,15.648227838197323,KAZ,,,,,,,
2015.0,Pavlodar,13.059945148230378,KAZ,,,,,,,
2015.0,Soltustik Kazakhstan,15.165876777251183,KAZ,,,,,,,
2015.0,Shygys Kazakhstan,22.251891410769915,KAZ,,,,,,,
2015.0,Nur-Sultan city,7.659900421294523,KAZ,,,,,,,
2015.0,Almaty city,2.3766517729822225,KAZ,,,,,,,
2016.0,,15.416634548678024,KAZ,,,,,,,
2016.0,Akmola,0.0,KAZ,,,,,,,
2016.0,Aktobe,20.193861066235865,KAZ,,,,,,,
2016.0,Almaty,14.472129091391496,KAZ,,,,,,,
2016.0,Atyrau,30.14045451805413,KAZ,,,,,,,
2016.0,Batys Kazakhstan,22.77904328018224,KAZ,,,,,,,
2016.0,Zhambyl,11.533138551437798,KAZ,,,,,,,
2016.0,Karagandy,29.37350509840124,KAZ,,,,,,,
2016.0,Kostanay,32.725190215168126,KAZ,,,,,,,
2016.0,Kyzylorda,5.335325188070213,KAZ,,,,,,,
2016.0,Mangistau,5.052801778586226,KAZ,,,,,,,
2016.0,Ontustik Kazakhstan,15.989766549408378,KAZ,,,,,,,
2016.0,Pavlodar,0.0,KAZ,,,,,,,
2016.0,Soltustik Kazakhstan,18.94058968369216,KAZ,,,,,,,
2016.0,Shygys Kazakhstan,17.755681818181817,KAZ,,,,,,,
2016.0,Nur-Sultan city,11.020093303456637,KAZ,,,,,,,
2016.0,Almaty city,7.939343416299472,KAZ,,,,,,,
2017.0,,14.812204234758116,KAZ,,,,,,,
2017.0,Akmola,17.809439002671414,KAZ,,,,,,,
2017.0,Aktobe,5.2521008403361344,KAZ,,,,,,,
2017.0,Almaty,25.085919273511777,KAZ,,,,,,,
2017.0,Atyrau,18.404907975460123,KAZ,,,,,,,
2017.0,Batys Kazakhstan,7.764577995185961,KAZ,,,,,,,
2017.0,Zhambyl,12.22593528404923,KAZ,,,,,,,
