Year,UNIT_MEASURE,Area,Value,M49_country_code,Reference area,Sex,GeoCode
2010,per 100000 population,,95.3,KAZ,,,
2010,per 100000 population,urban,107.3,KAZ,,,
2010,per 100000 population,rural,81.1,KAZ,,,
2011,per 100000 population,,86.6,KAZ,,,
2011,per 100000 population,urban,97.1,KAZ,,,
2011,per 100000 population,rural,74.0,KAZ,,,
2012,per 100000 population,,81.7,KAZ,,,
2012,per 100000 population,urban,91.0,KAZ,,,
2012,per 100000 population,rural,70.4,KAZ,,,
2013,per 100000 population,,73.4,KAZ,,,
2013,per 100000 population,urban,85.9,KAZ,,,
2013,per 100000 population,rural,61.2,KAZ,,,
2014,per 100000 population,,66.4,KAZ,,,
2014,per 100000 population,urban,78.6,KAZ,,,
2014,per 100000 population,rural,50.6,KAZ,,,
2015,per 100000 population,,58.5,KAZ,,,
2015,per 100000 population,urban,63.2,KAZ,,,
2015,per 100000 population,rural,52.1,KAZ,,,
2016,per 100000 population,,52.7,KAZ,,,
2016,per 100000 population,urban,55.6,KAZ,,,
2016,per 100000 population,rural,48.9,KAZ,,,
2017,per 100000 population,,52.2,KAZ,,,
2017,per 100000 population,urban,54.4,KAZ,,,
2017,per 100000 population,rural,49.2,KAZ,,,
2018,per 100000 population,,48.2,KAZ,,,
2018,per 100000 population,urban,50.2,KAZ,,,
2018,per 100000 population,rural,45.3,KAZ,,,
2019,per 100000 population,,45.6,KAZ,,,
2019,per 100000 population,urban,47.7,KAZ,,,
2019,per 100000 population,rural,42.6,KAZ,,,
2020,per 100000 population,,35.7,KAZ,,,
2020,per 100000 population,urban,35.9,KAZ,,,
2020,per 100000 population,rural,35.4,KAZ,,,
2007,,,115.478276,KGZ,,,
2008,,,106.340082,KGZ,,,
2009,,,103.932976,KGZ,,,
2010,,,101.138775,KGZ,,,
2011,,,100.367124,KGZ,,,
2012,,,104.342194,KGZ,,,
2013,,,102.43272,KGZ,,,
2014,,,101.065558,KGZ,,,
2015,,,98.249685,KGZ,,,
2016,,,93.423511,KGZ,,,
2017,,,90.6,KGZ,,,
2018,,,83.012882,KGZ,,,
2019,,,78.928029,KGZ,,,
2020,,,53.463697,KGZ,,,
2021,,,58.143497,KGZ,,,
2007,,,91.061332,KGZ,,Female,
2008,,,85.809103,KGZ,,Female,
2009,,,85.417204,KGZ,,Female,
2010,,,84.9,KGZ,,Female,
2011,,,81.94725,KGZ,,Female,
2012,,,85.223608,KGZ,,Female,
2013,,,87.8,KGZ,,Female,
2014,,,88.7,KGZ,,Female,
2015,,,83.7,KGZ,,Female,
2016,,,81.7,KGZ,,Female,
2017,,,77.7,KGZ,,Female,
2018,,,69.02199,KGZ,,Female,
2019,,,66.863517,KGZ,,Female,
2020,,,46.052047,KGZ,,Female,
2021,,,50.405858,KGZ,,Female,
2007,,,140.46199,KGZ,,Male,
2008,,,127.338423,KGZ,,Male,
2009,,,122.936319,KGZ,,Male,
2010,,,117.8,KGZ,,Male,
2011,,,119.256007,KGZ,,Male,
2012,,,123.922984,KGZ,,Male,
2013,,,117.4,KGZ,,Male,
2014,,,113.7,KGZ,,Male,
2015,,,113.1,KGZ,,Male,
2016,,,105.3,KGZ,,Male,
2017,,,103.8,KGZ,,Male,
2018,,,97.234292,KGZ,,Male,
2019,,,91.178105,KGZ,,Male,
2020,,,60.767053,KGZ,,Male,
2021,,,65.99579,KGZ,,Male,
2007,,,80.315042,KGZ,Batken,,KG05
2008,,,81.679899,KGZ,Batken,,KG05
2009,,,82.704723,KGZ,Batken,,KG05
2010,,,81.83755,KGZ,Batken,,KG05
2011,,,78.880836,KGZ,Batken,,KG05
2012,,,90.334237,KGZ,Batken,,KG05
2013,,,90.032265,KGZ,Batken,,KG05
2014,,,86.073371,KGZ,Batken,,KG05
2015,,,72.743563,KGZ,Batken,,KG05
2016,,,67.061001,KGZ,Batken,,KG05
2017,,,70.8,KGZ,Batken,,KG05
2018,,,64.887679,KGZ,Batken,,KG05
2019,,,55.906409,KGZ,Batken,,KG05
2020,,,46.609654,KGZ,Batken,,KG05
2021,,,47.339416,KGZ,Batken,,KG05
2007,,,70.837249,KGZ,Batken,Female,KG05
2008,,,67.323067,KGZ,Batken,Female,KG05
2009,,,81.332337,KGZ,Batken,Female,KG05
2010,,,62.3,KGZ,Batken,Female,KG05
2011,,,63.9,KGZ,Batken,Female,KG05
2012,,,79.7,KGZ,Batken,Female,KG05
2013,,,81.0,KGZ,Batken,Female,KG05
2014,,,78.8,KGZ,Batken,Female,KG05
2015,,,63.1,KGZ,Batken,Female,KG05
2016,,,66.6,KGZ,Batken,Female,KG05
2017,,,65.7,KGZ,Batken,Female,KG05
2018,,,60.420827,KGZ,Batken,Female,KG05
2019,,,45.279254,KGZ,Batken,Female,KG05
2020,,,39.785592,KGZ,Batken,Female,KG05
2021,,,44.184574,KGZ,Batken,Female,KG05
2007,,,89.745096,KGZ,Batken,Male,KG05
2008,,,95.98673,KGZ,Batken,Male,KG05
2009,,,84.03016,KGZ,Batken,Male,KG05
2010,,,100.8,KGZ,Batken,Male,KG05
2011,,,93.4,KGZ,Batken,Male,KG05
2012,,,100.7,KGZ,Batken,Male,KG05
2013,,,98.8,KGZ,Batken,Male,KG05
2014,,,93.2,KGZ,Batken,Male,KG05
2015,,,82.0,KGZ,Batken,Male,KG05
2016,,,67.5,KGZ,Batken,Male,KG05
2017,,,75.7,KGZ,Batken,Male,KG05
2018,,,69.192377,KGZ,Batken,Male,KG05
2019,,,66.139521,KGZ,Batken,Male,KG05
2020,,,53.693997,KGZ,Batken,Male,KG05
2021,,,50.379264,KGZ,Batken,Male,KG05
2007,,,91.916186,KGZ,Jalal-Abad,,KG03
2008,,,88.339312,KGZ,Jalal-Abad,,KG03
2009,,,87.787489,KGZ,Jalal-Abad,,KG03
2010,,,85.931674,KGZ,Jalal-Abad,,KG03
2011,,,82.549369,KGZ,Jalal-Abad,,KG03
2012,,,86.910818,KGZ,Jalal-Abad,,KG03
2013,,,80.886516,KGZ,Jalal-Abad,,KG03
2014,,,85.34428,KGZ,Jalal-Abad,,KG03
2015,,,76.512241,KGZ,Jalal-Abad,,KG03
2016,,,84.915163,KGZ,Jalal-Abad,,KG03
2017,,,80.2,KGZ,Jalal-Abad,,KG03
2018,,,73.346827,KGZ,Jalal-Abad,,KG03
2019,,,68.97159,KGZ,Jalal-Abad,,KG03
2020,,,49.13246,KGZ,Jalal-Abad,,KG03
2021,,,54.819948,KGZ,Jalal-Abad,,KG03
2007,,,75.21801,KGZ,Jalal-Abad,Female,KG03
2008,,,71.207543,KGZ,Jalal-Abad,Female,KG03
2009,,,71.790057,KGZ,Jalal-Abad,Female,KG03
2010,,,74.3,KGZ,Jalal-Abad,Female,KG03
2011,,,72.983333,KGZ,Jalal-Abad,Female,KG03
2012,,,75.789204,KGZ,Jalal-Abad,Female,KG03
2013,,,74.3,KGZ,Jalal-Abad,Female,KG03
2014,,,81.8,KGZ,Jalal-Abad,Female,KG03
2015,,,66.2,KGZ,Jalal-Abad,Female,KG03
2016,,,79.5,KGZ,Jalal-Abad,Female,KG03
2017,,,72.8,KGZ,Jalal-Abad,Female,KG03
2018,,,64.089585,KGZ,Jalal-Abad,Female,KG03
2019,,,67.445158,KGZ,Jalal-Abad,Female,KG03
2020,,,42.132308,KGZ,Jalal-Abad,Female,KG03
2021,,,47.67992,KGZ,Jalal-Abad,Female,KG03
2007,,,108.757553,KGZ,Jalal-Abad,Male,KG03
2008,,,105.621764,KGZ,Jalal-Abad,Male,KG03
2009,,,103.75711,KGZ,Jalal-Abad,Male,KG03
2010,,,97.6,KGZ,Jalal-Abad,Male,KG03
2011,,,92.090531,KGZ,Jalal-Abad,Male,KG03
2012,,,97.991089,KGZ,Jalal-Abad,Male,KG03
2013,,,87.5,KGZ,Jalal-Abad,Male,KG03
2014,,,88.8,KGZ,Jalal-Abad,Male,KG03
2015,,,86.7,KGZ,Jalal-Abad,Male,KG03
2016,,,90.3,KGZ,Jalal-Abad,Male,KG03
2017,,,87.5,KGZ,Jalal-Abad,Male,KG03
2018,,,82.492292,KGZ,Jalal-Abad,Male,KG03
2019,,,70.478672,KGZ,Jalal-Abad,Male,KG03
2020,,,56.225754,KGZ,Jalal-Abad,Male,KG03
2021,,,61.861275,KGZ,Jalal-Abad,Male,KG03
2007,,,74.818397,KGZ,Issyk-Kul,,KG02
2008,,,65.710142,KGZ,Issyk-Kul,,KG02
2009,,,68.260473,KGZ,Issyk-Kul,,KG02
2010,,,67.280621,KGZ,Issyk-Kul,,KG02
2011,,,68.345501,KGZ,Issyk-Kul,,KG02
2012,,,70.114091,KGZ,Issyk-Kul,,KG02
2013,,,69.963198,KGZ,Issyk-Kul,,KG02
2014,,,63.962325,KGZ,Issyk-Kul,,KG02
2015,,,58.459621,KGZ,Issyk-Kul,,KG02
2016,,,60.411219,KGZ,Issyk-Kul,,KG02
2017,,,48.6,KGZ,Issyk-Kul,,KG02
2018,,,48.933537,KGZ,Issyk-Kul,,KG02
2019,,,50.313751,KGZ,Issyk-Kul,,KG02
2020,,,28.457427,KGZ,Issyk-Kul,,KG02
2021,,,36.712395,KGZ,Issyk-Kul,,KG02
2007,,,57.509562,KGZ,Issyk-Kul,Female,KG02
2008,,,56.84919,KGZ,Issyk-Kul,Female,KG02
