Year,Age,Area,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,age: 10-14 years old,,,0.0443645094571824,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Akmola,0.1219586560156107,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Aktobe,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Almaty,0.04647056089967,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Atyrau,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Batys Kazakhstan,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Zhambyl,0.0241837968561064,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Karagandy,0.0715751300281528,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Kostanay,0.1171623284060065,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Kyzylorda,0.0325839035516454,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Mangistau,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Ontustik Kazakhstan,0.0084840669223198,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Pavlodar,0.09388349058818,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Soltustik Kazakhstan,0.0575208513085993,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Shygys Kazakhstan,0.0749185261028631,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Nur-Sultan city,0.1196530062817828,KAZ,,,,,,,
2010.0,age: 10-14 years old,,Almaty city,0.0591794765575298,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,,0.0607826526309391,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Akmola,0.2980477869951815,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Aktobe,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Almaty,0.2098489087856743,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Atyrau,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Batys Kazakhstan,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Zhambyl,0.0643045463314256,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Karagandy,0.0990769332386598,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Kostanay,0.2787974536499233,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Kyzylorda,0.0859217253082441,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Mangistau,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Ontustik Kazakhstan,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Pavlodar,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Soltustik Kazakhstan,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Shygys Kazakhstan,0.1009107192411513,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Nur-Sultan city,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,urban,Almaty city,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,,0.0299719762022508,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Akmola,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Aktobe,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Almaty,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Atyrau,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Batys Kazakhstan,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Zhambyl,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Karagandy,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Kostanay,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Kyzylorda,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Mangistau,0.0,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Ontustik Kazakhstan,0.0130032247997503,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Pavlodar,0.2499843759765014,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Soltustik Kazakhstan,0.082314689056262,KAZ,,,,,,,
2010.0,age: 10-14 years old,rural,Shygys Kazakhstan,0.0494462025316455,KAZ,,,,,,,
2010.0,15-19,,,28.26355987484842,KAZ,,,,,,,
2010.0,,,Akmola,33.42636895268474,KAZ,,,,,,,
2010.0,,,Aktobe,21.83937167468964,KAZ,,,,,,,
2010.0,,,Almaty,30.749137046366265,KAZ,,,,,,,
2010.0,,,Atyrau,42.38024950967507,KAZ,,,,,,,
2010.0,,,Batys Kazakhstan,26.08519194937924,KAZ,,,,,,,
2010.0,,,Zhambyl,36.693411909928926,KAZ,,,,,,,
2010.0,,,Karagandy,29.27261975162626,KAZ,,,,,,,
2010.0,,,Kostanay,25.815217391304348,KAZ,,,,,,,
2010.0,,,Kyzylorda,23.19021361645428,KAZ,,,,,,,
2010.0,,,Mangistau,39.68056934789805,KAZ,,,,,,,
2010.0,,,Ontustik Kazakhstan,30.06693734225832,KAZ,,,,,,,
2010.0,,,Pavlodar,27.55850506461753,KAZ,,,,,,,
2010.0,,,Soltustik Kazakhstan,31.21505777115169,KAZ,,,,,,,
2010.0,,,Shygys Kazakhstan,24.93887089352257,KAZ,,,,,,,
2010.0,,,Nur-Sultan city,22.6027397260274,KAZ,,,,,,,
2010.0,,,Almaty city,13.9711779772839,KAZ,,,,,,,
2010.0,,urban,,25.759867297653315,KAZ,,,,,,,
2010.0,,urban,Akmola,31.138429828112923,KAZ,,,,,,,
2010.0,,urban,Aktobe,20.66295368434129,KAZ,,,,,,,
2010.0,,urban,Almaty,32.142952966113064,KAZ,,,,,,,
2010.0,,urban,Atyrau,49.518066785436936,KAZ,,,,,,,
2010.0,,urban,Batys Kazakhstan,30.549045865416804,KAZ,,,,,,,
2010.0,,urban,Zhambyl,27.976146653905616,KAZ,,,,,,,
2010.0,,urban,Karagandy,29.81473502800517,KAZ,,,,,,,
2010.0,,urban,Kostanay,21.052010850336124,KAZ,,,,,,,
2010.0,,urban,Kyzylorda,29.322548028311427,KAZ,,,,,,,
2010.0,,urban,Mangistau,35.9752670039348,KAZ,,,,,,,
2010.0,,urban,Ontustik Kazakhstan,29.42766664092068,KAZ,,,,,,,
2010.0,,urban,Pavlodar,25.58139534883721,KAZ,,,,,,,
2010.0,,urban,Soltustik Kazakhstan,25.082672989330504,KAZ,,,,,,,
2010.0,,urban,Shygys Kazakhstan,22.30483271375465,KAZ,,,,,,,
2010.0,,urban,Nur-Sultan city,22.6027397260274,KAZ,,,,,,,
2010.0,,urban,Almaty city,13.9711779772839,KAZ,,,,,,,
2010.0,,rural,,31.026544706337727,KAZ,,,,,,,
2010.0,,rural,Akmola,35.308724222511586,KAZ,,,,,,,
2010.0,,rural,Aktobe,23.69374367677295,KAZ,,,,,,,
2010.0,,rural,Almaty,30.32854575189857,KAZ,,,,,,,
2010.0,,rural,Atyrau,36.71189146049481,KAZ,,,,,,,
2010.0,,rural,Batys Kazakhstan,22.56606512487216,KAZ,,,,,,,
2010.0,,rural,Zhambyl,42.64299472405996,KAZ,,,,,,,
2010.0,,rural,Karagandy,27.6408907332617,KAZ,,,,,,,
2010.0,,rural,Kostanay,30.21230266739249,KAZ,,,,,,,
2010.0,,rural,Kyzylorda,18.739144262054456,KAZ,,,,,,,
2010.0,,rural,Mangistau,43.61929150661545,KAZ,,,,,,,
2010.0,,rural,Ontustik Kazakhstan,30.478964038804985,KAZ,,,,,,,
2010.0,,rural,Pavlodar,31.16370808678501,KAZ,,,,,,,
2010.0,,rural,Soltustik Kazakhstan,34.86859224564143,KAZ,,,,,,,
2010.0,,rural,Shygys Kazakhstan,28.57756768371293,KAZ,,,,,,,
2011.0,age: 10-14 years old,,,0.0211100546310622,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Akmola,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Aktobe,0.0781188969611749,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Almaty,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Atyrau,0.0482648776485351,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Batys Kazakhstan,0.0517170045510963,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Zhambyl,0.0479639311237949,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Karagandy,0.0242789161891813,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Kostanay,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Kyzylorda,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Mangistau,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Ontustik Kazakhstan,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Pavlodar,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Soltustik Kazakhstan,0.1171680482732358,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Shygys Kazakhstan,0.0254023090698944,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Nur-Sultan city,0.0538227616459,KAZ,,,,,,,
2011.0,age: 10-14 years old,,Almaty city,0.0283177821513019,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,,0.0224340998317442,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Akmola,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Aktobe,0.0717900857891525,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Almaty,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Atyrau,0.1077934677158564,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Batys Kazakhstan,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Zhambyl,0.1302592158395206,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Karagandy,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Kostanay,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Kyzylorda,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Mangistau,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Ontustik Kazakhstan,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Pavlodar,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Soltustik Kazakhstan,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Shygys Kazakhstan,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Nur-Sultan city,0.0538227616459,KAZ,,,,,,,
2011.0,age: 10-14 years old,urban,Almaty city,0.0283177821513019,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,,0.019933587929548,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Akmola,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Aktobe,0.085671449989291,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Almaty,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Atyrau,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Batys Kazakhstan,0.0859623484913607,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Zhambyl,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Karagandy,0.0890828916306623,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Kostanay,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Kyzylorda,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Mangistau,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Ontustik Kazakhstan,0.0,KAZ,,,,,,,
2011.0,age: 10-14 years old,rural,Pavlodar,0.0,KAZ,,,,,,,
