Year,UNIT_MEASURE,Regions,Area,Sex,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,per 100000 population,,,,0.78,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,,,0.14,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,,,0.39,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,,,0.97,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,,,0.19,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,,,0.16,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,,,0.48,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,,,0.67,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,,,0.23,KAZ,,,,,,,
2010.0,per 100000 population,Kyzylorda,,,2.45,KAZ,,,,,,,
2010.0,per 100000 population,Mangistau,,,0.39,KAZ,,,,,,,
2010.0,per 100000 population,Ontustik Kazakhstan,,,1.97,KAZ,,,,,,,
2010.0,per 100000 population,Pavlodar,,,0.4,KAZ,,,,,,,
2010.0,per 100000 population,Soltustik Kazakhstan,,,0.17,KAZ,,,,,,,
2010.0,per 100000 population,Shygys Kazakhstan,,,0.57,KAZ,,,,,,,
2010.0,per 100000 population,Nur-Sultan city,,,0.45,KAZ,,,,,,,
2010.0,per 100000 population,Almaty city,,,0.21,KAZ,,,,,,,
2010.0,per 100000 population,,urban,,0.63,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,urban,,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,urban,,0.42,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,urban,,0.23,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,urban,,0.4,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,urban,,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,urban,,0.47,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,urban,,0.57,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,urban,,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Kyzylorda,urban,,1.02,KAZ,,,,,,,
2010.0,per 100000 population,Mangistau,urban,,0.73,KAZ,,,,,,,
2010.0,per 100000 population,Ontustik Kazakhstan,urban,,2.5,KAZ,,,,,,,
2010.0,per 100000 population,Pavlodar,urban,,0.39,KAZ,,,,,,,
2010.0,per 100000 population,Soltustik Kazakhstan,urban,,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Shygys Kazakhstan,urban,,0.74,KAZ,,,,,,,
2010.0,per 100000 population,Nur-Sultan city,urban,,0.45,KAZ,,,,,,,
2010.0,per 100000 population,Almaty city,urban,,0.21,KAZ,,,,,,,
2010.0,per 100000 population,,rural,,0.96,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,rural,,0.26,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,rural,,0.33,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,rural,,1.2,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,rural,,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,rural,,0.31,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,rural,,0.48,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,rural,,1.01,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,rural,,0.45,KAZ,,,,,,,
2010.0,per 100000 population,Kyzylorda,rural,,3.49,KAZ,,,,,,,
2010.0,per 100000 population,Mangistau,rural,,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Ontustik Kazakhstan,rural,,1.62,KAZ,,,,,,,
2010.0,per 100000 population,Pavlodar,rural,,0.43,KAZ,,,,,,,
2010.0,per 100000 population,Soltustik Kazakhstan,rural,,0.28,KAZ,,,,,,,
2010.0,per 100000 population,Shygys Kazakhstan,rural,,0.34,KAZ,,,,,,,
2010.0,per 100000 population,,,Male,0.92,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,,Male,0.28,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,,Male,0.54,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,,Male,0.88,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,,Male,0.59,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,,Male,1.1,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,,Male,0.24,KAZ,,,,,,,
2010.0,per 100000 population,Kyzylorda,,Male,2.31,KAZ,,,,,,,
2010.0,per 100000 population,Mangistau,,Male,0.39,KAZ,,,,,,,
2010.0,per 100000 population,Ontustik Kazakhstan,,Male,2.23,KAZ,,,,,,,
2010.0,per 100000 population,Pavlodar,,Male,0.57,KAZ,,,,,,,
2010.0,per 100000 population,Soltustik Kazakhstan,,Male,0.36,KAZ,,,,,,,
2010.0,per 100000 population,Shygys Kazakhstan,,Male,1.05,KAZ,,,,,,,
2010.0,per 100000 population,Nur-Sultan city,,Male,0.31,KAZ,,,,,,,
2010.0,per 100000 population,Almaty city,,Male,0.31,KAZ,,,,,,,
2010.0,per 100000 population,,urban,Male,0.86,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,urban,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,urban,Male,0.45,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,urban,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,urban,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,urban,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,urban,Male,0.5,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,urban,Male,1.23,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,urban,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Kyzylorda,urban,Male,2.11,KAZ,,,,,,,
2010.0,per 100000 population,Mangistau,urban,Male,0.76,KAZ,,,,,,,
2010.0,per 100000 population,Ontustik Kazakhstan,urban,Male,3.13,KAZ,,,,,,,
2010.0,per 100000 population,Pavlodar,urban,Male,0.43,KAZ,,,,,,,
2010.0,per 100000 population,Soltustik Kazakhstan,urban,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Shygys Kazakhstan,urban,Male,1.35,KAZ,,,,,,,
2010.0,per 100000 population,Nur-Sultan city,urban,Male,0.31,KAZ,,,,,,,
2010.0,per 100000 population,Almaty city,urban,Male,0.31,KAZ,,,,,,,
2010.0,per 100000 population,,rural,Male,0.97,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,rural,Male,0.52,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,rural,Male,0.67,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,rural,Male,1.14,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,rural,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,rural,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,rural,Male,0.65,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,rural,Male,0.67,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,rural,Male,0.47,KAZ,,,,,,,
2010.0,per 100000 population,Kyzylorda,rural,Male,2.45,KAZ,,,,,,,
2010.0,per 100000 population,Mangistau,rural,Male,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Ontustik Kazakhstan,rural,Male,1.68,KAZ,,,,,,,
2010.0,per 100000 population,Pavlodar,rural,Male,0.86,KAZ,,,,,,,
2010.0,per 100000 population,Soltustik Kazakhstan,rural,Male,0.58,KAZ,,,,,,,
2010.0,per 100000 population,Shygys Kazakhstan,rural,Male,0.68,KAZ,,,,,,,
2010.0,per 100000 population,,,Female,0.65,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,,Female,0.25,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,,Female,1.06,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,,Female,0.37,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,,Female,0.32,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,,Female,0.37,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,,Female,0.28,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,,Female,0.21,KAZ,,,,,,,
2010.0,per 100000 population,Kyzylorda,,Female,2.58,KAZ,,,,,,,
2010.0,per 100000 population,Mangistau,,Female,0.39,KAZ,,,,,,,
2010.0,per 100000 population,Ontustik Kazakhstan,,Female,1.71,KAZ,,,,,,,
2010.0,per 100000 population,Pavlodar,,Female,0.25,KAZ,,,,,,,
2010.0,per 100000 population,Soltustik Kazakhstan,,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Shygys Kazakhstan,,Female,0.14,KAZ,,,,,,,
2010.0,per 100000 population,Nur-Sultan city,,Female,0.58,KAZ,,,,,,,
2010.0,per 100000 population,Almaty city,,Female,0.13,KAZ,,,,,,,
2010.0,per 100000 population,,urban,Female,0.42,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,urban,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,urban,Female,0.4,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,urban,Female,0.44,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,urban,Female,0.76,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,urban,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,urban,Female,0.45,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,urban,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,urban,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Kyzylorda,urban,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Mangistau,urban,Female,0.71,KAZ,,,,,,,
2010.0,per 100000 population,Ontustik Kazakhstan,urban,Female,1.93,KAZ,,,,,,,
2010.0,per 100000 population,Pavlodar,urban,Female,0.36,KAZ,,,,,,,
2010.0,per 100000 population,Soltustik Kazakhstan,urban,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Shygys Kazakhstan,urban,Female,0.23,KAZ,,,,,,,
2010.0,per 100000 population,Nur-Sultan city,urban,Female,0.58,KAZ,,,,,,,
2010.0,per 100000 population,Almaty city,urban,Female,0.13,KAZ,,,,,,,
2010.0,per 100000 population,,rural,Female,0.94,KAZ,,,,,,,
2010.0,per 100000 population,Akmola,rural,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Aktobe,rural,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Almaty,rural,Female,1.26,KAZ,,,,,,,
2010.0,per 100000 population,Atyrau,rural,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Batys Kazakhstan,rural,Female,0.63,KAZ,,,,,,,
2010.0,per 100000 population,Zhambyl,rural,Female,0.32,KAZ,,,,,,,
2010.0,per 100000 population,Karagandy,rural,Female,1.35,KAZ,,,,,,,
2010.0,per 100000 population,Kostanay,rural,Female,0.44,KAZ,,,,,,,
2010.0,per 100000 population,Kyzylorda,rural,Female,4.55,KAZ,,,,,,,
2010.0,per 100000 population,Mangistau,rural,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Ontustik Kazakhstan,rural,Female,1.57,KAZ,,,,,,,
2010.0,per 100000 population,Pavlodar,rural,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Soltustik Kazakhstan,rural,Female,0.0,KAZ,,,,,,,
2010.0,per 100000 population,Shygys Kazakhstan,rural,Female,0.0,KAZ,,,,,,,
2011.0,per 100000 population,,,,1.08,KAZ,,,,,,,
2011.0,per 100000 population,Akmola,,,0.27,KAZ,,,,,,,
2011.0,per 100000 population,Aktobe,,,0.38,KAZ,,,,,,,
2011.0,per 100000 population,Almaty,,,2.49,KAZ,,,,,,,
2011.0,per 100000 population,Atyrau,,,0.37,KAZ,,,,,,,
2011.0,per 100000 population,Batys Kazakhstan,,,0.16,KAZ,,,,,,,
2011.0,per 100000 population,Zhambyl,,,1.43,KAZ,,,,,,,
2011.0,per 100000 population,Karagandy,,,0.89,KAZ,,,,,,,
2011.0,per 100000 population,Kostanay,,,0.0,KAZ,,,,,,,
2011.0,per 100000 population,Kyzylorda,,,1.84,KAZ,,,,,,,
2011.0,per 100000 population,Mangistau,,,0.75,KAZ,,,,,,,
2011.0,per 100000 population,Ontustik Kazakhstan,,,1.31,KAZ,,,,,,,
2011.0,per 100000 population,Pavlodar,,,0.27,KAZ,,,,,,,
2011.0,per 100000 population,Soltustik Kazakhstan,,,0.34,KAZ,,,,,,,
2011.0,per 100000 population,Shygys Kazakhstan,,,2.72,KAZ,,,,,,,
2011.0,per 100000 population,Nur-Sultan city,,,0.14,KAZ,,,,,,,
2011.0,per 100000 population,Almaty city,,,0.14,KAZ,,,,,,,
2011.0,per 100000 population,,urban,,1.07,KAZ,,,,,,,
2011.0,per 100000 population,Akmola,urban,,0.29,KAZ,,,,,,,
2011.0,per 100000 population,Aktobe,urban,,0.62,KAZ,,,,,,,
2011.0,per 100000 population,Almaty,urban,,5.21,KAZ,,,,,,,
2011.0,per 100000 population,Atyrau,urban,,0.39,KAZ,,,,,,,
2011.0,per 100000 population,Batys Kazakhstan,urban,,0.0,KAZ,,,,,,,
2011.0,per 100000 population,Zhambyl,urban,,1.66,KAZ,,,,,,,
2011.0,per 100000 population,Karagandy,urban,,0.57,KAZ,,,,,,,
2011.0,per 100000 population,Kostanay,urban,,0.0,KAZ,,,,,,,
2011.0,per 100000 population,Kyzylorda,urban,,1.0,KAZ,,,,,,,
2011.0,per 100000 population,Mangistau,urban,,0.36,KAZ,,,,,,,
2011.0,per 100000 population,Ontustik Kazakhstan,urban,,2.66,KAZ,,,,,,,
2011.0,per 100000 population,Pavlodar,urban,,0.39,KAZ,,,,,,,
2011.0,per 100000 population,Soltustik Kazakhstan,urban,,0.0,KAZ,,,,,,,
2011.0,per 100000 population,Shygys Kazakhstan,urban,,2.47,KAZ,,,,,,,
2011.0,per 100000 population,Nur-Sultan city,urban,,0.14,KAZ,,,,,,,
2011.0,per 100000 population,Almaty city,urban,,0.14,KAZ,,,,,,,
2011.0,per 100000 population,,rural,,1.08,KAZ,,,,,,,
2011.0,per 100000 population,Akmola,rural,,0.26,KAZ,,,,,,,
2011.0,per 100000 population,Aktobe,rural,,0.0,KAZ,,,,,,,
2011.0,per 100000 population,Almaty,rural,,1.66,KAZ,,,,,,,
2011.0,per 100000 population,Atyrau,rural,,0.36,KAZ,,,,,,,
2011.0,per 100000 population,Batys Kazakhstan,rural,,0.32,KAZ,,,,,,,
2011.0,per 100000 population,Zhambyl,rural,,1.27,KAZ,,,,,,,
2011.0,per 100000 population,Karagandy,rural,,2.03,KAZ,,,,,,,
2011.0,per 100000 population,Kostanay,rural,,0.0,KAZ,,,,,,,
2011.0,per 100000 population,Kyzylorda,rural,,2.45,KAZ,,,,,,,
