Year,UNIT_MEASURE,Sex,Value,M49_country_code,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2014.0,Percent,,22.9,KAZ,,,,,,,,,,,
2014.0,Percent,Male,43.4,KAZ,,,,,,,,,,,
2014.0,Percent,Female,4.5,KAZ,,,,,,,,,,,
2019.0,Percent,,21.5,KAZ,,,,,,,,,,,
2019.0,Percent,Male,38.3,KAZ,,,,,,,,,,,
2019.0,Percent,Female,6.4,KAZ,,,,,,,,,,,
2018.0,,,8.3,KGZ,,,,,,,,,,,
2019.0,,,8.1,KGZ,,,,,,,,,,,
2020.0,,,7.6,KGZ,,,,,,,,,,,
2021.0,,,6.3,KGZ,,,,,,,,,,,
2018.0,,Male,17.7,KGZ,,,,,,,,,,,
2019.0,,Male,17.2,KGZ,,,,,,,,,,,
2020.0,,Male,16.0,KGZ,,,,,,,,,,,
2021.0,,Male,13.4,KGZ,,,,,,,,,,,
2018.0,,Female,0.5,KGZ,,,,,,,,,,,
2019.0,,Female,0.4,KGZ,,,,,,,,,,,
2020.0,,Female,0.5,KGZ,,,,,,,,,,,
2021.0,,Female,0.4,KGZ,,,,,,,,,,,
2018.0,,,6.4,KGZ,,,Urban,,,,,,,,
2019.0,,,6.2,KGZ,,,Urban,,,,,,,,
2020.0,,,6.2,KGZ,,,Urban,,,,,,,,
2021.0,,,5.3,KGZ,,,Urban,,,,,,,,
2018.0,,,9.5,KGZ,,,Rural,,,,,,,,
2019.0,,,9.2,KGZ,,,Rural,,,,,,,,
2020.0,,,8.5,KGZ,,,Rural,,,,,,,,
2021.0,,,6.9,KGZ,,,Rural,,,,,,,,
2018.0,,,10.8,KGZ,Batken,,,,,KG05,,,,,
2019.0,,,10.9,KGZ,Batken,,,,,KG05,,,,,
2020.0,,,9.8,KGZ,Batken,,,,,KG05,,,,,
2021.0,,,9.1,KGZ,Batken,,,,,KG05,,,,,
2018.0,,,3.4,KGZ,Jalal-Abad,,,,,KG03,,,,,
2019.0,,,4.4,KGZ,Jalal-Abad,,,,,KG03,,,,,
2020.0,,,2.8,KGZ,Jalal-Abad,,,,,KG03,,,,,
2021.0,,,1.9,KGZ,Jalal-Abad,,,,,KG03,,,,,
2018.0,,,17.9,KGZ,Issyk-Kul,,,,,KG02,,,,,
2019.0,,,17.0,KGZ,Issyk-Kul,,,,,KG02,,,,,
2020.0,,,15.7,KGZ,Issyk-Kul,,,,,KG02,,,,,
2021.0,,,15.2,KGZ,Issyk-Kul,,,,,KG02,,,,,
2018.0,,,14.7,KGZ,Naryn,,,,,KG04,,,,,
2019.0,,,13.8,KGZ,Naryn,,,,,KG04,,,,,
2020.0,,,14.2,KGZ,Naryn,,,,,KG04,,,,,
2021.0,,,12.7,KGZ,Naryn,,,,,KG04,,,,,
2018.0,,,6.7,KGZ,Osh,,,,,KG06,,,,,
2019.0,,,6.0,KGZ,Osh,,,,,KG06,,,,,
2020.0,,,6.2,KGZ,Osh,,,,,KG06,,,,,
2021.0,,,4.3,KGZ,Osh,,,,,KG06,,,,,
2018.0,,,13.0,KGZ,Talas,,,,,KG07,,,,,
2019.0,,,13.7,KGZ,Talas,,,,,KG07,,,,,
2020.0,,,13.5,KGZ,Talas,,,,,KG07,,,,,
2021.0,,,13.0,KGZ,Talas,,,,,KG07,,,,,
2018.0,,,12.2,KGZ,Chui,,,,,KG08,,,,,
2019.0,,,10.5,KGZ,Chui,,,,,KG08,,,,,
2020.0,,,9.4,KGZ,Chui,,,,,KG08,,,,,
2021.0,,,7.8,KGZ,Chui,,,,,KG08,,,,,
2018.0,,,6.2,KGZ,Bishkek (city),,,,,KG11,,,,,
2019.0,,,6.3,KGZ,Bishkek (city),,,,,KG11,,,,,
2020.0,,,7.3,KGZ,Bishkek (city),,,,,KG11,,,,,
2021.0,,,5.5,KGZ,Bishkek (city),,,,,KG11,,,,,
2018.0,,,1.8,KGZ,Osh (city),,,,,KG21,,,,,
2019.0,,,1.6,KGZ,Osh (city),,,,,KG21,,,,,
2020.0,,,1.3,KGZ,Osh (city),,,,,KG21,,,,,
2021.0,,,1.2,KGZ,Osh (city),,,,,KG21,,,,,
