Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code,Reference area,Sex,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2014.0,per 1000 population,_L_HLTH_NUM_DOC,3.95,KAZ,,,,,,,,
2014.0,per 1000 population,_L_HLTH_PRV_MEDW,7.17,KAZ,,,,,,,,
2014.0,per 1000 population,_L_HLTH_PRV_DENT,0.37,KAZ,,,,,,,,
2014.0,per 1000 population,_L_HLTH_PRV_PHMT,0.81,KAZ,,,,,,,,
2015.0,per 1000 population,_L_HLTH_NUM_DOC,3.95,KAZ,,,,,,,,
2015.0,per 1000 population,_L_HLTH_PRV_MEDW,7.22,KAZ,,,,,,,,
2015.0,per 1000 population,_L_HLTH_PRV_DENT,0.36,KAZ,,,,,,,,
2015.0,per 1000 population,_L_HLTH_PRV_PHMT,0.81,KAZ,,,,,,,,
2016.0,per 1000 population,_L_HLTH_NUM_DOC,4.16,KAZ,,,,,,,,
2016.0,per 1000 population,_L_HLTH_PRV_MEDW,7.28,KAZ,,,,,,,,
2016.0,per 1000 population,_L_HLTH_PRV_DENT,0.42,KAZ,,,,,,,,
2016.0,per 1000 population,_L_HLTH_PRV_PHMT,0.69,KAZ,,,,,,,,
2017.0,per 1000 population,_L_HLTH_NUM_DOC,3.97,KAZ,,,,,,,,
2017.0,per 1000 population,_L_HLTH_PRV_MEDW,7.56,KAZ,,,,,,,,
2017.0,per 1000 population,_L_HLTH_PRV_DENT,0.37,KAZ,,,,,,,,
2017.0,per 1000 population,_L_HLTH_PRV_PHMT,0.49,KAZ,,,,,,,,
2018.0,per 1000 population,_L_HLTH_NUM_DOC,3.96,KAZ,,,,,,,,
2018.0,per 1000 population,_L_HLTH_PRV_MEDW,7.47,KAZ,,,,,,,,
2018.0,per 1000 population,_L_HLTH_PRV_DENT,0.38,KAZ,,,,,,,,
2018.0,per 1000 population,_L_HLTH_PRV_PHMT,0.46,KAZ,,,,,,,,
2019.0,per 1000 population,_L_HLTH_NUM_DOC,3.97,KAZ,,,,,,,,
2019.0,per 1000 population,_L_HLTH_PRV_MEDW,7.4,KAZ,,,,,,,,
