Year,UNIT_MEASURE,Area,Sex,Regions,Age,Mother's education,Wealth index quintile,Value,M49_country_code
2010,Percent,,,,,,,81.6,KAZ
2010,Percent,urban,,,,,,856.0,KAZ
2010,Percent,rural,,,,,,780.0,KAZ
2010,Percent,,Male,,,,,804.0,KAZ
2010,Percent,,Female,,,,,827.0,KAZ
2010,Percent,,,Akmola,,,,90.5,KAZ
2010,Percent,,,Aktobe,,,,96.1,KAZ
2010,Percent,,,Almaty,,,,81.4,KAZ
2010,Percent,,,Atyrau,,,,83.2,KAZ
2010,Percent,,,Batys Kazakhstan,,,,98.6,KAZ
2010,Percent,,,Zhambyl,,,,83.9,KAZ
2010,Percent,,,Karagandy,,,,75.9,KAZ
2010,Percent,,,Kostanay,,,,83.3,KAZ
2010,Percent,,,Kyzylorda,,,,67.2,KAZ
2010,Percent,,,Mangistau,,,,66.9,KAZ
2010,Percent,,,Ontustik Kazakhstan,,,,70.1,KAZ
2010,Percent,,,Pavlodar,,,,95.7,KAZ
2010,Percent,,,Soltustik Kazakhstan,,,,84.3,KAZ
2010,Percent,,,Shygys Kazakhstan,,,,80.6,KAZ
2010,Percent,,,Nur-Sultan city,,,,93.3,KAZ
2010,Percent,,,Almaty city,,,,97.4,KAZ
2010,Percent,,,,,basic secondary (middle-school),,77.1,KAZ
2010,Percent,,,,,Community College and Vocational type of Education,,833.0,KAZ
2010,Percent,,,,,Higher education,,853.0,KAZ
2010,Percent,,,,,,extreme poverty,711.0,KAZ
2010,Percent,,,,,,second,788.0,KAZ
2010,Percent,,,,,,third,832.0,KAZ
2010,Percent,,,,,,fourth,865.0,KAZ
2010,Percent,,,,,,wealthy,916.0,KAZ
2015,Percent,,,,,,,90.8,KAZ
2015,Percent,urban,,,,,,90.6,KAZ
2015,Percent,rural,,,,,,90.9,KAZ
2015,Percent,,Male,,,,,91.1,KAZ
2015,Percent,,Female,,,,,90.4,KAZ
2015,Percent,,,Akmola,,,,98.8,KAZ
2015,Percent,,,Aktobe,,,,100.0,KAZ
2015,Percent,,,Almaty,,,,82.4,KAZ
2015,Percent,,,Atyrau,,,,98.5,KAZ
2015,Percent,,,Batys Kazakhstan,,,,100.0,KAZ
2015,Percent,,,Zhambyl,,,,92.0,KAZ
2015,Percent,,,Karagandy,,,,94.0,KAZ
2015,Percent,,,Kostanay,,,,100.0,KAZ
2015,Percent,,,Kyzylorda,,,,69.6,KAZ
2015,Percent,,,Mangistau,,,,100.0,KAZ
2015,Percent,,,Ontustik Kazakhstan,,,,87.4,KAZ
2015,Percent,,,Pavlodar,,,,95.4,KAZ
2015,Percent,,,Soltustik Kazakhstan,,,,94.9,KAZ
2015,Percent,,,Shygys Kazakhstan,,,,96.6,KAZ
2015,Percent,,,Nur-Sultan city,,,,100.0,KAZ
2015,Percent,,,Almaty city,,,,58.4,KAZ
2015,,,,,6 years old,,,89.8,KAZ
2015,Percent,,,,7 years old and above,,,92.1,KAZ
2015,Percent,,,,,basic secondary (middle-school),,95.5,KAZ
2015,Percent,,,,,High Education (General),,83.2,KAZ
2015,Percent,,,,,Community College and Vocational type of Education,,92.0,KAZ
2015,Percent,,,,,Higher education,,94.6,KAZ
2015,Percent,,,,,,extreme poverty,88.3,KAZ
2015,Percent,,,,,,second,87.2,KAZ
2015,Percent,,,,,,third,89.4,KAZ
2015,Percent,,,,,,fourth,93.5,KAZ
2015,Percent,,,,,,wealthy,96.7,KAZ
