Year,UNIT_MEASURE,Sex,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2015.0,Percent,,,99.81213409838932,KAZ,,,,,
2015.0,Percent,Male,,100.0,KAZ,,,,,
2015.0,Percent,Female,,95.54547647768396,KAZ,,,,,
2015.0,Percent,,Akmola,100.0,KAZ,,,,,
2015.0,Percent,,Aktobe,100.0,KAZ,,,,,
2015.0,Percent,,Almaty,97.8,KAZ,,,,,
2015.0,Percent,,Atyrau,100.0,KAZ,,,,,
2015.0,Percent,,Batys Kazakhstan,100.0,KAZ,,,,,
2015.0,Percent,,Zhambyl,100.0,KAZ,,,,,
2015.0,Percent,,Karagandy,100.0,KAZ,,,,,
2015.0,Percent,,Kostanay,100.0,KAZ,,,,,
2015.0,Percent,,Kyzylorda,100.0,KAZ,,,,,
2015.0,Percent,,Mangistau,100.0,KAZ,,,,,
2015.0,Percent,,Ontustik Kazakhstan,99.5,KAZ,,,,,
2015.0,Percent,,Pavlodar,100.0,KAZ,,,,,
2015.0,Percent,,Soltustik Kazakhstan,100.0,KAZ,,,,,
2015.0,Percent,,Shygys Kazakhstan,100.0,KAZ,,,,,
2015.0,Percent,,Nur-Sultan city,99.7,KAZ,,,,,
2015.0,Percent,,Almaty city,99.8,KAZ,,,,,
2015.0,Percent,Male,Akmola,100.0,KAZ,,,,,
2015.0,Percent,Female,Akmola,100.0,KAZ,,,,,
2015.0,Percent,Male,Aktobe,100.0,KAZ,,,,,
2015.0,Percent,Female,Aktobe,100.0,KAZ,,,,,
2015.0,Percent,Male,Almaty,97.94669047315394,KAZ,,,,,
2015.0,Percent,Female,Almaty,97.69844146429864,KAZ,,,,,
2015.0,Percent,Male,Atyrau,100.0,KAZ,,,,,
2015.0,Percent,Female,Atyrau,100.0,KAZ,,,,,
2015.0,Percent,Male,Batys Kazakhstan,100.0,KAZ,,,,,
2015.0,Percent,Female,Batys Kazakhstan,100.0,KAZ,,,,,
2015.0,Percent,Male,Zhambyl,100.0,KAZ,,,,,
2015.0,Percent,Female,Zhambyl,100.0,KAZ,,,,,
2015.0,Percent,Male,Karagandy,100.0,KAZ,,,,,
2015.0,Percent,Female,Karagandy,100.0,KAZ,,,,,
2015.0,Percent,Male,Kostanay,100.0,KAZ,,,,,
2015.0,Percent,Female,Kostanay,100.0,KAZ,,,,,
2015.0,Percent,Male,Kyzylorda,100.0,KAZ,,,,,
2015.0,Percent,Female,Kyzylorda,100.0,KAZ,,,,,
