Year,UNIT_MEASURE,Mother's education,Area,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,,Elementary education/ High education (incomplete),,,1.0,KAZ,,,,,
2010.0,,secondary (high school),,,1.0,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,,1.0,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),urban,,0.99,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),rural,,1.0,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Akmola,0.99,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Aktobe,1.01,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Almaty,1.01,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Atyrau,1.0,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Batys Kazakhstan,0.99,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Zhambyl,0.99,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Karagandy,1.0,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Kostanay,0.99,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Kyzylorda,1.01,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Mangistau,1.0,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Ontustik Kazakhstan,1.0,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Pavlodar,1.0,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Soltustik Kazakhstan,1.01,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Shygys Kazakhstan,1.0,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Nur-Sultan city,1.0,KAZ,,,,,
2010.0,Percent,Elementary education/ High education (incomplete),,Almaty city,1.0,KAZ,,,,,
2010.0,Percent,secondary (high school),,,1.0,KAZ,,,,,
2010.0,Percent,secondary (high school),urban,,0.99,KAZ,,,,,
2010.0,Percent,secondary (high school),rural,,1.01,KAZ,,,,,
2010.0,Percent,secondary (high school),,Akmola,1.02,KAZ,,,,,
2010.0,Percent,secondary (high school),,Aktobe,1.0,KAZ,,,,,
2010.0,Percent,secondary (high school),,Almaty,1.03,KAZ,,,,,
2010.0,Percent,secondary (high school),,Atyrau,1.01,KAZ,,,,,
2010.0,Percent,secondary (high school),,Batys Kazakhstan,1.01,KAZ,,,,,
