Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,million US dollars,Kazakhstan as beneficiary,3.33,KAZ
2011,million US dollars,Kazakhstan as beneficiary,3.87,KAZ
2012,million US dollars,Kazakhstan as beneficiary,3.19,KAZ
2013,million US dollars,Kazakhstan as beneficiary,3.75,KAZ
2014,million US dollars,Kazakhstan as beneficiary,2.66,KAZ
2015,million US dollars,Kazakhstan as beneficiary,3.11,KAZ
2016,million US dollars,Kazakhstan as beneficiary,3.81,KAZ
2017,million US dollars,Kazakhstan as beneficiary,4.99,KAZ
2018,million US dollars,Kazakhstan as beneficiary,4.26,KAZ
2019,million US dollars,Kazakhstan as beneficiary,12.08,KAZ
2016,million US dollars,Kazakhstan as donor,1.99,KAZ
2017,million US dollars,Kazakhstan as donor,0.05,KAZ
2018,million US dollars,Kazakhstan as donor,0.66,KAZ
2019,million US dollars,Kazakhstan as donor,0.42,KAZ
