Year,UNIT_MEASURE,Area,Sex,Regions,Value,M49_country_code,Reference area,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2016.0,Percent,,,,85.4,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,,86.0,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,,84.8,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,,88.5,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,,89.0,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,,88.0,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,,81.3,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,,82.3,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,,80.2,KAZ,,,,,,,,,,,
2016.0,Percent,,,Akmola,85.9,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Akmola,87.6,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Akmola,84.4,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Akmola,90.2,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Akmola,91.6,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Akmola,89.0,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Akmola,82.2,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Akmola,84.4,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Akmola,80.1,KAZ,,,,,,,,,,,
2016.0,Percent,,,Aktobe,85.0,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Aktobe,85.3,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Aktobe,84.8,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Aktobe,90.2,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Aktobe,91.2,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Aktobe,89.3,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Aktobe,76.6,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Aktobe,76.2,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Aktobe,77.0,KAZ,,,,,,,,,,,
2016.0,Percent,,,Almaty,87.9,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Almaty,87.6,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Almaty,88.2,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Almaty,88.4,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Almaty,89.0,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Almaty,87.8,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Almaty,87.8,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Almaty,87.2,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Almaty,88.3,KAZ,,,,,,,,,,,
2016.0,Percent,,,Atyrau,85.1,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Atyrau,86.1,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Atyrau,84.2,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Atyrau,90.2,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Atyrau,92.9,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Atyrau,87.7,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Atyrau,80.6,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Atyrau,80.3,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Atyrau,80.9,KAZ,,,,,,,,,,,
2016.0,Percent,,,Batys Kazakhstan,90.1,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Batys Kazakhstan,90.8,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Batys Kazakhstan,89.4,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Batys Kazakhstan,95.0,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Batys Kazakhstan,95.7,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Batys Kazakhstan,94.4,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Batys Kazakhstan,85.2,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Batys Kazakhstan,86.5,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Batys Kazakhstan,84.0,KAZ,,,,,,,,,,,
2016.0,Percent,,,Zhambyl,75.8,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Zhambyl,77.0,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Zhambyl,74.7,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Zhambyl,81.4,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Zhambyl,80.7,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Zhambyl,82.0,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Zhambyl,72.1,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Zhambyl,74.7,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Zhambyl,69.4,KAZ,,,,,,,,,,,
2016.0,Percent,,,Karagandy,82.8,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Karagandy,84.5,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Karagandy,81.2,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Karagandy,85.3,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Karagandy,87.3,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Karagandy,83.6,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Karagandy,73.0,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Karagandy,74.9,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Karagandy,71.1,KAZ,,,,,,,,,,,
2016.0,Percent,,,Kostanay,89.7,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Kostanay,91.2,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Kostanay,88.4,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Kostanay,92.3,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Kostanay,94.1,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Kostanay,90.8,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Kostanay,86.9,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Kostanay,88.3,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Kostanay,85.6,KAZ,,,,,,,,,,,
2016.0,Percent,,,Kyzylorda,83.9,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Kyzylorda,84.1,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Kyzylorda,83.6,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Kyzylorda,91.8,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Kyzylorda,90.6,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Kyzylorda,93.1,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Kyzylorda,77.8,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Kyzylorda,79.4,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Kyzylorda,76.1,KAZ,,,,,,,,,,,
2016.0,Percent,,,Mangistau,87.0,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Mangistau,87.2,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Mangistau,86.8,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Mangistau,94.0,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Mangistau,95.5,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Female,Mangistau,92.6,KAZ,,,,,,,,,,,
2016.0,Percent,rural,,Mangistau,80.5,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Male,Mangistau,79.8,KAZ,,,,,,,,,,,
2016.0,Percent,rural,Female,Mangistau,81.2,KAZ,,,,,,,,,,,
2016.0,Percent,,,Pavlodar,89.6,KAZ,,,,,,,,,,,
2016.0,Percent,,Male,Pavlodar,91.3,KAZ,,,,,,,,,,,
2016.0,Percent,,Female,Pavlodar,88.1,KAZ,,,,,,,,,,,
2016.0,Percent,urban,,Pavlodar,92.1,KAZ,,,,,,,,,,,
2016.0,Percent,urban,Male,Pavlodar,92.9,KAZ,,,,,,,,,,,
