Year,UNIT_MEASURE,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,79.7,KAZ,,,,,,,
2010.0,Percent,Akmola,82.1,KAZ,,,,,,,
2010.0,Percent,Aktobe,94.1,KAZ,,,,,,,
2010.0,Percent,Almaty,41.5,KAZ,,,,,,,
2010.0,Percent,Atyrau,1.5,KAZ,,,,,,,
2010.0,Percent,Batys Kazakhstan,99.0,KAZ,,,,,,,
2010.0,Percent,Zhambyl,18.3,KAZ,,,,,,,
2010.0,Percent,Karagandy,68.4,KAZ,,,,,,,
2010.0,Percent,Kostanay,56.5,KAZ,,,,,,,
2010.0,Percent,Kyzylorda,68.9,KAZ,,,,,,,
2010.0,Percent,Mangistau,81.7,KAZ,,,,,,,
2010.0,Percent,Pavlodar,84.3,KAZ,,,,,,,
2010.0,Percent,Soltustik Kazakhstan,46.3,KAZ,,,,,,,
2010.0,Percent,Shygys Kazakhstan,97.7,KAZ,,,,,,,
2010.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2010.0,Percent,Almaty city,95.2,KAZ,,,,,,,
2011.0,Percent,,79.4,KAZ,,,,,,,
2011.0,Percent,Akmola,79.4,KAZ,,,,,,,
2011.0,Percent,Aktobe,94.3,KAZ,,,,,,,
2011.0,Percent,Almaty,41.1,KAZ,,,,,,,
2011.0,Percent,Atyrau,1.6,KAZ,,,,,,,
2011.0,Percent,Batys Kazakhstan,98.6,KAZ,,,,,,,
2011.0,Percent,Zhambyl,17.8,KAZ,,,,,,,
2011.0,Percent,Karagandy,69.0,KAZ,,,,,,,
2011.0,Percent,Kostanay,54.2,KAZ,,,,,,,
2011.0,Percent,Kyzylorda,77.8,KAZ,,,,,,,
2011.0,Percent,Mangistau,81.7,KAZ,,,,,,,
2011.0,Percent,Pavlodar,83.9,KAZ,,,,,,,
2011.0,Percent,Soltustik Kazakhstan,53.1,KAZ,,,,,,,
2011.0,Percent,Shygys Kazakhstan,94.1,KAZ,,,,,,,
2011.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2011.0,Percent,Almaty city,96.9,KAZ,,,,,,,
2012.0,Percent,,60.2,KAZ,,,,,,,
2012.0,Percent,Akmola,72.9,KAZ,,,,,,,
2012.0,Percent,Aktobe,91.5,KAZ,,,,,,,
2012.0,Percent,Almaty,40.8,KAZ,,,,,,,
2012.0,Percent,Atyrau,1.5,KAZ,,,,,,,
2012.0,Percent,Batys Kazakhstan,98.8,KAZ,,,,,,,
2012.0,Percent,Zhambyl,21.3,KAZ,,,,,,,
2012.0,Percent,Karagandy,66.8,KAZ,,,,,,,
2012.0,Percent,Kostanay,48.9,KAZ,,,,,,,
2012.0,Percent,Kyzylorda,77.8,KAZ,,,,,,,
2012.0,Percent,Mangistau,62.7,KAZ,,,,,,,
2012.0,Percent,Pavlodar,84.5,KAZ,,,,,,,
2012.0,Percent,Soltustik Kazakhstan,97.9,KAZ,,,,,,,
2012.0,Percent,Shygys Kazakhstan,97.5,KAZ,,,,,,,
2012.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2012.0,Percent,Almaty city,97.6,KAZ,,,,,,,
2013.0,Percent,,81.1,KAZ,,,,,,,
2013.0,Percent,Akmola,74.2,KAZ,,,,,,,
2013.0,Percent,Aktobe,92.8,KAZ,,,,,,,
2013.0,Percent,Almaty,33.7,KAZ,,,,,,,
2013.0,Percent,Atyrau,1.7,KAZ,,,,,,,
2013.0,Percent,Batys Kazakhstan,98.7,KAZ,,,,,,,
2013.0,Percent,Zhambyl,20.5,KAZ,,,,,,,
2013.0,Percent,Karagandy,67.5,KAZ,,,,,,,
2013.0,Percent,Kostanay,51.2,KAZ,,,,,,,
2013.0,Percent,Kyzylorda,87.8,KAZ,,,,,,,
2013.0,Percent,Mangistau,75.2,KAZ,,,,,,,
2013.0,Percent,Pavlodar,82.1,KAZ,,,,,,,
2013.0,Percent,Soltustik Kazakhstan,98.1,KAZ,,,,,,,
2013.0,Percent,Shygys Kazakhstan,97.4,KAZ,,,,,,,
2013.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2013.0,Percent,Almaty city,97.4,KAZ,,,,,,,
2014.0,Percent,,81.1,KAZ,,,,,,,
2014.0,Percent,Akmola,74.2,KAZ,,,,,,,
2014.0,Percent,Aktobe,92.8,KAZ,,,,,,,
2014.0,Percent,Almaty,33.7,KAZ,,,,,,,
2014.0,Percent,Atyrau,1.7,KAZ,,,,,,,
2014.0,Percent,Batys Kazakhstan,98.7,KAZ,,,,,,,
2014.0,Percent,Zhambyl,20.5,KAZ,,,,,,,
2014.0,Percent,Karagandy,67.5,KAZ,,,,,,,
2014.0,Percent,Kostanay,51.2,KAZ,,,,,,,
2014.0,Percent,Kyzylorda,87.8,KAZ,,,,,,,
2014.0,Percent,Mangistau,75.2,KAZ,,,,,,,
2014.0,Percent,Pavlodar,82.1,KAZ,,,,,,,
2014.0,Percent,Soltustik Kazakhstan,98.1,KAZ,,,,,,,
2014.0,Percent,Shygys Kazakhstan,97.4,KAZ,,,,,,,
2014.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2014.0,Percent,Almaty city,97.4,KAZ,,,,,,,
2015.0,Percent,,82.6,KAZ,,,,,,,
2015.0,Percent,Akmola,79.6,KAZ,,,,,,,
2015.0,Percent,Aktobe,97.8,KAZ,,,,,,,
2015.0,Percent,Almaty,84.7,KAZ,,,,,,,
2015.0,Percent,Atyrau,1.8,KAZ,,,,,,,
2015.0,Percent,Batys Kazakhstan,98.6,KAZ,,,,,,,
2015.0,Percent,Zhambyl,16.6,KAZ,,,,,,,
2015.0,Percent,Karagandy,67.6,KAZ,,,,,,,
2015.0,Percent,Kostanay,51.6,KAZ,,,,,,,
2015.0,Percent,Kyzylorda,96.1,KAZ,,,,,,,
2015.0,Percent,Mangistau,75.3,KAZ,,,,,,,
2015.0,Percent,Pavlodar,87.8,KAZ,,,,,,,
2015.0,Percent,Soltustik Kazakhstan,52.4,KAZ,,,,,,,
2015.0,Percent,Shygys Kazakhstan,97.9,KAZ,,,,,,,
2015.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2015.0,Percent,Almaty city,98.2,KAZ,,,,,,,
2016.0,Percent,,83.7,KAZ,,,,,,,
2016.0,Percent,Akmola,79.5,KAZ,,,,,,,
2016.0,Percent,Aktobe,98.0,KAZ,,,,,,,
2016.0,Percent,Almaty,83.2,KAZ,,,,,,,
2016.0,Percent,Atyrau,35.4,KAZ,,,,,,,
2016.0,Percent,Batys Kazakhstan,99.3,KAZ,,,,,,,
2016.0,Percent,Zhambyl,17.7,KAZ,,,,,,,
2016.0,Percent,Karagandy,69.6,KAZ,,,,,,,
2016.0,Percent,Kostanay,50.5,KAZ,,,,,,,
2016.0,Percent,Kyzylorda,95.8,KAZ,,,,,,,
2016.0,Percent,Mangistau,74.5,KAZ,,,,,,,
2016.0,Percent,Pavlodar,88.4,KAZ,,,,,,,
2016.0,Percent,Soltustik Kazakhstan,54.6,KAZ,,,,,,,
2016.0,Percent,Shygys Kazakhstan,97.9,KAZ,,,,,,,
2016.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2016.0,Percent,Almaty city,97.3,KAZ,,,,,,,
2017.0,Percent,,81.3,KAZ,,,,,,,
2017.0,Percent,Akmola,79.9,KAZ,,,,,,,
2017.0,Percent,Aktobe,97.3,KAZ,,,,,,,
2017.0,Percent,Almaty,80.7,KAZ,,,,,,,
2017.0,Percent,Atyrau,32.3,KAZ,,,,,,,
2017.0,Percent,Batys Kazakhstan,99.4,KAZ,,,,,,,
2017.0,Percent,Zhambyl,18.8,KAZ,,,,,,,
2017.0,Percent,Karagandy,59.6,KAZ,,,,,,,
2017.0,Percent,Kostanay,54.5,KAZ,,,,,,,
2017.0,Percent,Kyzylorda,95.9,KAZ,,,,,,,
2017.0,Percent,Mangistau,73.8,KAZ,,,,,,,
2017.0,Percent,Pavlodar,88.1,KAZ,,,,,,,
2017.0,Percent,Soltustik Kazakhstan,52.0,KAZ,,,,,,,
2017.0,Percent,Shygys Kazakhstan,97.8,KAZ,,,,,,,
2017.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2017.0,Percent,Almaty city,97.9,KAZ,,,,,,,
2018.0,Percent,,79.7,KAZ,,,,,,,
2018.0,Percent,Akmola,77.4,KAZ,,,,,,,
2018.0,Percent,Aktobe,97.2,KAZ,,,,,,,
2018.0,Percent,Almaty,62.6,KAZ,,,,,,,
2018.0,Percent,Atyrau,42.5,KAZ,,,,,,,
2018.0,Percent,Batys Kazakhstan,99.6,KAZ,,,,,,,
2018.0,Percent,Zhambyl,18.3,KAZ,,,,,,,
2018.0,Percent,Karagandy,58.6,KAZ,,,,,,,
2018.0,Percent,Kostanay,39.1,KAZ,,,,,,,
2018.0,Percent,Kyzylorda,95.4,KAZ,,,,,,,
2018.0,Percent,Mangistau,77.0,KAZ,,,,,,,
2018.0,Percent,Pavlodar,87.7,KAZ,,,,,,,
2018.0,Percent,Soltustik Kazakhstan,51.7,KAZ,,,,,,,
2018.0,Percent,Turkistan,69.2,KAZ,,,,,,,
2018.0,Percent,Shygys Kazakhstan,97.7,KAZ,,,,,,,
2018.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2018.0,Percent,Almaty city,98.1,KAZ,,,,,,,
2019.0,Percent,,72.3,KAZ,,,,,,,
2019.0,Percent,Akmola,81.3,KAZ,,,,,,,
2019.0,Percent,Aktobe,96.1,KAZ,,,,,,,
2019.0,Percent,Almaty,39.7,KAZ,,,,,,,
2019.0,Percent,Atyrau,41.8,KAZ,,,,,,,
2019.0,Percent,Batys Kazakhstan,99.6,KAZ,,,,,,,
2019.0,Percent,Zhambyl,2.0,KAZ,,,,,,,
2019.0,Percent,Karagandy,55.9,KAZ,,,,,,,
2019.0,Percent,Kostanay,36.0,KAZ,,,,,,,
2019.0,Percent,Kyzylorda,94.6,KAZ,,,,,,,
2019.0,Percent,Mangistau,18.2,KAZ,,,,,,,
2019.0,Percent,Pavlodar,87.6,KAZ,,,,,,,
2019.0,Percent,Soltustik Kazakhstan,0.1,KAZ,,,,,,,
2019.0,Percent,Turkistan,52.5,KAZ,,,,,,,
2019.0,Percent,Shygys Kazakhstan,80.8,KAZ,,,,,,,
2019.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2019.0,Percent,Almaty city,98.1,KAZ,,,,,,,
2019.0,Percent,Shymkent city,89.6,KAZ,,,,,,,
2020.0,Percent,,73.4,KAZ,,,,,,,
2020.0,Percent,Akmola,84.4,KAZ,,,,,,,
2020.0,Percent,Aktobe,96.1,KAZ,,,,,,,
2020.0,Percent,Almaty,39.8,KAZ,,,,,,,
2020.0,Percent,Atyrau,39.0,KAZ,,,,,,,
2020.0,Percent,Batys Kazakhstan,99.7,KAZ,,,,,,,
2020.0,Percent,Zhambyl,2.0,KAZ,,,,,,,
2020.0,Percent,Karagandy,58.4,KAZ,,,,,,,
2020.0,Percent,Kostanay,35.3,KAZ,,,,,,,
2020.0,Percent,Kyzylorda,95.2,KAZ,,,,,,,
2020.0,Percent,Mangistau,18.7,KAZ,,,,,,,
2020.0,Percent,Pavlodar,88.7,KAZ,,,,,,,
2020.0,Percent,Soltustik Kazakhstan,0.1,KAZ,,,,,,,
2020.0,Percent,Turkistan,51.2,KAZ,,,,,,,
2020.0,Percent,Shygys Kazakhstan,81.3,KAZ,,,,,,,
2020.0,Percent,Nur-Sultan city,100.0,KAZ,,,,,,,
2020.0,Percent,Almaty city,98.1,KAZ,,,,,,,
2020.0,Percent,Shymkent city,88.8,KAZ,,,,,,,
2010.0,,,89.9,KGZ,,,,,,,
2011.0,,,94.5,KGZ,,,,,,,
2012.0,,,94.4,KGZ,,,,,,,
2013.0,,,91.0,KGZ,,,,,,,
2014.0,,,94.4,KGZ,,,,,,,
2015.0,,,94.5,KGZ,,,,,,,
2016.0,,,93.5,KGZ,,,,,,,
2017.0,,,93.9,KGZ,,,,,,,
2018.0,,,95.1,KGZ,,,,,,,
2019.0,,,95.0,KGZ,,,,,,,
2020.0,,,95.9,KGZ,,,,,,,
2021.0,,,97.0,KGZ,,,,,,,
2013.0,,,39.3,KGZ,Batken,KG05,,,,,
2014.0,,,91.1,KGZ,Batken,KG05,,,,,
2015.0,,,91.1,KGZ,Batken,KG05,,,,,
2016.0,,,96.2,KGZ,Batken,KG05,,,,,
2017.0,,,96.2,KGZ,Batken,KG05,,,,,
2018.0,,,96.2,KGZ,Batken,KG05,,,,,
2019.0,,,96.2,KGZ,Batken,KG05,,,,,
2020.0,,,96.2,KGZ,Batken,KG05,,,,,
2021.0,,,96.2,KGZ,Batken,KG05,,,,,
2010.0,,,61.2,KGZ,Jalal-Abad,KG03,,,,,
2011.0,,,63.6,KGZ,Jalal-Abad,KG03,,,,,
2012.0,,,60.7,KGZ,Jalal-Abad,KG03,,,,,
2013.0,,,62.7,KGZ,Jalal-Abad,KG03,,,,,
2014.0,,,53.7,KGZ,Jalal-Abad,KG03,,,,,
2015.0,,,35.5,KGZ,Jalal-Abad,KG03,,,,,
2016.0,,,38.0,KGZ,Jalal-Abad,KG03,,,,,
2017.0,,,62.3,KGZ,Jalal-Abad,KG03,,,,,
2018.0,,,62.3,KGZ,Jalal-Abad,KG03,,,,,
2019.0,,,62.3,KGZ,Jalal-Abad,KG03,,,,,
2020.0,,,62.3,KGZ,Jalal-Abad,KG03,,,,,
2021.0,,,62.7,KGZ,Jalal-Abad,KG03,,,,,
2010.0,,,100.0,KGZ,Issyk-Kul,KG02,,,,,
2011.0,,,98.1,KGZ,Issyk-Kul,KG02,,,,,
2012.0,,,98.1,KGZ,Issyk-Kul,KG02,,,,,
2013.0,,,100.0,KGZ,Issyk-Kul,KG02,,,,,
2014.0,,,100.0,KGZ,Issyk-Kul,KG02,,,,,
2015.0,,,101.1,KGZ,Issyk-Kul,KG02,,,,,
2016.0,,,97.5,KGZ,Issyk-Kul,KG02,,,,,
2017.0,,,97.3,KGZ,Issyk-Kul,KG02,,,,,
2018.0,,,99.9,KGZ,Issyk-Kul,KG02,,,,,
2019.0,,,99.96,KGZ,Issyk-Kul,KG02,,,,,
2020.0,,,100.0,KGZ,Issyk-Kul,KG02,,,,,
2021.0,,,100.0,KGZ,Issyk-Kul,KG02,,,,,
2011.0,,,100.0,KGZ,Naryn,KG04,,,,,
2012.0,,,100.0,KGZ,Naryn,KG04,,,,,
2013.0,,,100.0,KGZ,Naryn,KG04,,,,,
2014.0,,,100.0,KGZ,Naryn,KG04,,,,,
2015.0,,,100.0,KGZ,Naryn,KG04,,,,,
2016.0,,,100.0,KGZ,Naryn,KG04,,,,,
2017.0,,,100.0,KGZ,Naryn,KG04,,,,,
2018.0,,,100.0,KGZ,Naryn,KG04,,,,,
2019.0,,,100.0,KGZ,Naryn,KG04,,,,,
2020.0,,,100.0,KGZ,Naryn,KG04,,,,,
2021.0,,,100.0,KGZ,Naryn,KG04,,,,,
2010.0,,,0.0,KGZ,Talas,KG07,,,,,
2011.0,,,0.0,KGZ,Talas,KG07,,,,,
2012.0,,,0.0,KGZ,Talas,KG07,,,,,
2013.0,,,0.0,KGZ,Talas,KG07,,,,,
2014.0,,,21.3,KGZ,Talas,KG07,,,,,
2015.0,,,22.2,KGZ,Talas,KG07,,,,,
2016.0,,,98.5,KGZ,Talas,KG07,,,,,
2017.0,,,95.6,KGZ,Talas,KG07,,,,,
2018.0,,,98.2,KGZ,Talas,KG07,,,,,
2019.0,,,98.2,KGZ,Talas,KG07,,,,,
2020.0,,,100.0,KGZ,Talas,KG07,,,,,
2021.0,,,100.0,KGZ,Talas,KG07,,,,,
2010.0,,,44.2,KGZ,Chui,KG08,,,,,
2011.0,,,0.0,KGZ,Chui,KG08,,,,,
2012.0,,,0.0,KGZ,Chui,KG08,,,,,
2013.0,,,29.8,KGZ,Chui,KG08,,,,,
2014.0,,,74.8,KGZ,Chui,KG08,,,,,
2015.0,,,97.1,KGZ,Chui,KG08,,,,,
2016.0,,,95.4,KGZ,Chui,KG08,,,,,
2017.0,,,59.4,KGZ,Chui,KG08,,,,,
2018.0,,,65.4,KGZ,Chui,KG08,,,,,
2019.0,,,63.0,KGZ,Chui,KG08,,,,,
2020.0,,,62.7,KGZ,Chui,KG08,,,,,
2021.0,,,57.9,KGZ,Chui,KG08,,,,,
2010.0,,,99.1,KGZ,Bishkek (city),KG11,,,,,
2011.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2012.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2013.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2014.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2015.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2016.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2017.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2018.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2019.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2020.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2021.0,,,100.0,KGZ,Bishkek (city),KG11,,,,,
2010.0,,,100.0,KGZ,Osh (city),KG21,,,,,
,,,,UZB,,,01_101_,Total,True,2000.0,75.7
,,,,UZB,,,01_101_,Total,True,2001.0,83.0
,,,,UZB,,,01_101_,Total,True,2002.0,85.1
,,,,UZB,,,01_101_,Total,True,2003.0,87.1
,,,,UZB,,,01_101_,Total,True,2004.0,86.6
,,,,UZB,,,01_101_,Total,True,2005.0,88.1
,,,,UZB,,,01_101_,Total,True,2006.0,88.7
,,,,UZB,,,01_101_,Total,True,2007.0,89.8
,,,,UZB,,,01_101_,Total,True,2008.0,81.9
,,,,UZB,,,01_101_,Total,True,2009.0,84.4
,,,,UZB,,,01_101_,Total,True,2010.0,86.5
,,,,UZB,,,01_101_,Total,True,2011.0,86.6
,,,,UZB,,,01_101_,Total,True,2012.0,93.1
,,,,UZB,,,01_101_,Total,True,2013.0,92.5
,,,,UZB,,,01_101_,Total,True,2014.0,92.6
,,,,UZB,,,01_101_,Total,True,2015.0,93.5
,,,,UZB,,,01_101_,Total,True,2016.0,94.1
,,,,UZB,,,01_101_,Total,True,2017.0,92.2
,,,,UZB,,,01_101_,Total,True,2018.0,93.3
,,,,UZB,,,01_101_,Total,True,2019.0,92.1
,,,,UZB,,,01_101_,Total,True,2020.0,92.4
,,,,UZB,,,01_101_,Total,True,2021.0,92.2
