Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,14.9,KAZ,,,,,
2010.0,Percent,Akmola,25.0,KAZ,,,,,
2010.0,Percent,Aktobe,0.0,KAZ,,,,,
2010.0,Percent,Almaty,0.0,KAZ,,,,,
2010.0,Percent,Atyrau,100.0,KAZ,,,,,
2010.0,Percent,Batys Kazakhstan,11.1,KAZ,,,,,
2010.0,Percent,Zhambyl,0.0,KAZ,,,,,
2010.0,Percent,Karagandy,0.0,KAZ,,,,,
2010.0,Percent,Kostanay,0.0,KAZ,,,,,
2010.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2010.0,Percent,Mangistau,100.0,KAZ,,,,,
2010.0,Percent,Ontustik Kazakhstan,16.6,KAZ,,,,,
2010.0,Percent,Pavlodar,100.0,KAZ,,,,,
2010.0,Percent,Soltustik Kazakhstan,0.0,KAZ,,,,,
2010.0,Percent,Shygys Kazakhstan,35.7,KAZ,,,,,
2011.0,Percent,,17.8,KAZ,,,,,
2011.0,Percent,Akmola,0.0,KAZ,,,,,
2011.0,Percent,Aktobe,0.0,KAZ,,,,,
2011.0,Percent,Almaty,5.9,KAZ,,,,,
2011.0,Percent,Atyrau,100.0,KAZ,,,,,
2011.0,Percent,Batys Kazakhstan,11.1,KAZ,,,,,
2011.0,Percent,Zhambyl,11.1,KAZ,,,,,
2011.0,Percent,Karagandy,14.3,KAZ,,,,,
2011.0,Percent,Kostanay,0.0,KAZ,,,,,
2011.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2011.0,Percent,Mangistau,0.0,KAZ,,,,,
2011.0,Percent,Ontustik Kazakhstan,16.6,KAZ,,,,,
2011.0,Percent,Pavlodar,100.0,KAZ,,,,,
2011.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,
2011.0,Percent,Shygys Kazakhstan,30.8,KAZ,,,,,
2012.0,Percent,,21.5,KAZ,,,,,
2012.0,Percent,Akmola,0.0,KAZ,,,,,
2012.0,Percent,Aktobe,0.0,KAZ,,,,,
2012.0,Percent,Almaty,26.3,KAZ,,,,,
2012.0,Percent,Atyrau,100.0,KAZ,,,,,
2012.0,Percent,Batys Kazakhstan,55.6,KAZ,,,,,
2012.0,Percent,Zhambyl,10.0,KAZ,,,,,
2012.0,Percent,Karagandy,0.0,KAZ,,,,,
2012.0,Percent,Kostanay,0.0,KAZ,,,,,
2012.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2012.0,Percent,Mangistau,0.0,KAZ,,,,,
2012.0,Percent,Ontustik Kazakhstan,28.6,KAZ,,,,,
2012.0,Percent,Pavlodar,100.0,KAZ,,,,,
2012.0,Percent,Soltustik Kazakhstan,100.0,KAZ,,,,,
2012.0,Percent,Shygys Kazakhstan,28.6,KAZ,,,,,
2013.0,Percent,,23.0,KAZ,,,,,
2013.0,Percent,Akmola,0.0,KAZ,,,,,
2013.0,Percent,Aktobe,0.0,KAZ,,,,,
2013.0,Percent,Almaty,63.2,KAZ,,,,,
2013.0,Percent,Atyrau,100.0,KAZ,,,,,
2013.0,Percent,Batys Kazakhstan,22.2,KAZ,,,,,
2013.0,Percent,Zhambyl,10.0,KAZ,,,,,
2013.0,Percent,Karagandy,0.0,KAZ,,,,,
