Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value,M49_country_code
2010,Water loss at transportation (volume),,Million of cubic metres per annum,,1768.0,KGZ
2011,Water loss at transportation (volume),,Million of cubic metres per annum,,1877.1,KGZ
2012,Water loss at transportation (volume),,Million of cubic metres per annum,,1955.3,KGZ
2013,Water loss at transportation (volume),,Million of cubic metres per annum,,1873.3,KGZ
2014,Water loss at transportation (volume),,Million of cubic metres per annum,,2029.8,KGZ
2015,Water loss at transportation (volume),,Million of cubic metres per annum,,2092.3,KGZ
2016,Water loss at transportation (volume),,Million of cubic metres per annum,,1841.6,KGZ
2017,Water loss at transportation (volume),,Million of cubic metres per annum,,2128.3,KGZ
2018,Water loss at transportation (volume),,Million of cubic metres per annum,,2085.2,KGZ
2019,Water loss at transportation (volume),,Million of cubic metres per annum,,2242.8,KGZ
2020,Water loss at transportation (volume),,Million of cubic metres per annum,,2198.7,KGZ
2021,Water loss at transportation (volume),,Million of cubic metres per annum,,2148.2,KGZ
2010,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,116.2,KGZ
2011,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,118.7,KGZ
2012,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,92.6,KGZ
2013,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,92.6,KGZ
2014,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,4.3,KGZ
2015,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,114.7,KGZ
2016,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,114.5,KGZ
2017,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,105.8,KGZ
2018,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,101.1,KGZ
2019,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,104.8,KGZ
2020,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,132.7,KGZ
2021,Water loss at transportation (volume),Batken,Million of cubic metres per annum,KG05,109.5,KGZ
2010,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,189.7,KGZ
2011,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,218.9,KGZ
2012,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,451.3,KGZ
2013,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,451.3,KGZ
2014,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,350.0,KGZ
2015,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,208.1,KGZ
2016,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,200.6,KGZ
2017,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,214.7,KGZ
2018,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,186.3,KGZ
2019,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,254.4,KGZ
2020,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,242.9,KGZ
2021,Water loss at transportation (volume),Jalal-Abad,Million of cubic metres per annum,KG03,210.1,KGZ
2010,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,164.6,KGZ
2011,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,155.0,KGZ
2012,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,181.6,KGZ
2013,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,174.3,KGZ
2014,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,198.9,KGZ
2015,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,157.8,KGZ
2016,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,165.3,KGZ
2017,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,184.9,KGZ
2018,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,193.6,KGZ
2019,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,199.8,KGZ
2020,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,203.3,KGZ
2021,Water loss at transportation (volume),Issyk-Kul,Million of cubic metres per annum,KG02,196.0,KGZ
2010,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,188.7,KGZ
2011,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,181.8,KGZ
2012,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,194.4,KGZ
2013,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,197.1,KGZ
2014,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,197.1,KGZ
2015,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,189.2,KGZ
2016,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,182.0,KGZ
2017,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,186.8,KGZ
2018,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,194.3,KGZ
2019,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,200.1,KGZ
2020,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,202.8,KGZ
2021,Water loss at transportation (volume),Naryn,Million of cubic metres per annum,KG04,209.0,KGZ
2010,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,227.7,KGZ
2011,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,206.6,KGZ
2012,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,386.2,KGZ
2013,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,352.1,KGZ
2014,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,232.6,KGZ
2015,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,232.6,KGZ
2016,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,246.6,KGZ
2017,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,299.4,KGZ
2018,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,292.4,KGZ
2019,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,310.0,KGZ
2020,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,284.7,KGZ
2021,Water loss at transportation (volume),Osh,Million of cubic metres per annum,KG06,300.2,KGZ
2010,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,228.9,KGZ
2011,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,253.9,KGZ
2012,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,263.7,KGZ
2013,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,282.6,KGZ
2014,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,257.8,KGZ
2015,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,309.7,KGZ
2016,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,294.0,KGZ
2017,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,300.7,KGZ
2018,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,299.1,KGZ
2019,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,322.3,KGZ
2020,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,294.9,KGZ
2021,Water loss at transportation (volume),Talas,Million of cubic metres per annum,KG07,302.9,KGZ
2010,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,627.5,KGZ
2011,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,717.2,KGZ
2012,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,836.3,KGZ
2013,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,774.1,KGZ
2014,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,764.2,KGZ
2015,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,856.3,KGZ
2016,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,614.8,KGZ
2017,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,804.6,KGZ
2018,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,786.3,KGZ
2019,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,818.9,KGZ
2020,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,802.5,KGZ
2021,Water loss at transportation (volume),Chui,Million of cubic metres per annum,KG08,786.0,KGZ
2010,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,24.7,KGZ
2011,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,25.0,KGZ
2013,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,24.2,KGZ
2014,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,24.9,KGZ
2015,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,23.9,KGZ
2016,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,23.8,KGZ
2017,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,24.6,KGZ
2018,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,25.3,KGZ
2019,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,25.8,KGZ
2020,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,28.1,KGZ
2021,Water loss at transportation (volume),Bishkek (city),Million of cubic metres per annum,KG11,27.7,KGZ
2017,Water loss at transportation (volume),Osh (city),Million of cubic metres per annum,KG21,6.8,KGZ
2018,Water loss at transportation (volume),Osh (city),Million of cubic metres per annum,KG21,6.8,KGZ
2019,Water loss at transportation (volume),Osh (city),Million of cubic metres per annum,KG21,6.8,KGZ
2020,Water loss at transportation (volume),Osh (city),Million of cubic metres per annum,KG21,6.8,KGZ
2021,Water loss at transportation (volume),Osh (city),Million of cubic metres per annum,KG21,6.8,KGZ
2010,Water loss at transportation as proportion of total water withdrawal,,Percent,,23.4,KGZ
2011,Water loss at transportation as proportion of total water withdrawal,,Percent,,21.7,KGZ
2012,Water loss at transportation as proportion of total water withdrawal,,Percent,,21.7,KGZ
2013,Water loss at transportation as proportion of total water withdrawal,,Percent,,22.5,KGZ
2014,Water loss at transportation as proportion of total water withdrawal,,Percent,,26.5,KGZ
2015,Water loss at transportation as proportion of total water withdrawal,,Percent,,27.6,KGZ
2016,Water loss at transportation as proportion of total water withdrawal,,Percent,,25.1,KGZ
2017,Water loss at transportation as proportion of total water withdrawal,,Percent,,27.8,KGZ
2018,Water loss at transportation as proportion of total water withdrawal,,Percent,,26.9,KGZ
2019,Water loss at transportation as proportion of total water withdrawal,,Percent,,27.8,KGZ
2020,Water loss at transportation as proportion of total water withdrawal,,Percent,,27.4,KGZ
2021,Water loss at transportation as proportion of total water withdrawal,,Percent,,26.9,KGZ
2010,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,20.1,KGZ
2011,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,20.2,KGZ
2012,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,9.6,KGZ
2013,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,9.6,KGZ
2014,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,0.7,KGZ
2015,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,17.8,KGZ
2016,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,17.7,KGZ
2017,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,16.7,KGZ
2018,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,15.6,KGZ
2019,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,15.8,KGZ
2020,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,17.5,KGZ
2021,Water loss at transportation as proportion of total water withdrawal,Batken,Percent,KG05,15.9,KGZ
2010,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,27.3,KGZ
2011,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,18.3,KGZ
2012,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,63.0,KGZ
2013,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,63.0,KGZ
2014,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,44.8,KGZ
2015,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,21.1,KGZ
2016,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,21.1,KGZ
2017,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,22.9,KGZ
2018,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,20.1,KGZ
2019,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,25.1,KGZ
2020,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,24.7,KGZ
2021,Water loss at transportation as proportion of total water withdrawal,Jalal-Abad,Percent,KG03,21.7,KGZ
2010,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,29.7,KGZ
2011,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,17.1,KGZ
2012,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,18.8,KGZ
2013,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,27.7,KGZ
2014,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,31.6,KGZ
2015,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,27.3,KGZ
2016,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,31.5,KGZ
2017,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,29.6,KGZ
2018,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,31.2,KGZ
2019,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,31.5,KGZ
2020,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,31.5,KGZ
2021,Water loss at transportation as proportion of total water withdrawal,Issyk-Kul,Percent,KG02,29.9,KGZ
2010,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,31.9,KGZ
2011,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,30.8,KGZ
2012,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,30.5,KGZ
2013,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,30.6,KGZ
2014,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,32.4,KGZ
2015,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,30.5,KGZ
2016,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,29.9,KGZ
2017,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,30.4,KGZ
2018,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,30.3,KGZ
2019,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,30.4,KGZ
2020,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,30.4,KGZ
2021,Water loss at transportation as proportion of total water withdrawal,Naryn,Percent,KG04,30.2,KGZ
2010,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,17.1,KGZ
2011,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,17.8,KGZ
2012,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,26.8,KGZ
2013,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,25.3,KGZ
2014,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,20.5,KGZ
2015,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,19.5,KGZ
2016,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,21.9,KGZ
2017,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,25.3,KGZ
2018,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,25.6,KGZ
2019,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,26.3,KGZ
2020,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,24.8,KGZ
2021,Water loss at transportation as proportion of total water withdrawal,Osh,Percent,KG06,24.0,KGZ
