Year,Reference area,COMPOSITE_BREAKDOWN,GeoCode,Value,M49_country_code
2010,,,,7562.0,KGZ
2011,,,,8634.0,KGZ
2012,,,,9544.4,KGZ
2013,,,,8326.8,KGZ
2014,,,,7658.0,KGZ
2015,,,,7569.0,KGZ
2016,,,,7333.7,KGZ
2017,,,,7657.8,KGZ
2018,,,,7758.0,KGZ
2019,,,,8068.7,KGZ
2020,,,,8017.9,KGZ
2021,,,,7999.5,KGZ
2012,,Water source: Natural,,9319.3,KGZ
2013,,Water source: Natural,,8218.9,KGZ
2014,,Water source: Natural,,7432.4,KGZ
2015,,Water source: Natural,,7225.2,KGZ
2016,,Water source: Natural,,7125.0,KGZ
2017,,Water source: Natural,,7433.2,KGZ
2018,,Water source: Natural,,7513.0,KGZ
2019,,Water source: Natural,,7813.9,KGZ
2020,,Water source: Natural,,7768.1,KGZ
2021,,Water source: Natural,,7746.6,KGZ
2010,,Water source: Aquifers,,324.1,KGZ
2011,,Water source: Aquifers,,201.3,KGZ
2012,,Water source: Aquifers,,224.9,KGZ
2013,,Water source: Aquifers,,107.9,KGZ
2014,,Water source: Aquifers,,225.6,KGZ
2015,,Water source: Aquifers,,343.8,KGZ
2016,,Water source: Aquifers,,208.7,KGZ
2017,,Water source: Aquifers,,224.6,KGZ
2018,,Water source: Aquifers,,245.0,KGZ
2019,,Water source: Aquifers,,254.8,KGZ
2020,,Water source: Aquifers,,249.8,KGZ
2021,,Water source: Aquifers,,252.9,KGZ
2010,Batken,,KG05,577.7,KGZ
2011,Batken,,KG05,586.7,KGZ
2012,Batken,,KG05,570.2,KGZ
2013,Batken,,KG05,967.7,KGZ
2014,Batken,,KG05,615.1,KGZ
2015,Batken,,KG05,643.1,KGZ
2016,Batken,,KG05,645.2,KGZ
2017,Batken,,KG05,632.8,KGZ
2018,Batken,,KG05,647.7,KGZ
2019,Batken,,KG05,663.1,KGZ
2020,Batken,,KG05,757.6,KGZ
2021,Batken,,KG05,690.4,KGZ
2010,Jalal-Abad,,KG03,695.2,KGZ
2011,Jalal-Abad,,KG03,1197.2,KGZ
2012,Jalal-Abad,,KG03,716.6,KGZ
2013,Jalal-Abad,,KG03,716.6,KGZ
2014,Jalal-Abad,,KG03,781.4,KGZ
2015,Jalal-Abad,,KG03,985.7,KGZ
2016,Jalal-Abad,,KG03,948.9,KGZ
2017,Jalal-Abad,,KG03,936.2,KGZ
2018,Jalal-Abad,,KG03,926.6,KGZ
2019,Jalal-Abad,,KG03,1012.6,KGZ
2020,Jalal-Abad,,KG03,984.4,KGZ
2021,Jalal-Abad,,KG03,968.2,KGZ
2010,Issyk-Kul,,KG02,555.3,KGZ
2011,Issyk-Kul,,KG02,905.6,KGZ
2012,Issyk-Kul,,KG02,966.4,KGZ
2013,Issyk-Kul,,KG02,628.3,KGZ
2014,Issyk-Kul,,KG02,628.5,KGZ
2015,Issyk-Kul,,KG02,578.9,KGZ
2016,Issyk-Kul,,KG02,524.6,KGZ
2017,Issyk-Kul,,KG02,623.7,KGZ
2018,Issyk-Kul,,KG02,621.1,KGZ
2019,Issyk-Kul,,KG02,635.0,KGZ
2020,Issyk-Kul,,KG02,646.2,KGZ
2021,Issyk-Kul,,KG02,655.0,KGZ
2010,Naryn,,KG04,592.3,KGZ
2011,Naryn,,KG04,590.7,KGZ
2012,Naryn,,KG04,636.4,KGZ
2013,Naryn,,KG04,644.2,KGZ
2014,Naryn,,KG04,607.7,KGZ
2015,Naryn,,KG04,620.5,KGZ
2016,Naryn,,KG04,607.7,KGZ
2017,Naryn,,KG04,614.8,KGZ
2018,Naryn,,KG04,642.3,KGZ
2019,Naryn,,KG04,658.5,KGZ
