Year,UNIT_MEASURE,Type of economic activity,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,excluding large water-power-plant,,0.0,KAZ,,,,,
2011.0,Percent,including large water-power-plant,,9.1,KAZ,,,,,
2011.0,Percent,including large water-power-plant,Almaty,34.5,KAZ,,,,,
2011.0,Percent,including large water-power-plant,Shygys Kazakhstan,74.8,KAZ,,,,,
2011.0,Percent,including large water-power-plant,Zhambyl,1.5,KAZ,,,,,
2011.0,Percent,including large water-power-plant,Soltustik Kazakhstan,0.6,KAZ,,,,,
2011.0,Percent,including large water-power-plant,Ontustik Kazakhstan,37.0,KAZ,,,,,
2011.0,Percent,excluding large water-power-plant,,0.0,KAZ,,,,,
2012.0,Percent,including large water-power-plant,,8.4,KAZ,,,,,
2012.0,Percent,including large water-power-plant,Almaty,33.9,KAZ,,,,,
2012.0,Percent,including large water-power-plant,Shygys Kazakhstan,74.2,KAZ,,,,,
2012.0,Percent,including large water-power-plant,Zhambyl,1.2,KAZ,,,,,
2012.0,Percent,including large water-power-plant,Soltustik Kazakhstan,0.7,KAZ,,,,,
2012.0,Percent,including large water-power-plant,Ontustik Kazakhstan,29.1,KAZ,,,,,
2012.0,Percent,including large water-power-plant,Almaty city,0.1,KAZ,,,,,
2012.0,Percent,excluding large water-power-plant,,0.0,KAZ,,,,,
2013.0,Percent,including large water-power-plant,,8.1,KAZ,,,,,
2013.0,Percent,including large water-power-plant,Almaty,26.9,KAZ,,,,,
2013.0,Percent,including large water-power-plant,Shygys Kazakhstan,73.5,KAZ,,,,,
2013.0,Percent,including large water-power-plant,Zhambyl,1.5,KAZ,,,,,
2013.0,Percent,including large water-power-plant,Soltustik Kazakhstan,0.7,KAZ,,,,,
2013.0,Percent,including large water-power-plant,Ontustik Kazakhstan,27.5,KAZ,,,,,
2013.0,Percent,including large water-power-plant,Almaty city,0.1,KAZ,,,,,
2013.0,Percent,excluding large water-power-plant,,0.0,KAZ,,,,,
2014.0,Percent,including large water-power-plant,,8.7,KAZ,,,,,
2014.0,Percent,including large water-power-plant,Akmola,0.2,KAZ,,,,,
2014.0,Percent,including large water-power-plant,Almaty,55.6,KAZ,,,,,
2014.0,Percent,including large water-power-plant,Shygys Kazakhstan,75.3,KAZ,,,,,
2014.0,Percent,including large water-power-plant,Zhambyl,1.6,KAZ,,,,,
2014.0,Percent,including large water-power-plant,Soltustik Kazakhstan,0.7,KAZ,,,,,
2014.0,Percent,including large water-power-plant,Ontustik Kazakhstan,29.6,KAZ,,,,,
2014.0,Percent,including large water-power-plant,Almaty city,5.0,KAZ,,,,,
2014.0,Percent,excluding large water-power-plant,,0.62,KAZ,,,,,
2015.0,Percent,including large water-power-plant,,10.3,KAZ,,,,,
2015.0,Percent,including large water-power-plant,Akmola,9.7,KAZ,,,,,
2015.0,Percent,including large water-power-plant,Almaty,58.7,KAZ,,,,,
2015.0,Percent,including large water-power-plant,Shygys Kazakhstan,75.9,KAZ,,,,,
2015.0,Percent,including large water-power-plant,Zhambyl,4.4,KAZ,,,,,
2015.0,Percent,including large water-power-plant,Kyzylorda,0.1,KAZ,,,,,
2015.0,Percent,including large water-power-plant,Soltustik Kazakhstan,0.7,KAZ,,,,,
2015.0,Percent,including large water-power-plant,Ontustik Kazakhstan,51.7,KAZ,,,,,
2015.0,Percent,including large water-power-plant,Almaty city,5.8,KAZ,,,,,
2015.0,Percent,excluding large water-power-plant,,0.77,KAZ,,,,,
2016.0,Percent,including large water-power-plant,,12.7,KAZ,,,,,
2016.0,Percent,including large water-power-plant,Akmola,17.3,KAZ,,,,,
2016.0,Percent,including large water-power-plant,Almaty,72.2,KAZ,,,,,
2016.0,Percent,including large water-power-plant,Shygys Kazakhstan,79.3,KAZ,,,,,
2016.0,Percent,including large water-power-plant,Zhambyl,9.2,KAZ,,,,,
2016.0,Percent,including large water-power-plant,Kyzylorda,0.1,KAZ,,,,,
2016.0,Percent,including large water-power-plant,Soltustik Kazakhstan,0.7,KAZ,,,,,
2016.0,Percent,including large water-power-plant,Ontustik Kazakhstan,35.4,KAZ,,,,,
2016.0,Percent,including large water-power-plant,Almaty city,6.6,KAZ,,,,,
2016.0,Percent,excluding large water-power-plant,,0.98,KAZ,,,,,
2017.0,Percent,including large water-power-plant,,11.3,KAZ,,,,,
2017.0,Percent,including large water-power-plant,Akmola,19.3,KAZ,,,,,
2017.0,Percent,including large water-power-plant,Almaty,71.1,KAZ,,,,,
2017.0,Percent,including large water-power-plant,Shygys Kazakhstan,75.7,KAZ,,,,,
2017.0,Percent,including large water-power-plant,Zhambyl,10.1,KAZ,,,,,
2017.0,Percent,including large water-power-plant,Kyzylorda,0.1,KAZ,,,,,
2017.0,Percent,including large water-power-plant,Soltustik Kazakhstan,0.6,KAZ,,,,,
2017.0,Percent,including large water-power-plant,Ontustik Kazakhstan,62.5,KAZ,,,,,
2017.0,Percent,including large water-power-plant,Almaty city,6.2,KAZ,,,,,
2017.0,Percent,excluding large water-power-plant,,1.3,KAZ,,,,,
2018.0,Percent,including large water-power-plant,,10.2,KAZ,,,,,
2018.0,Percent,including large water-power-plant,Akmola,15.7,KAZ,,,,,
2018.0,Percent,including large water-power-plant,Almaty,64.9,KAZ,,,,,
2018.0,Percent,including large water-power-plant,Shygys Kazakhstan,74.3,KAZ,,,,,
2018.0,Percent,including large water-power-plant,Zhambyl,19.0,KAZ,,,,,
2018.0,Percent,including large water-power-plant,Kyzylorda,0.1,KAZ,,,,,
2018.0,Percent,including large water-power-plant,Soltustik Kazakhstan,0.7,KAZ,,,,,
2018.0,Percent,including large water-power-plant,Turkistan,95.8,KAZ,,,,,
2018.0,Percent,including large water-power-plant,Almaty city,6.0,KAZ,,,,,
2018.0,Percent,excluding large water-power-plant,,1.3,KAZ,,,,,
2019.0,Percent,including large water-power-plant,,10.4,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Akmola,21.4,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Almaty,65.9,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Atyrau,3.4,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Shygys Kazakhstan,70.6,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Zhambyl,17.0,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Karagandy,1.1,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Kyzylorda,0.2,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Mangistau,0.8,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Pavlodar,0.0,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Soltustik Kazakhstan,0.6,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Turkistan,96.6,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Nur-Sultan city,0.0,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Almaty city,5.9,KAZ,,,,,
2019.0,Percent,including large water-power-plant,Shymkent city,0.6,KAZ,,,,,
2019.0,Percent,excluding large water-power-plant,,1.6,KAZ,,,,,
2020.0,Percent,including large water-power-plant,,11.0,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Akmola,37.2,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Aktobe,2.7,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Almaty,64.8,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Atyrau,3.0,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Shygys Kazakhstan,69.5,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Zhambyl,23.0,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Karagandy,2.1,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Kyzylorda,7.8,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Mangistau,1.6,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Pavlodar,0.0,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Soltustik Kazakhstan,0.7,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Turkistan,97.5,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Nur-Sultan city,0.0,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Almaty city,5.1,KAZ,,,,,
2020.0,Percent,including large water-power-plant,Shymkent city,0.5,KAZ,,,,,
2020.0,Percent,excluding large water-power-plant,,3.0,KAZ,,,,,
,,,,,UZB,01_101_,Total,True,2000.0,10.5
,,,,,UZB,01_101_,Total,True,2001.0,11.2
,,,,,UZB,01_101_,Total,True,2002.0,14.7
,,,,,UZB,01_101_,Total,True,2003.0,15.6
,,,,,UZB,01_101_,Total,True,2004.0,14.0
,,,,,UZB,01_101_,Total,True,2005.0,15.3
,,,,,UZB,01_101_,Total,True,2006.0,12.7
,,,,,UZB,01_101_,Total,True,2007.0,13.2
,,,,,UZB,01_101_,Total,True,2008.0,8.9
,,,,,UZB,01_101_,Total,True,2009.0,12.9
,,,,,UZB,01_101_,Total,True,2010.0,15.8
,,,,,UZB,01_101_,Total,True,2011.0,10.8
,,,,,UZB,01_101_,Total,True,2012.0,12.6
,,,,,UZB,01_101_,Total,True,2013.0,10.5
,,,,,UZB,01_101_,Total,True,2014.0,10.9
,,,,,UZB,01_101_,Total,True,2015.0,11.8
,,,,,UZB,01_101_,Total,True,2016.0,11.6
,,,,,UZB,01_101_,Total,True,2017.0,13.0
,,,,,UZB,01_101_,Total,True,2018.0,9.4
,,,,,UZB,01_101_,Total,True,2019.0,10.2
,,,,,UZB,01_101_,Total,True,2020.0,7.5
,,,,,UZB,01_101_,Total,True,2021.0,7.0
