Year,Unit multiplier,SERIES,Economic activity,UNIT_MEASURE,Value,M49_country_code
2007,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,87.7,KGZ
2008,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,59.8,KGZ
2009,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,49.9,KGZ
2010,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,47.7,KGZ
2011,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,43.3,KGZ
2012,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,43.7,KGZ
2013,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,38.5,KGZ
2014,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,36.9,KGZ
2015,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,31.5,KGZ
2016,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,27.9,KGZ
2017,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,26.9,KGZ
2018,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,26.3,KGZ
2019,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,24.41,KGZ
2020,Units,Power intensity of GDP by indusry,,Kilowatt-hours per 1mn som,25.6,KGZ
2007,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,20.5,KGZ
2008,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.0,KGZ
2009,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.6,KGZ
2010,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.3,KGZ
2011,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.3,KGZ
2012,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.7,KGZ
2013,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.9,KGZ
2014,Thousands,Power intensity of GDP by indusry,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,12.9,KGZ
