unique_id,col_caption_name,col_caption_name1_empty,year,value,M49_country_code
01_101_,Total,True,2000,1.6,UZB
01_101_,Total,True,2001,1.5,UZB
01_101_,Total,True,2002,2.0,UZB
01_101_,Total,True,2003,2.7,UZB
01_101_,Total,True,2004,2.7,UZB
01_101_,Total,True,2005,2.6,UZB
01_101_,Total,True,2006,1.6,UZB
01_101_,Total,True,2007,2.4,UZB
01_101_,Total,True,2008,2.0,UZB
01_101_,Total,True,2009,3.1,UZB
01_101_,Total,True,2010,5.4,UZB
01_101_,Total,True,2011,4.7,UZB
01_101_,Total,True,2012,4.0,UZB
01_101_,Total,True,2013,4.3,UZB
01_101_,Total,True,2014,4.5,UZB
01_101_,Total,True,2015,5.0,UZB
01_101_,Total,True,2016,5.3,UZB
01_101_,Total,True,2017,7.6,UZB
01_101_,Total,True,2018,12.4,UZB
01_101_,Total,True,2019,10.8,UZB
01_101_,Total,True,2020,5.1,UZB
01_101_,Total,True,2021,7.9,UZB
10_104_,Republic of Karakalpakstan,True,2000,1.3,UZB
10_104_,Republic of Karakalpakstan,True,2001,0.5,UZB
10_104_,Republic of Karakalpakstan,True,2002,1.4,UZB
10_104_,Republic of Karakalpakstan,True,2003,0.5,UZB
10_104_,Republic of Karakalpakstan,True,2004,0.4,UZB
10_104_,Republic of Karakalpakstan,True,2005,0.6,UZB
10_104_,Republic of Karakalpakstan,True,2006,0.8,UZB
10_104_,Republic of Karakalpakstan,True,2007,0.4,UZB
10_104_,Republic of Karakalpakstan,True,2008,0.3,UZB
10_104_,Republic of Karakalpakstan,True,2009,0.7,UZB
10_104_,Republic of Karakalpakstan,True,2010,2.6,UZB
10_104_,Republic of Karakalpakstan,True,2011,2.0,UZB
10_104_,Republic of Karakalpakstan,True,2012,1.9,UZB
10_104_,Republic of Karakalpakstan,True,2013,2.0,UZB
10_104_,Republic of Karakalpakstan,True,2014,3.5,UZB
10_104_,Republic of Karakalpakstan,True,2015,2.0,UZB
10_104_,Republic of Karakalpakstan,True,2016,1.4,UZB
10_104_,Republic of Karakalpakstan,True,2017,1.5,UZB
10_104_,Republic of Karakalpakstan,True,2018,30.8,UZB
10_104_,Republic of Karakalpakstan,True,2019,1.9,UZB
10_104_,Republic of Karakalpakstan,True,2020,7.3,UZB
10_104_,Republic of Karakalpakstan,True,2021,5.1,UZB
10_105_,Andizhan Region,True,2000,0.1,UZB
10_105_,Andizhan Region,True,2001,1.2,UZB
10_105_,Andizhan Region,True,2002,0.1,UZB
10_105_,Andizhan Region,True,2003,0.3,UZB
10_105_,Andizhan Region,True,2004,0.5,UZB
10_105_,Andizhan Region,True,2005,1.6,UZB
10_105_,Andizhan Region,True,2006,2.1,UZB
10_105_,Andizhan Region,True,2007,4.6,UZB
10_105_,Andizhan Region,True,2008,6.2,UZB
10_105_,Andizhan Region,True,2009,4.1,UZB
10_105_,Andizhan Region,True,2010,1.3,UZB
10_105_,Andizhan Region,True,2011,2.4,UZB
10_105_,Andizhan Region,True,2012,3.3,UZB
10_105_,Andizhan Region,True,2013,2.2,UZB
10_105_,Andizhan Region,True,2014,2.0,UZB
10_105_,Andizhan Region,True,2015,1.6,UZB
10_105_,Andizhan Region,True,2016,3.1,UZB
10_105_,Andizhan Region,True,2017,1.9,UZB
10_105_,Andizhan Region,True,2018,2.0,UZB
10_105_,Andizhan Region,True,2019,1.7,UZB
10_105_,Andizhan Region,True,2020,2.4,UZB
10_105_,Andizhan Region,True,2021,3.9,UZB
10_106_,Bukhara Region,True,2000,0.5,UZB
10_106_,Bukhara Region,True,2001,0.5,UZB
10_106_,Bukhara Region,True,2002,0.6,UZB
10_106_,Bukhara Region,True,2003,0.3,UZB
10_106_,Bukhara Region,True,2004,0.2,UZB
10_106_,Bukhara Region,True,2005,0.6,UZB
10_106_,Bukhara Region,True,2006,0.5,UZB
10_106_,Bukhara Region,True,2007,0.4,UZB
10_106_,Bukhara Region,True,2008,0.2,UZB
10_106_,Bukhara Region,True,2009,0.1,UZB
10_106_,Bukhara Region,True,2010,0.2,UZB
10_106_,Bukhara Region,True,2011,0.7,UZB
10_106_,Bukhara Region,True,2012,0.8,UZB
10_106_,Bukhara Region,True,2013,0.8,UZB
10_106_,Bukhara Region,True,2014,0.7,UZB
10_106_,Bukhara Region,True,2015,0.5,UZB
10_106_,Bukhara Region,True,2016,0.6,UZB
10_106_,Bukhara Region,True,2017,0.6,UZB
10_106_,Bukhara Region,True,2018,1.1,UZB
10_106_,Bukhara Region,True,2019,0.9,UZB
10_106_,Bukhara Region,True,2020,1.3,UZB
10_106_,Bukhara Region,True,2021,7.2,UZB
10_107_,Dzhizak Region,True,2000,0.4,UZB
10_107_,Dzhizak Region,True,2001,1.9,UZB
10_107_,Dzhizak Region,True,2002,4.7,UZB
10_107_,Dzhizak Region,True,2003,1.0,UZB
10_107_,Dzhizak Region,True,2004,0.6,UZB
10_107_,Dzhizak Region,True,2005,1.0,UZB
10_107_,Dzhizak Region,True,2006,0.3,UZB
10_107_,Dzhizak Region,True,2007,1.0,UZB
10_107_,Dzhizak Region,True,2008,7.1,UZB
10_107_,Dzhizak Region,True,2009,3.6,UZB
10_107_,Dzhizak Region,True,2010,10.7,UZB
10_107_,Dzhizak Region,True,2011,2.2,UZB
10_107_,Dzhizak Region,True,2012,1.9,UZB
10_107_,Dzhizak Region,True,2013,2.1,UZB
10_107_,Dzhizak Region,True,2014,4.0,UZB
