Year,SERIES,Value,M49_country_code
2013,Share of employed in small enterprises in total employment,2.3,KGZ
2014,Share of employed in small enterprises in total employment,2.3,KGZ
2015,Share of employed in small enterprises in total employment,2.2,KGZ
2016,Share of employed in small enterprises in total employment,2.2,KGZ
2017,Share of employed in small enterprises in total employment,2.3,KGZ
2018,Share of employed in small enterprises in total employment,2.2,KGZ
2019,Share of employed in small enterprises in total employment,3.0,KGZ
2020,Share of employed in small enterprises in total employment,2.821855,KGZ
2021,Share of employed in small enterprises in total employment,2.3,KGZ
2013,Share of employed in medium enterprises in total employment,1.6,KGZ
2014,Share of employed in medium enterprises in total employment,1.6,KGZ
2015,Share of employed in medium enterprises in total employment,1.5,KGZ
2016,Share of employed in medium enterprises in total employment,1.5,KGZ
2017,Share of employed in medium enterprises in total employment,1.5,KGZ
2018,Share of employed in medium enterprises in total employment,1.4,KGZ
2019,Share of employed in medium enterprises in total employment,1.4,KGZ
2020,Share of employed in medium enterprises in total employment,1.300507,KGZ
2021,Share of employed in medium enterprises in total employment,1.3,KGZ
