Year,Sex,Economic activity,Value,M49_country_code
2011,Female,,8365.6,KGZ
2011,Male,,10675.2,KGZ
2012,Female,,8700.3,KGZ
2012,Male,,11716.3,KGZ
2013,Female,,9113.1,KGZ
2013,Male,,12439.5,KGZ
2014,Female,,9732.4,KGZ
2014,Male,,13694.6,KGZ
2015,Female,,11125.3,KGZ
2015,Male,,14742.8,KGZ
2016,Female,,11742.9,KGZ
2016,Male,,15591.5,KGZ
2017,Female,,12182.8,KGZ
2017,Male,,16802.1,KGZ
2018,Female,,12573.5,KGZ
2018,Male,,17556.4,KGZ
2019,Female,,14421.0,KGZ
2019,Male,,18724.0,KGZ
2020,Female,,15078.2,KGZ
2020,Male,,19991.5,KGZ
2021,Female,,16524.2,KGZ
2021,Male,,21999.0,KGZ
2011,Female,"Agriculture, forestry and fishing",4548.5,KGZ
2011,Male,"Agriculture, forestry and fishing",4561.6,KGZ
2012,Female,"Agriculture, forestry and fishing",4726.7,KGZ
2012,Male,"Agriculture, forestry and fishing",4879.9,KGZ
2013,Female,"Agriculture, forestry and fishing",5230.8,KGZ
2013,Male,"Agriculture, forestry and fishing",5699.4,KGZ
2014,Female,"Agriculture, forestry and fishing",6192.7,KGZ
2014,Male,"Agriculture, forestry and fishing",6074.3,KGZ
2015,Female,"Agriculture, forestry and fishing",7378.6,KGZ
2015,Male,"Agriculture, forestry and fishing",9018.1,KGZ
2016,Female,"Agriculture, forestry and fishing",7390.0,KGZ
2016,Male,"Agriculture, forestry and fishing",8359.8,KGZ
2017,Female,"Agriculture, forestry and fishing",8497.0,KGZ
2017,Male,"Agriculture, forestry and fishing",8922.4,KGZ
2018,Female,"Agriculture, forestry and fishing",8905.7,KGZ
2018,Male,"Agriculture, forestry and fishing",9116.6,KGZ
2019,Female,"Agriculture, forestry and fishing",9077.1,KGZ
2019,Male,"Agriculture, forestry and fishing",9775.9,KGZ
2020,Female,"Agriculture, forestry and fishing",9416.2,KGZ
2020,Male,"Agriculture, forestry and fishing",10370.3,KGZ
2021,Female,"Agriculture, forestry and fishing",9132.2,KGZ
2021,Male,"Agriculture, forestry and fishing",10583.5,KGZ
2011,Female,Mining and quarrying,10291.1,KGZ
2011,Male,Mining and quarrying,10478.8,KGZ
2012,Female,Mining and quarrying,13648.2,KGZ
2012,Male,Mining and quarrying,17111.1,KGZ
2013,Female,Mining and quarrying,13694.6,KGZ
2013,Male,Mining and quarrying,14402.8,KGZ
2014,Female,Mining and quarrying,14243.4,KGZ
2014,Male,Mining and quarrying,15562.2,KGZ
2015,Female,Mining and quarrying,20206.2,KGZ
2015,Male,Mining and quarrying,20843.9,KGZ
2016,Female,Mining and quarrying,23165.5,KGZ
2016,Male,Mining and quarrying,25767.3,KGZ
2017,Female,Mining and quarrying,22098.5,KGZ
2017,Male,Mining and quarrying,23738.0,KGZ
2018,Female,Mining and quarrying,19858.6,KGZ
