Year,UNIT_MEASURE,Regions,Area,Sex,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,,,,5.7,KAZ,,,,,
2010.0,Percent,Akmola,,,6.2,KAZ,,,,,
2010.0,Percent,Aktobe,,,1.4,KAZ,,,,,
2010.0,Percent,Almaty,,,6.4,KAZ,,,,,
2010.0,Percent,Atyrau,,,3.5,KAZ,,,,,
2010.0,Percent,Batys Kazakhstan,,,8.3,KAZ,,,,,
2010.0,Percent,Zhambyl,,,8.1,KAZ,,,,,
2010.0,Percent,Karagandy,,,6.9,KAZ,,,,,
2010.0,Percent,Kostanay,,,4.2,KAZ,,,,,
2010.0,Percent,Kyzylorda,,,7.6,KAZ,,,,,
2010.0,Percent,Mangistau,,,8.3,KAZ,,,,,
2010.0,Percent,Ontustik Kazakhstan,,,4.1,KAZ,,,,,
2010.0,Percent,Pavlodar,,,3.3,KAZ,,,,,
2010.0,Percent,Soltustik Kazakhstan,,,4.6,KAZ,,,,,
2010.0,Percent,Shygys Kazakhstan,,,8.9,KAZ,,,,,
2010.0,Percent,Nur-Sultan city,,,7.8,KAZ,,,,,
2010.0,Percent,Almaty city,,,3.8,KAZ,,,,,
2010.0,Percent,,,Male,4.4,KAZ,,,,,
2010.0,Percent,Akmola,,Male,6.5,KAZ,,,,,
2010.0,Percent,Aktobe,,Male,1.7,KAZ,,,,,
2010.0,Percent,Almaty,,Male,4.9,KAZ,,,,,
2010.0,Percent,Atyrau,,Male,2.3,KAZ,,,,,
2010.0,Percent,Batys Kazakhstan,,Male,7.9,KAZ,,,,,
2010.0,Percent,Zhambyl,,Male,5.1,KAZ,,,,,
2010.0,Percent,Karagandy,,Male,3.8,KAZ,,,,,
2010.0,Percent,Kostanay,,Male,3.8,KAZ,,,,,
2010.0,Percent,Kyzylorda,,Male,7.0,KAZ,,,,,
2010.0,Percent,Mangistau,,Male,6.9,KAZ,,,,,
2010.0,Percent,Ontustik Kazakhstan,,Male,1.9,KAZ,,,,,
2010.0,Percent,Pavlodar,,Male,2.7,KAZ,,,,,
2010.0,Percent,Soltustik Kazakhstan,,Male,4.9,KAZ,,,,,
2010.0,Percent,Shygys Kazakhstan,,Male,8.1,KAZ,,,,,
2010.0,Percent,Nur-Sultan city,,Male,3.2,KAZ,,,,,
2010.0,Percent,Almaty city,,Male,3.0,KAZ,,,,,
2010.0,Percent,,,Female,7.1,KAZ,,,,,
2010.0,Percent,Akmola,,Female,6.0,KAZ,,,,,
2010.0,Percent,Aktobe,,Female,1.1,KAZ,,,,,
2010.0,Percent,Almaty,,Female,7.8,KAZ,,,,,
2010.0,Percent,Atyrau,,Female,4.8,KAZ,,,,,
2010.0,Percent,Batys Kazakhstan,,Female,8.6,KAZ,,,,,
2010.0,Percent,Zhambyl,,Female,11.4,KAZ,,,,,
2010.0,Percent,Karagandy,,Female,10.1,KAZ,,,,,
2010.0,Percent,Kostanay,,Female,4.6,KAZ,,,,,
2010.0,Percent,Kyzylorda,,Female,8.2,KAZ,,,,,
2010.0,Percent,Mangistau,,Female,9.7,KAZ,,,,,
2010.0,Percent,Ontustik Kazakhstan,,Female,6.3,KAZ,,,,,
2010.0,Percent,Pavlodar,,Female,4.0,KAZ,,,,,
2010.0,Percent,Soltustik Kazakhstan,,Female,4.3,KAZ,,,,,
2010.0,Percent,Shygys Kazakhstan,,Female,9.7,KAZ,,,,,
2010.0,Percent,Nur-Sultan city,,Female,11.9,KAZ,,,,,
2010.0,Percent,Almaty city,,Female,4.5,KAZ,,,,,
2010.0,Percent,,urban,,5.7,KAZ,,,,,
2010.0,Percent,Akmola,urban,,5.6,KAZ,,,,,
2010.0,Percent,Aktobe,urban,,2.3,KAZ,,,,,
2010.0,Percent,Almaty,urban,,5.8,KAZ,,,,,
2010.0,Percent,Atyrau,urban,,3.4,KAZ,,,,,
2010.0,Percent,Batys Kazakhstan,urban,,10.7,KAZ,,,,,
2010.0,Percent,Zhambyl,urban,,8.2,KAZ,,,,,
2010.0,Percent,Karagandy,urban,,7.4,KAZ,,,,,
2010.0,Percent,Kostanay,urban,,3.8,KAZ,,,,,
2010.0,Percent,Kyzylorda,urban,,9.1,KAZ,,,,,
2010.0,Percent,Mangistau,urban,,8.3,KAZ,,,,,
2010.0,Percent,Ontustik Kazakhstan,urban,,4.9,KAZ,,,,,
