Year,UNIT_MEASURE,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,87.4,KAZ,,,,,
2011.0,Percent,88.6,KAZ,,,,,
2012.0,Percent,92.2,KAZ,,,,,
2013.0,Percent,92.4,KAZ,,,,,
2014.0,Percent,92.8,KAZ,,,,,
2015.0,Percent,93.1,KAZ,,,,,
2016.0,Percent,93.3,KAZ,,,,,
2017.0,Percent,93.3,KAZ,,,,,
2018.0,Percent,94.4,KAZ,,,,,
2019.0,Percent,95.5,KAZ,,,,,
2020.0,Percent,97.1,KAZ,,,,,
,,,UZB,16_101_,Total,True,2000.0,53.5
,,,UZB,16_101_,Total,True,2001.0,50.7
,,,UZB,16_101_,Total,True,2002.0,59.5
,,,UZB,16_101_,Total,True,2003.0,70.0
,,,UZB,16_101_,Total,True,2004.0,75.3
,,,UZB,16_101_,Total,True,2005.0,83.1
,,,UZB,16_101_,Total,True,2006.0,84.7
,,,UZB,16_101_,Total,True,2007.0,87.5
,,,UZB,16_101_,Total,True,2008.0,87.6
,,,UZB,16_101_,Total,True,2009.0,87.9
,,,UZB,16_101_,Total,True,2010.0,90.1
,,,UZB,16_101_,Total,True,2011.0,94.5
,,,UZB,16_101_,Total,True,2012.0,95.8
,,,UZB,16_101_,Total,True,2013.0,96.3
,,,UZB,16_101_,Total,True,2014.0,98.1
,,,UZB,16_101_,Total,True,2015.0,99.3
,,,UZB,16_101_,Total,True,2016.0,95.2
,,,UZB,16_101_,Total,True,2017.0,98.5
,,,UZB,16_101_,Total,True,2018.0,98.9
,,,UZB,16_101_,Total,True,2019.0,99.1
,,,UZB,16_101_,Total,True,2020.0,99.6
,,,UZB,16_101_,Total,True,2021.0,99.7
