Year,UNIT_MEASURE,Value,M49_country_code
2014,as a percentage to the previous year,93.5,KAZ
2015,as a percentage to the previous year,115.3,KAZ
2016,as a percentage to the previous year,124.0,KAZ
2017,as a percentage to the previous year,118.7,KAZ
2018,as a percentage to the previous year,107.2,KAZ
2019,as a percentage to the previous year,100.4,KAZ
2007,,4.0,KGZ
2008,,4.2,KGZ
2009,,4.0,KGZ
2010,,3.7,KGZ
2011,,4.5,KGZ
2012,,4.6,KGZ
2013,,4.6,KGZ
2014,,4.3,KGZ
2015,,4.7,KGZ
2016,,4.6,KGZ
2017,,5.0,KGZ
2018,,5.0,KGZ
2019,,5.1,KGZ
2020,,3.3,KGZ
