Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,Unit multiplier,COMPOSITE_BREAKDOWN,unique_id,col_caption_name,year,value
2010.0,millions tonnes,Cargo transported by all means of transport,,2439.4,KAZ,,,,,,
2010.0,millions tonnes,Pipeline,,194.0,KAZ,,,,,,
2010.0,millions tonnes,Railway,,267.9,KAZ,,,,,,
2010.0,millions tonnes,Automobile,,1971.8,KAZ,,,,,,
2010.0,millions tonnes,Air,,0.3,KAZ,,,,,,
2010.0,millions tonnes,Inland water еransport,,1.1,KAZ,,,,,,
2010.0,millions tonnes,nautical,,4.7,KAZ,,,,,,
2010.0,millions tonnes,,Akmola,95.8,KAZ,,,,,,
2010.0,millions tonnes,,Aktobe,41.0,KAZ,,,,,,
2010.0,millions tonnes,,Almaty,116.6,KAZ,,,,,,
2010.0,millions tonnes,,Atyrau,118.5,KAZ,,,,,,
2010.0,millions tonnes,,Batys Kazakhstan,30.3,KAZ,,,,,,
2010.0,millions tonnes,,Zhambyl,56.0,KAZ,,,,,,
2010.0,millions tonnes,,Karagandy,444.0,KAZ,,,,,,
2010.0,millions tonnes,,Kostanay,221.5,KAZ,,,,,,
2010.0,millions tonnes,,Kyzylorda,66.3,KAZ,,,,,,
2010.0,millions tonnes,,Mangistau,141.5,KAZ,,,,,,
2010.0,millions tonnes,,Ontustik Kazakhstan,77.5,KAZ,,,,,,
2010.0,millions tonnes,,Pavlodar,78.5,KAZ,,,,,,
2010.0,millions tonnes,,Soltustik Kazakhstan,40.1,KAZ,,,,,,
2010.0,millions tonnes,,Shygys Kazakhstan,327.3,KAZ,,,,,,
2010.0,millions tonnes,,Nur-Sultan city,66.7,KAZ,,,,,,
2010.0,millions tonnes,,Almaty city,142.4,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,,13186.5,KAZ,,,,,,
2010.0,mln.people,Railway transport,,19.6,KAZ,,,,,,
2010.0,mln.people,Automobile,,13083.9,KAZ,,,,,,
2010.0,mln.people,Inland water еransport,,0.1,KAZ,,,,,,
2010.0,mln.people,Air,,3.4,KAZ,,,,,,
2010.0,mln.people,City electric transport,,79.5,KAZ,,,,,,
2010.0,mln.people,,Akmola,1057.9,KAZ,,,,,,
2010.0,mln.people,,Aktobe,163.5,KAZ,,,,,,
2010.0,mln.people,,Almaty,436.6,KAZ,,,,,,
2010.0,mln.people,,Atyrau,95.4,KAZ,,,,,,
2010.0,mln.people,,Batys Kazakhstan,270.4,KAZ,,,,,,
2010.0,mln.people,,Zhambyl,570.6,KAZ,,,,,,
2010.0,mln.people,,Karagandy,1440.7,KAZ,,,,,,
2010.0,mln.people,,Kostanay,1153.4,KAZ,,,,,,
2010.0,mln.people,,Kyzylorda,139.7,KAZ,,,,,,
2010.0,mln.people,,Mangistau,60.2,KAZ,,,,,,
2010.0,mln.people,,Ontustik Kazakhstan,1337.6,KAZ,,,,,,
2010.0,mln.people,,Pavlodar,798.3,KAZ,,,,,,
2010.0,mln.people,,Soltustik Kazakhstan,365.5,KAZ,,,,,,
2010.0,mln.people,,Shygys Kazakhstan,1272.7,KAZ,,,,,,
2010.0,mln.people,,Nur-Sultan city,1408.9,KAZ,,,,,,
2010.0,mln.people,,Almaty city,2595.5,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,,1971.8,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Akmola,95.8,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Aktobe,41.0,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Almaty,116.6,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Atyrau,52.1,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,30.0,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Zhambyl,56.0,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Karagandy,444.0,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Kostanay,221.5,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Kyzylorda,66.3,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Mangistau,136.9,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,77.5,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Pavlodar,57.8,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,40.0,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,327.1,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,66.7,KAZ,,,,,,
2010.0,millions tonnes,_L_KZ_090102_1J,Almaty city,142.4,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,,13163.4,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Akmola,1057.9,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Aktobe,163.5,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Almaty,436.6,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Atyrau,95.4,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,270.4,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Zhambyl,570.6,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Karagandy,1440.6,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Kostanay,1153.4,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Kyzylorda,139.7,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Mangistau,60.2,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,1337.0,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Pavlodar,798.2,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,365.5,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,1272.7,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Nur-Sultan city,1408.9,KAZ,,,,,,
2010.0,mln.people,Passengers transported by all means of transport,Almaty city,2592.9,KAZ,,,,,,
2010.0,tons,transported by air,,28869.7,KAZ,,,,,,
2010.0,tons,transported by air,Karagandy,9.2,KAZ,,,,,,
2010.0,tons,transported by air,Ontustik Kazakhstan,737.0,KAZ,,,,,,
