Year,UNIT_MEASURE,Regions,Value,M49_country_code,Unit multiplier,SERIES,COMMENT_TS,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,"percent, base year 2010",,11.3,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Akmola,13.4,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Aktobe,7.9,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Almaty,17.0,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Atyrau,5.5,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Batys Kazakhstan,4.7,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Zhambyl,13.2,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Karagandy,33.2,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Kostanay,9.5,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Kyzylorda,2.3,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Mangistau,3.0,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Ontustik Kazakhstan,21.8,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Pavlodar,28.3,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Soltustik Kazakhstan,8.5,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Shygys Kazakhstan,19.8,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Nur-Sultan city,3.0,KAZ,,,,,,,,
2010.0,"percent, base year 2010",Almaty city,5.2,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,,1027.0,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Akmola,728.0,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Aktobe,821.5,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Almaty,622.4,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Atyrau,2014.1,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Batys Kazakhstan,549.8,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Zhambyl,384.0,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Karagandy,3122.5,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Kostanay,628.0,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Kyzylorda,194.8,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Mangistau,588.3,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Ontustik Kazakhstan,703.3,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Pavlodar,2660.1,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,455.6,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1198.7,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Nur-Sultan city,528.2,KAZ,,,,,,,,
2010.0,tenge per US dollars in 2010 prices,Almaty city,978.3,KAZ,,,,,,,,
2011.0,"percent, base year 2010",,11.3,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Akmola,13.0,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Aktobe,8.0,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Almaty,17.6,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Atyrau,5.3,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Batys Kazakhstan,4.8,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Zhambyl,14.8,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Karagandy,33.2,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Kostanay,8.5,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Kyzylorda,2.2,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Mangistau,3.4,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Ontustik Kazakhstan,20.8,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Pavlodar,26.0,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Soltustik Kazakhstan,7.8,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Shygys Kazakhstan,21.4,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Nur-Sultan city,3.5,KAZ,,,,,,,,
2011.0,"percent, base year 2010",Almaty city,5.1,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,,1083.4,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Akmola,817.5,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Aktobe,866.7,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Almaty,680.9,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Atyrau,1943.6,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Batys Kazakhstan,584.9,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Zhambyl,482.3,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Karagandy,3300.5,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Kostanay,640.0,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Kyzylorda,194.1,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Mangistau,631.9,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Ontustik Kazakhstan,688.5,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Pavlodar,2694.6,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,486.1,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1386.9,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Nur-Sultan city,637.6,KAZ,,,,,,,,
2011.0,tenge per US dollars in 2010 prices,Almaty city,1033.1,KAZ,,,,,,,,
2012.0,"percent, base year 2010",,11.1,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Akmola,14.1,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Aktobe,7.6,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Almaty,16.5,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Atyrau,5.2,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Batys Kazakhstan,4.8,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Zhambyl,13.3,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Karagandy,30.3,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Kostanay,9.0,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Kyzylorda,2.3,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Mangistau,3.4,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Ontustik Kazakhstan,20.7,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Pavlodar,25.3,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Soltustik Kazakhstan,8.5,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Shygys Kazakhstan,24.2,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Nur-Sultan city,4.2,KAZ,,,,,,,,
2012.0,"percent, base year 2010",Almaty city,4.8,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,,1100.9,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Akmola,831.4,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Aktobe,877.3,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Almaty,673.4,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Atyrau,1834.8,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Batys Kazakhstan,597.6,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Zhambyl,468.4,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Karagandy,3028.8,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Kostanay,634.3,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Kyzylorda,201.7,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Mangistau,613.0,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Ontustik Kazakhstan,697.7,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Pavlodar,2830.3,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,502.0,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1770.5,KAZ,,,,,,,,
2012.0,tenge per US dollars in 2010 prices,Nur-Sultan city,826.1,KAZ,,,,,,,,
