Year,UNIT_MEASURE,Regions,Value,M49_country_code,Reference area,Sex,COMMENT_TS,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,thousand people,,27.5,KAZ,,,,,,,,,
2010.0,thousand people,Akmola,3.8,KAZ,,,,,,,,,
2010.0,thousand people,Aktobe,3.0,KAZ,,,,,,,,,
2010.0,thousand people,Almaty,1.5,KAZ,,,,,,,,,
2010.0,thousand people,Atyrau,1.5,KAZ,,,,,,,,,
2010.0,thousand people,Batys Kazakhstan,1.0,KAZ,,,,,,,,,
2010.0,thousand people,Zhambyl,2.8,KAZ,,,,,,,,,
2010.0,thousand people,Karagandy,2.2,KAZ,,,,,,,,,
2010.0,thousand people,Kostanay,1.3,KAZ,,,,,,,,,
2010.0,thousand people,Kyzylorda,0.3,KAZ,,,,,,,,,
2010.0,thousand people,Mangistau,1.6,KAZ,,,,,,,,,
2010.0,thousand people,Ontustik Kazakhstan,2.1,KAZ,,,,,,,,,
2010.0,thousand people,Pavlodar,2.5,KAZ,,,,,,,,,
2010.0,thousand people,Soltustik Kazakhstan,0.9,KAZ,,,,,,,,,
2010.0,thousand people,Shygys Kazakhstan,1.8,KAZ,,,,,,,,,
2010.0,thousand people,Nur-Sultan city,0.5,KAZ,,,,,,,,,
2010.0,thousand people,Almaty city,0.5,KAZ,,,,,,,,,
2011.0,thousand people,,26.3,KAZ,,,,,,,,,
2011.0,thousand people,Akmola,1.9,KAZ,,,,,,,,,
2011.0,thousand people,Aktobe,2.8,KAZ,,,,,,,,,
2011.0,thousand people,Almaty,2.7,KAZ,,,,,,,,,
2011.0,thousand people,Atyrau,1.2,KAZ,,,,,,,,,
2011.0,thousand people,Batys Kazakhstan,0.8,KAZ,,,,,,,,,
2011.0,thousand people,Zhambyl,2.1,KAZ,,,,,,,,,
2011.0,thousand people,Karagandy,1.9,KAZ,,,,,,,,,
2011.0,thousand people,Kostanay,1.9,KAZ,,,,,,,,,
2011.0,thousand people,Kyzylorda,0.8,KAZ,,,,,,,,,
2011.0,thousand people,Mangistau,2.3,KAZ,,,,,,,,,
2011.0,thousand people,Ontustik Kazakhstan,1.6,KAZ,,,,,,,,,
2011.0,thousand people,Pavlodar,1.3,KAZ,,,,,,,,,
2011.0,thousand people,Soltustik Kazakhstan,0.6,KAZ,,,,,,,,,
2011.0,thousand people,Shygys Kazakhstan,1.3,KAZ,,,,,,,,,
2011.0,thousand people,Nur-Sultan city,1.1,KAZ,,,,,,,,,
2011.0,thousand people,Almaty city,2.1,KAZ,,,,,,,,,
2012.0,thousand people,,20.6,KAZ,,,,,,,,,
2012.0,thousand people,Akmola,1.1,KAZ,,,,,,,,,
2012.0,thousand people,Aktobe,1.0,KAZ,,,,,,,,,
2012.0,thousand people,Almaty,2.3,KAZ,,,,,,,,,
2012.0,thousand people,Atyrau,0.7,KAZ,,,,,,,,,
2012.0,thousand people,Batys Kazakhstan,0.8,KAZ,,,,,,,,,
2012.0,thousand people,Zhambyl,0.4,KAZ,,,,,,,,,
2012.0,thousand people,Karagandy,1.6,KAZ,,,,,,,,,
2012.0,thousand people,Kostanay,1.5,KAZ,,,,,,,,,
2012.0,thousand people,Kyzylorda,0.3,KAZ,,,,,,,,,
2012.0,thousand people,Mangistau,2.0,KAZ,,,,,,,,,
2012.0,thousand people,Ontustik Kazakhstan,2.2,KAZ,,,,,,,,,
2012.0,thousand people,Pavlodar,1.4,KAZ,,,,,,,,,
2012.0,thousand people,Soltustik Kazakhstan,0.4,KAZ,,,,,,,,,
2012.0,thousand people,Shygys Kazakhstan,2.0,KAZ,,,,,,,,,
2012.0,thousand people,Nur-Sultan city,1.3,KAZ,,,,,,,,,
2012.0,thousand people,Almaty city,1.6,KAZ,,,,,,,,,
2013.0,thousand people,,20.9,KAZ,,,,,,,,,
2013.0,thousand people,Akmola,1.0,KAZ,,,,,,,,,
2013.0,thousand people,Aktobe,1.5,KAZ,,,,,,,,,
2013.0,thousand people,Almaty,2.5,KAZ,,,,,,,,,
2013.0,thousand people,Atyrau,0.6,KAZ,,,,,,,,,
2013.0,thousand people,Batys Kazakhstan,0.6,KAZ,,,,,,,,,
2013.0,thousand people,Zhambyl,0.8,KAZ,,,,,,,,,
2013.0,thousand people,Karagandy,1.6,KAZ,,,,,,,,,
2013.0,thousand people,Kostanay,1.5,KAZ,,,,,,,,,
2013.0,thousand people,Kyzylorda,0.1,KAZ,,,,,,,,,
2013.0,thousand people,Mangistau,0.8,KAZ,,,,,,,,,
2013.0,thousand people,Ontustik Kazakhstan,3.7,KAZ,,,,,,,,,
2013.0,thousand people,Pavlodar,1.3,KAZ,,,,,,,,,
2013.0,thousand people,Soltustik Kazakhstan,0.4,KAZ,,,,,,,,,
2013.0,thousand people,Shygys Kazakhstan,1.9,KAZ,,,,,,,,,
2013.0,thousand people,Nur-Sultan city,1.2,KAZ,,,,,,,,,
2013.0,thousand people,Almaty city,1.5,KAZ,,,,,,,,,
2014.0,thousand people,,21.7,KAZ,,,,,,,,,
2014.0,thousand people,Akmola,1.4,KAZ,,,,,,,,,
2014.0,thousand people,Aktobe,1.2,KAZ,,,,,,,,,
2014.0,thousand people,Almaty,2.0,KAZ,,,,,,,,,
2014.0,thousand people,Atyrau,1.0,KAZ,,,,,,,,,
2014.0,thousand people,Batys Kazakhstan,0.9,KAZ,,,,,,,,,
2014.0,thousand people,Zhambyl,1.6,KAZ,,,,,,,,,
2014.0,thousand people,Karagandy,1.6,KAZ,,,,,,,,,
2014.0,thousand people,Kostanay,1.0,KAZ,,,,,,,,,
2014.0,thousand people,Kyzylorda,1023.0,KAZ,,,,,,,,,
2014.0,thousand people,Mangistau,1.0,KAZ,,,,,,,,,
2014.0,thousand people,Ontustik Kazakhstan,3.7,KAZ,,,,,,,,,
2014.0,thousand people,Pavlodar,1.6,KAZ,,,,,,,,,
2014.0,thousand people,Soltustik Kazakhstan,0.6,KAZ,,,,,,,,,
2014.0,thousand people,Shygys Kazakhstan,2.0,KAZ,,,,,,,,,
2014.0,thousand people,Nur-Sultan city,0.6,KAZ,,,,,,,,,
2014.0,thousand people,Almaty city,0.3,KAZ,,,,,,,,,
2015.0,thousand people,,21.5,KAZ,,,,,,,,,
2015.0,thousand people,Akmola,2.0,KAZ,,,,,,,,,
2015.0,thousand people,Aktobe,2.1,KAZ,,,,,,,,,
2015.0,thousand people,Almaty,1.7,KAZ,,,,,,,,,
2015.0,thousand people,Atyrau,1.0,KAZ,,,,,,,,,
2015.0,thousand people,Batys Kazakhstan,0.9,KAZ,,,,,,,,,
2015.0,thousand people,Zhambyl,1.2,KAZ,,,,,,,,,
2015.0,thousand people,Karagandy,1.5,KAZ,,,,,,,,,
2015.0,thousand people,Kostanay,0.6,KAZ,,,,,,,,,
2015.0,thousand people,Kyzylorda,1.0,KAZ,,,,,,,,,
2015.0,thousand people,Mangistau,1.0,KAZ,,,,,,,,,
2015.0,thousand people,Ontustik Kazakhstan,2.9,KAZ,,,,,,,,,
2015.0,thousand people,Pavlodar,2.2,KAZ,,,,,,,,,
2015.0,thousand people,Soltustik Kazakhstan,0.9,KAZ,,,,,,,,,
2015.0,thousand people,Shygys Kazakhstan,1.5,KAZ,,,,,,,,,
2015.0,thousand people,Nur-Sultan city,0.6,KAZ,,,,,,,,,
2015.0,thousand people,Almaty city,0.5,KAZ,,,,,,,,,
