Year,UNIT_MEASURE,Value,M49_country_code,COMPOSITE_BREAKDOWN
2010,тонн СО2-экв/душу населения,18.56,KAZ,
2011,тонн СО2-экв/душу населения,17.78,KAZ,
2012,тонн СО2-экв/душу населения,18.11,KAZ,
2013,тонн СО2-экв/душу населения,18.5,KAZ,
2014,тонн СО2-экв/душу населения,19.81,KAZ,
2015,тонн СО2-экв/душу населения,20.25,KAZ,
2016,тонн СО2-экв/душу населения,20.12,KAZ,
2017,тонн СО2-экв/душу населения,21.26,KAZ,
2018,тонн СО2-экв/душу населения,21.96,KAZ,
2019,тонн СО2-экв/душу населения,19.8,KAZ,
2010,,153.6,KGZ,
2011,,212.4,KGZ,
2012,,217.7,KGZ,
2013,,225.5,KGZ,
2014,,302.6,KGZ,
2015,,304.9,KGZ,
2016,,264.3,KGZ,
2017,,248.2,KGZ,
2018,,283.6,KGZ,
2019,,251.6,KGZ,
2020,,253.276648,KGZ,
2010,,74.5,KGZ,Pollutants: Solid
2011,,90.6,KGZ,Pollutants: Solid
2012,,90.9,KGZ,Pollutants: Solid
2013,,80.0,KGZ,Pollutants: Solid
2014,,112.7,KGZ,Pollutants: Solid
2015,,121.8,KGZ,Pollutants: Solid
2016,,101.3,KGZ,Pollutants: Solid
2017,,126.1,KGZ,Pollutants: Solid
2018,,91.0,KGZ,Pollutants: Solid
2019,,76.5,KGZ,Pollutants: Solid
2020,,93.236078,KGZ,Pollutants: Solid
2010,,79.0,KGZ,Pollutants: Gaseous and liquid
2011,,121.8,KGZ,Pollutants: Gaseous and liquid
2012,,126.8,KGZ,Pollutants: Gaseous and liquid
2013,,145.6,KGZ,Pollutants: Gaseous and liquid
2014,,189.9,KGZ,Pollutants: Gaseous and liquid
2015,,183.1,KGZ,Pollutants: Gaseous and liquid
2016,,163.0,KGZ,Pollutants: Gaseous and liquid
2017,,122.1,KGZ,Pollutants: Gaseous and liquid
2018,,192.6,KGZ,Pollutants: Gaseous and liquid
2019,,175.1,KGZ,Pollutants: Gaseous and liquid
2020,,160.0,KGZ,Pollutants: Gaseous and liquid
2010,,39.5,KGZ,Pollutants: Sulphur dioxide
2011,,47.0,KGZ,Pollutants: Sulphur dioxide
2012,,27.1,KGZ,Pollutants: Sulphur dioxide
2013,,63.1,KGZ,Pollutants: Sulphur dioxide
2014,,92.3,KGZ,Pollutants: Sulphur dioxide
2015,,95.4,KGZ,Pollutants: Sulphur dioxide
2016,,80.6,KGZ,Pollutants: Sulphur dioxide
2017,,39.0,KGZ,Pollutants: Sulphur dioxide
2018,,90.3,KGZ,Pollutants: Sulphur dioxide
2019,,75.5,KGZ,Pollutants: Sulphur dioxide
2020,,69.0,KGZ,Pollutants: Sulphur dioxide
2010,,17.0,KGZ,Pollutants: Carbon monoxide
2011,,48.4,KGZ,Pollutants: Carbon monoxide
2012,,49.8,KGZ,Pollutants: Carbon monoxide
2013,,52.3,KGZ,Pollutants: Carbon monoxide
2014,,61.5,KGZ,Pollutants: Carbon monoxide
2015,,49.9,KGZ,Pollutants: Carbon monoxide
2016,,47.1,KGZ,Pollutants: Carbon monoxide
2017,,47.1,KGZ,Pollutants: Carbon monoxide
2018,,60.7,KGZ,Pollutants: Carbon monoxide
2019,,48.0,KGZ,Pollutants: Carbon monoxide
2020,,48.5,KGZ,Pollutants: Carbon monoxide
2010,,12.5,KGZ,Pollutants: Nitrogen oxide
2011,,15.4,KGZ,Pollutants: Nitrogen oxide
2012,,17.6,KGZ,Pollutants: Nitrogen oxide
2013,,17.3,KGZ,Pollutants: Nitrogen oxide
2014,,21.2,KGZ,Pollutants: Nitrogen oxide
2015,,20.0,KGZ,Pollutants: Nitrogen oxide
2016,,21.8,KGZ,Pollutants: Nitrogen oxide
2017,,19.5,KGZ,Pollutants: Nitrogen oxide
2018,,22.8,KGZ,Pollutants: Nitrogen oxide
2019,,25.5,KGZ,Pollutants: Nitrogen oxide
2020,,22.8,KGZ,Pollutants: Nitrogen oxide
