Year,UNIT_MEASURE,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2010.0,Percent,1.1,KAZ,,,,,
2011.0,Percent,1.1,KAZ,,,,,
2012.0,Percent,1.2,KAZ,,,,,
2013.0,Percent,1.5,KAZ,,,,,
2014.0,Percent,1.4,KAZ,,,,,
2015.0,Percent,1.2,KAZ,,,,,
2016.0,Percent,1.2,KAZ,,,,,
2017.0,Percent,1.3,KAZ,,,,,
2018.0,Percent,1.4,KAZ,,,,,
2019.0,Percent,1.7,KAZ,,,,,
2020.0,Percent,2.0,KAZ,,,,,
2010.0,,4.004914,KGZ,,,,,
2011.0,,2.513823,KGZ,,,,,
2012.0,,5.205147,KGZ,,,,,
2013.0,,3.503327,KGZ,,,,,
2014.0,,4.079201,KGZ,,,,,
2015.0,,2.863107,KGZ,,,,,
2016.0,,2.262054,KGZ,,,,,
2017.0,,2.558413,KGZ,,,,,
2018.0,,1.934557,KGZ,,,,,
2019.0,,2.1,KGZ,,,,,
2020.0,,2.1,KGZ,,,,,
,,,UZB,01_101_,Total,True,2000.0,0.0
,,,UZB,01_101_,Total,True,2001.0,0.0
,,,UZB,01_101_,Total,True,2002.0,0.0
,,,UZB,01_101_,Total,True,2003.0,0.0
,,,UZB,01_101_,Total,True,2004.0,0.0
,,,UZB,01_101_,Total,True,2005.0,0.0
,,,UZB,01_101_,Total,True,2006.0,0.0
,,,UZB,01_101_,Total,True,2007.0,0.0
,,,UZB,01_101_,Total,True,2008.0,0.0
,,,UZB,01_101_,Total,True,2009.0,0.0
,,,UZB,01_101_,Total,True,2010.0,15.9
,,,UZB,01_101_,Total,True,2011.0,17.2
,,,UZB,01_101_,Total,True,2012.0,18.1
,,,UZB,01_101_,Total,True,2013.0,17.6
,,,UZB,01_101_,Total,True,2014.0,17.6
,,,UZB,01_101_,Total,True,2015.0,16.1
,,,UZB,01_101_,Total,True,2016.0,15.3
,,,UZB,01_101_,Total,True,2017.0,19.1
,,,UZB,01_101_,Total,True,2018.0,22.9
,,,UZB,01_101_,Total,True,2019.0,20.3
,,,UZB,01_101_,Total,True,2020.0,18.1
,,,UZB,01_101_,Total,True,2021.0,0.0
