Year,UNIT_MEASURE,Regions,Value,M49_country_code
2010,thousands hectares,,13.16889724587988,KAZ
2010,thousands hectares,Akmola,571.6,KAZ
2010,thousands hectares,Aktobe,2582.5,KAZ
2010,thousands hectares,Almaty,5767.9,KAZ
2010,thousands hectares,Atyrau,3133.9,KAZ
2010,thousands hectares,Batys Kazakhstan,1875.9,KAZ
2010,thousands hectares,Zhambyl,2636.7,KAZ
2010,thousands hectares,Karagandy,960.1,KAZ
2010,thousands hectares,Kostanay,769.9,KAZ
2010,thousands hectares,Kyzylorda,2849.6,KAZ
2010,thousands hectares,Mangistau,1456.3,KAZ
2010,thousands hectares,Pavlodar,1297.2,KAZ
2010,thousands hectares,Soltustik Kazakhstan,56.0,KAZ
2010,thousands hectares,Turkistan,4066.6,KAZ
2010,thousands hectares,Shygys Kazakhstan,1292.6,KAZ
2010,thousands hectares,Almaty city,0.1,KAZ
2010,thousands hectares,Shymkent city,23.2,KAZ
2011,thousands hectares,,21.99198396793588,KAZ
2011,thousands hectares,Akmola,571.6,KAZ
2011,thousands hectares,Aktobe,2582.5,KAZ
2011,thousands hectares,Almaty,5767.9,KAZ
2011,thousands hectares,Atyrau,3133.9,KAZ
2011,thousands hectares,Batys Kazakhstan,1875.9,KAZ
2011,thousands hectares,Zhambyl,2636.7,KAZ
2011,thousands hectares,Karagandy,960.1,KAZ
2011,thousands hectares,Kostanay,769.9,KAZ
2011,thousands hectares,Kyzylorda,2849.6,KAZ
2011,thousands hectares,Mangistau,1456.3,KAZ
2011,thousands hectares,Pavlodar,1297.2,KAZ
2011,thousands hectares,Soltustik Kazakhstan,56.0,KAZ
2011,thousands hectares,Turkistan,4066.6,KAZ
2011,thousands hectares,Shygys Kazakhstan,1292.6,KAZ
2011,thousands hectares,Almaty city,0.1,KAZ
2011,thousands hectares,Shymkent city,23.2,KAZ
2012,thousands hectares,,27.2749298648304,KAZ
2012,thousands hectares,Akmola,571.6,KAZ
2012,thousands hectares,Aktobe,2582.5,KAZ
2012,thousands hectares,Almaty,5767.9,KAZ
2012,thousands hectares,Atyrau,3133.9,KAZ
2012,thousands hectares,Batys Kazakhstan,1875.9,KAZ
2012,thousands hectares,Zhambyl,2636.7,KAZ
2012,thousands hectares,Karagandy,960.1,KAZ
2012,thousands hectares,Kostanay,769.9,KAZ
2012,thousands hectares,Kyzylorda,2849.6,KAZ
2012,thousands hectares,Mangistau,1456.3,KAZ
