Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,Percent,,27.2,KAZ
2010,Percent,Corporate Income Tax,12.3,KAZ
2010,Percent,Royalties related to use of resources,14.9,KAZ
2011,Percent,,38.4,KAZ
2011,Percent,Corporate Income Tax,13.6,KAZ
2011,Percent,Royalties related to use of resources,24.8,KAZ
2012,Percent,,36.8,KAZ
2012,Percent,Corporate Income Tax,12.8,KAZ
2012,Percent,Royalties related to use of resources,24.0,KAZ
2013,Percent,,34.6,KAZ
2013,Percent,Corporate Income Tax,12.6,KAZ
2013,Percent,Royalties related to use of resources,22.0,KAZ
2014,Percent,,32.0,KAZ
2014,Percent,Corporate Income Tax,12.1,KAZ
2014,Percent,Royalties related to use of resources,19.9,KAZ
2015,Percent,,12.9,KAZ
2015,Percent,Corporate Income Tax,4.5,KAZ
2015,Percent,Royalties related to use of resources,8.4,KAZ
2016,Percent,,14.1,KAZ
2016,Percent,Corporate Income Tax,5.5,KAZ
2016,Percent,Royalties related to use of resources,8.6,KAZ
2017,Percent,,18.5,KAZ
2017,Percent,Corporate Income Tax,7.2,KAZ
2017,Percent,Royalties related to use of resources,11.3,KAZ
2018,Percent,,24.1,KAZ
2018,Percent,Corporate Income Tax,10.4,KAZ
2018,Percent,Royalties related to use of resources,13.8,KAZ
2019,Percent,,22.6,KAZ
2019,Percent,Corporate Income Tax,9.9,KAZ
2019,Percent,Royalties related to use of resources,12.7,KAZ
2020,Percent,,12.6,KAZ
2020,Percent,Corporate Income Tax,3.9,KAZ
2020,Percent,Royalties related to use of resources,8.7,KAZ
2021,Percent,,18.6,KAZ
2021,Percent,Corporate Income Tax,6.9,KAZ
2021,Percent,Royalties related to use of resources,11.7,KAZ
