Year,UNIT_MEASURE,SERIES,Value,M49_country_code
2010,Percent,_L_KZ_020502_1D,4.7,KAZ
2010,Percent,_L_KZ_020502_1E,0.7,KAZ
2010,Percent,_L_KZ_020502_1C,0.9,KAZ
2010,Percent,_L_KZ_020502_1B,-25.1,KAZ
2010,Percent,_L_KZ_020502_1A,2.6,KAZ
2011,Percent,_L_KZ_020502_1D,19.3,KAZ
2011,Percent,_L_KZ_020502_1E,7.1,KAZ
2011,Percent,_L_KZ_020502_1C,16.8,KAZ
2011,Percent,_L_KZ_020502_1B,4.3,KAZ
2011,Percent,_L_KZ_020502_1A,2.0,KAZ
2012,Percent,_L_KZ_020502_1D,34.8,KAZ
2012,Percent,_L_KZ_020502_1E,3.1,KAZ
2012,Percent,_L_KZ_020502_1C,10.3,KAZ
2012,Percent,_L_KZ_020502_1B,2.0,KAZ
2012,Percent,_L_KZ_020502_1A,4.7,KAZ
2013,Percent,_L_KZ_020502_1D,36.0,KAZ
2013,Percent,_L_KZ_020502_1E,3.4,KAZ
2013,Percent,_L_KZ_020502_1C,6.1,KAZ
2013,Percent,_L_KZ_020502_1B,0.8,KAZ
2013,Percent,_L_KZ_020502_1A,1.4,KAZ
2014,Percent,_L_KZ_020502_1D,37.3,KAZ
2014,Percent,_L_KZ_020502_1E,4.5,KAZ
2014,Percent,_L_KZ_020502_1C,5.1,KAZ
2014,Percent,_L_KZ_020502_1B,1.5,KAZ
2014,Percent,_L_KZ_020502_1A,6.6,KAZ
2015,Percent,_L_KZ_020502_1D,15.1,KAZ
2015,Percent,_L_KZ_020502_1E,4.5,KAZ
2015,Percent,_L_KZ_020502_1C,5.1,KAZ
2015,Percent,_L_KZ_020502_1B,1.5,KAZ
2015,Percent,_L_KZ_020502_1A,6.6,KAZ
2016,Percent,_L_KZ_020502_1D,-63.3,KAZ
2016,Percent,_L_KZ_020502_1E,42.3,KAZ
2016,Percent,_L_KZ_020502_1C,5.89,KAZ
2016,Percent,_L_KZ_020502_1B,0.16,KAZ
2016,Percent,_L_KZ_020502_1A,1.7,KAZ
2017,Percent,_L_KZ_020502_1D,40.9,KAZ
2017,Percent,_L_KZ_020502_1E,15.2,KAZ
2017,Percent,_L_KZ_020502_1C,4.6,KAZ
2017,Percent,_L_KZ_020502_1B,3.8,KAZ
2017,Percent,_L_KZ_020502_1A,5.1,KAZ
2018,Percent,_L_KZ_020502_1D,41.0,KAZ
2018,Percent,_L_KZ_020502_1E,3.7,KAZ
2018,Percent,_L_KZ_020502_1C,2.9,KAZ
2018,Percent,_L_KZ_020502_1B,2.3,KAZ
2018,Percent,_L_KZ_020502_1A,1.5,KAZ
2019,Percent,_L_KZ_020502_1D,55.5,KAZ
2019,Percent,_L_KZ_020502_1E,2.5,KAZ
2019,Percent,_L_KZ_020502_1C,2.3,KAZ
2019,Percent,_L_KZ_020502_1B,2.3,KAZ
2019,Percent,_L_KZ_020502_1A,5.2,KAZ
2020,Percent,_L_KZ_020502_1E,4.1,KAZ
2020,Percent,_L_KZ_020502_1C,1.4,KAZ
2020,Percent,_L_KZ_020502_1B,3.1,KAZ
2020,Percent,_L_KZ_020502_1A,2.8,KAZ
