Year,UNIT_MEASURE,Area,Value,M49_country_code
2010,per 100000 population,,95.3,KAZ
2010,per 100000 population,urban,107.3,KAZ
2010,per 100000 population,rural,81.1,KAZ
2011,per 100000 population,,86.6,KAZ
2011,per 100000 population,urban,97.1,KAZ
2011,per 100000 population,rural,74.0,KAZ
2012,per 100000 population,,81.7,KAZ
2012,per 100000 population,urban,91.0,KAZ
2012,per 100000 population,rural,70.4,KAZ
2013,per 100000 population,,73.4,KAZ
2013,per 100000 population,urban,85.9,KAZ
2013,per 100000 population,rural,61.2,KAZ
2014,per 100000 population,,66.4,KAZ
2014,per 100000 population,urban,78.6,KAZ
2014,per 100000 population,rural,50.6,KAZ
2015,per 100000 population,,58.5,KAZ
2015,per 100000 population,urban,63.2,KAZ
2015,per 100000 population,rural,52.1,KAZ
2016,per 100000 population,,52.7,KAZ
2016,per 100000 population,urban,55.6,KAZ
2016,per 100000 population,rural,48.9,KAZ
2017,per 100000 population,,52.2,KAZ
2017,per 100000 population,urban,54.4,KAZ
2017,per 100000 population,rural,49.2,KAZ
2018,per 100000 population,,48.2,KAZ
2018,per 100000 population,urban,50.2,KAZ
2018,per 100000 population,rural,45.3,KAZ
2019,per 100000 population,,45.6,KAZ
2019,per 100000 population,urban,47.7,KAZ
2019,per 100000 population,rural,42.6,KAZ
2020,per 100000 population,,35.7,KAZ
2020,per 100000 population,urban,35.9,KAZ
2020,per 100000 population,rural,35.4,KAZ
