Year,UNIT_MEASURE,Area,Regions,Value,M49_country_code
2012,Percent,,Akmola,4.95,KAZ
2012,Percent,,Aktobe,1.87,KAZ
2012,Percent,,Almaty,6.19,KAZ
2012,Percent,,Atyrau,1.54,KAZ
2012,Percent,,Batys Kazakhstan,6.38,KAZ
2012,Percent,,Zhambyl,1.93,KAZ
2012,Percent,,Karagandy,4.32,KAZ
2012,Percent,,Kostanay,12.09,KAZ
2012,Percent,,Kyzylorda,0.2,KAZ
2012,Percent,,Mangistau,0.03,KAZ
2012,Percent,,Ontustik Kazakhstan,0.85,KAZ
2012,Percent,,Pavlodar,5.65,KAZ
2012,Percent,,Soltustik Kazakhstan,5.54,KAZ
2012,Percent,,Shygys Kazakhstan,4.62,KAZ
2012,Percent,urban,,4.14,KAZ
2012,Percent,urban,Akmola,8.47,KAZ
2012,Percent,urban,Aktobe,2.86,KAZ
2012,Percent,urban,Almaty,5.68,KAZ
2012,Percent,urban,Atyrau,1.72,KAZ
2012,Percent,urban,Batys Kazakhstan,9.82,KAZ
2012,Percent,urban,Zhambyl,2.08,KAZ
2012,Percent,urban,Karagandy,4.62,KAZ
2012,Percent,urban,Kostanay,17.41,KAZ
2012,Percent,urban,Kyzylorda,0.2,KAZ
2012,Percent,urban,Mangistau,0.03,KAZ
2012,Percent,urban,Turkistan,0.26,KAZ
2012,Percent,urban,Pavlodar,7.4,KAZ
2012,Percent,urban,Soltustik Kazakhstan,11.5,KAZ
2012,Percent,urban,Shygys Kazakhstan,6.71,KAZ
2012,Percent,rural,,2.59,KAZ
2012,Percent,rural,Akmola,1.49,KAZ
2012,Percent,rural,Aktobe,0.0,KAZ
2012,Percent,rural,Almaty,6.35,KAZ
2012,Percent,rural,Atyrau,1.35,KAZ
2012,Percent,rural,Batys Kazakhstan,2.51,KAZ
2012,Percent,rural,Zhambyl,1.8,KAZ
2012,Percent,rural,Karagandy,2.97,KAZ
2012,Percent,rural,Kostanay,5.83,KAZ
2012,Percent,rural,Kyzylorda,0.2,KAZ
2012,Percent,rural,Mangistau,0.06,KAZ
2012,Percent,rural,Turkistan,1.28,KAZ
2012,Percent,rural,Pavlodar,1.14,KAZ
2012,Percent,rural,Soltustik Kazakhstan,0.62,KAZ
2012,Percent,rural,Shygys Kazakhstan,1.16,KAZ
2013,Percent,,,3.69,KAZ
2013,Percent,,Akmola,4.93,KAZ
2013,Percent,,Aktobe,5.94,KAZ
2013,Percent,,Almaty,6.18,KAZ
2013,Percent,,Atyrau,1.63,KAZ
2013,Percent,,Batys Kazakhstan,6.18,KAZ
2013,Percent,,Zhambyl,1.63,KAZ
2013,Percent,,Karagandy,4.31,KAZ
2013,Percent,,Kostanay,12.09,KAZ
2013,Percent,,Kyzylorda,0.2,KAZ
2013,Percent,,Mangistau,0.03,KAZ
2013,Percent,,Ontustik Kazakhstan,0.87,KAZ
2013,Percent,,Pavlodar,5.94,KAZ
2013,Percent,,Soltustik Kazakhstan,5.61,KAZ
2013,Percent,,Shygys Kazakhstan,4.75,KAZ
2013,Percent,urban,,4.44,KAZ
2013,Percent,urban,Akmola,8.44,KAZ
2013,Percent,urban,Aktobe,8.68,KAZ
2013,Percent,urban,Almaty,5.52,KAZ
2013,Percent,urban,Atyrau,1.79,KAZ
2013,Percent,urban,Batys Kazakhstan,10.13,KAZ
2013,Percent,urban,Zhambyl,1.79,KAZ
2013,Percent,urban,Karagandy,4.61,KAZ
2013,Percent,urban,Kostanay,17.3,KAZ
2013,Percent,urban,Kyzylorda,0.19,KAZ
2013,Percent,urban,Mangistau,0.0,KAZ
2013,Percent,urban,Turkistan,0.23,KAZ
2013,Percent,urban,Pavlodar,7.76,KAZ
2013,Percent,urban,Soltustik Kazakhstan,11.52,KAZ
2013,Percent,urban,Shygys Kazakhstan,6.94,KAZ
2013,Percent,rural,,2.58,KAZ
2013,Percent,rural,Akmola,1.49,KAZ
2013,Percent,rural,Aktobe,0.89,KAZ
2013,Percent,rural,Almaty,6.39,KAZ
2013,Percent,rural,Atyrau,1.47,KAZ
2013,Percent,rural,Batys Kazakhstan,1.72,KAZ
2013,Percent,rural,Zhambyl,1.49,KAZ
2013,Percent,rural,Karagandy,2.98,KAZ
2013,Percent,rural,Kostanay,5.83,KAZ
2013,Percent,rural,Kyzylorda,0.19,KAZ
2013,Percent,rural,Mangistau,0.05,KAZ
2013,Percent,rural,Turkistan,1.33,KAZ
2013,Percent,rural,Pavlodar,1.15,KAZ
2013,Percent,rural,Soltustik Kazakhstan,0.64,KAZ
2013,Percent,rural,Shygys Kazakhstan,1.09,KAZ
2014,Percent,,,3.43,KAZ
2014,Percent,,Akmola,4.92,KAZ
2014,Percent,,Aktobe,5.87,KAZ
2014,Percent,,Almaty,6.38,KAZ
2014,Percent,,Atyrau,1.61,KAZ
2014,Percent,,Batys Kazakhstan,6.16,KAZ
2014,Percent,,Zhambyl,1.5,KAZ
2014,Percent,,Karagandy,4.14,KAZ
2014,Percent,,Kostanay,12.1,KAZ
2014,Percent,,Kyzylorda,0.2,KAZ
2014,Percent,,Mangistau,0.01,KAZ
2014,Percent,,Ontustik Kazakhstan,1.16,KAZ
2014,Percent,,Pavlodar,0.23,KAZ
2014,Percent,,Soltustik Kazakhstan,5.65,KAZ
2014,Percent,,Shygys Kazakhstan,5.07,KAZ
2014,Percent,urban,,3.87,KAZ
2014,Percent,urban,Akmola,8.44,KAZ
2014,Percent,urban,Aktobe,8.6,KAZ
2014,Percent,urban,Almaty,5.45,KAZ
2014,Percent,urban,Atyrau,1.78,KAZ
2014,Percent,urban,Batys Kazakhstan,10.06,KAZ
2014,Percent,urban,Zhambyl,1.12,KAZ
2014,Percent,urban,Karagandy,4.4,KAZ
2014,Percent,urban,Kostanay,17.2,KAZ
2014,Percent,urban,Kyzylorda,0.19,KAZ
2014,Percent,urban,Mangistau,0.0,KAZ
2014,Percent,urban,Turkistan,0.25,KAZ
2014,Percent,urban,Pavlodar,0.04,KAZ
2014,Percent,urban,Soltustik Kazakhstan,11.49,KAZ
2014,Percent,urban,Shygys Kazakhstan,7.1,KAZ
2014,Percent,rural,,2.78,KAZ
2014,Percent,rural,Akmola,1.48,KAZ
2014,Percent,rural,Aktobe,0.88,KAZ
2014,Percent,rural,Almaty,6.68,KAZ
2014,Percent,rural,Atyrau,1.43,KAZ
2014,Percent,rural,Batys Kazakhstan,1.73,KAZ
2014,Percent,rural,Zhambyl,1.78,KAZ
2014,Percent,rural,Karagandy,3.01,KAZ
2014,Percent,rural,Kostanay,5.88,KAZ
2014,Percent,rural,Kyzylorda,0.19,KAZ
2014,Percent,rural,Mangistau,0.02,KAZ
2014,Percent,rural,Turkistan,1.9,KAZ
2014,Percent,rural,Pavlodar,0.7,KAZ
2014,Percent,rural,Soltustik Kazakhstan,0.65,KAZ
2014,Percent,rural,Shygys Kazakhstan,1.64,KAZ
2015,Percent,,,3.4,KAZ
2015,Percent,,Akmola,4.9,KAZ
2015,Percent,,Aktobe,5.83,KAZ
2015,Percent,,Almaty,6.52,KAZ
2015,Percent,,Atyrau,1.82,KAZ
2015,Percent,,Batys Kazakhstan,6.15,KAZ
2015,Percent,,Zhambyl,1.61,KAZ
2015,Percent,,Karagandy,4.15,KAZ
2015,Percent,,Kostanay,12.1,KAZ
2015,Percent,,Kyzylorda,0.19,KAZ
2015,Percent,,Mangistau,0.02,KAZ
2015,Percent,,Ontustik Kazakhstan,0.88,KAZ
2015,Percent,,Pavlodar,0.24,KAZ
2015,Percent,,Soltustik Kazakhstan,5.93,KAZ
2015,Percent,,Shygys Kazakhstan,5.18,KAZ
2015,Percent,urban,,3.8,KAZ
2015,Percent,urban,Akmola,8.43,KAZ
2015,Percent,urban,Aktobe,8.51,KAZ
2015,Percent,urban,Almaty,5.43,KAZ
2015,Percent,urban,Atyrau,0.3,KAZ
2015,Percent,urban,Batys Kazakhstan,9.98,KAZ
2015,Percent,urban,Zhambyl,1.77,KAZ
2015,Percent,urban,Karagandy,4.39,KAZ
2015,Percent,urban,Kostanay,17.07,KAZ
2015,Percent,urban,Kyzylorda,0.19,KAZ
2015,Percent,urban,Mangistau,0.0,KAZ
2015,Percent,urban,Turkistan,0.15,KAZ
2015,Percent,urban,Pavlodar,0.08,KAZ
2015,Percent,urban,Soltustik Kazakhstan,11.93,KAZ
2015,Percent,urban,Shygys Kazakhstan,7.2,KAZ
2015,Percent,rural,,4.75,KAZ
2015,Percent,rural,Akmola,1.48,KAZ
2015,Percent,rural,Aktobe,15.68,KAZ
2015,Percent,rural,Almaty,1.16,KAZ
2015,Percent,rural,Atyrau,0.92,KAZ
2015,Percent,rural,Batys Kazakhstan,11.41,KAZ
2015,Percent,rural,Zhambyl,1.06,KAZ
2015,Percent,rural,Karagandy,18.8,KAZ
2015,Percent,rural,Kostanay,21.15,KAZ
2015,Percent,rural,Kyzylorda,0.15,KAZ
2015,Percent,rural,Mangistau,0.0,KAZ
2015,Percent,rural,Turkistan,0.22,KAZ
2015,Percent,rural,Pavlodar,0.69,KAZ
2015,Percent,rural,Soltustik Kazakhstan,0.17,KAZ
