Year,UNIT_MEASURE,Value,M49_country_code
2010,the number of branches of commercial banks per 100 000 adults,3.3,KAZ
2010,number of ATMs per 100 000 adults,66.1,KAZ
2011,the number of branches of commercial banks per 100 000 adults,3.1,KAZ
2011,number of ATMs per 100 000 adults,69.5,KAZ
2012,the number of branches of commercial banks per 100 000 adults,3.2,KAZ
2012,number of ATMs per 100 000 adults,73.3,KAZ
2013,the number of branches of commercial banks per 100 000 adults,3.2,KAZ
2013,number of ATMs per 100 000 adults,75.0,KAZ
2014,the number of branches of commercial banks per 100 000 adults,3.3,KAZ
2014,number of ATMs per 100 000 adults,76.3,KAZ
2015,the number of branches of commercial banks per 100 000 adults,3.4,KAZ
2015,number of ATMs per 100 000 adults,75.2,KAZ
2016,the number of branches of commercial banks per 100 000 adults,2.9,KAZ
2016,number of ATMs per 100 000 adults,78.0,KAZ
2017,the number of branches of commercial banks per 100 000 adults,2.8,KAZ
2017,number of ATMs per 100 000 adults,78.6,KAZ
2018,the number of branches of commercial banks per 100 000 adults,2.7,KAZ
2018,number of ATMs per 100 000 adults,88.8,KAZ
2019,the number of branches of commercial banks per 100 000 adults,2.3,KAZ
2019,number of ATMs per 100 000 adults,87.1,KAZ
2020,the number of branches of commercial banks per 100 000 adults,2.2,KAZ
2020,number of ATMs per 100 000 adults,97.2,KAZ
