Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value,M49_country_code
2010,million US dollars,Kazakhstan as beneficiary,1160.0,KAZ
2011,million US dollars,Kazakhstan as beneficiary,1102.9,KAZ
2012,million US dollars,Kazakhstan as beneficiary,831.7,KAZ
2013,million US dollars,Kazakhstan as beneficiary,905.9,KAZ
2013,million US dollars,Kazakhstan as donor,0.07,KAZ
2014,million US dollars,Kazakhstan as beneficiary,1208.4,KAZ
2014,million US dollars,Kazakhstan as donor,0.17,KAZ
2015,million US dollars,Kazakhstan as beneficiary,609.4,KAZ
2015,million US dollars,Kazakhstan as donor,0.69,KAZ
2016,million US dollars,Kazakhstan as beneficiary,1441.6,KAZ
2016,million US dollars,Kazakhstan as donor,1.84,KAZ
2017,million US dollars,Kazakhstan as beneficiary,402.1,KAZ
2017,million US dollars,Kazakhstan as donor,0.11,KAZ
2018,million US dollars,Kazakhstan as beneficiary,378.9,KAZ
2018,million US dollars,Kazakhstan as donor,3.53,KAZ
2019,million US dollars,Kazakhstan as beneficiary,845.0,KAZ
2019,million US dollars,Kazakhstan as donor,2.5,KAZ
