Year,SERIES,Value,M49_country_code
2007,Number of appeals to the Ombudsman,3014,KGZ
2008,Number of appeals to the Ombudsman,2136,KGZ
2009,Number of appeals to the Ombudsman,1742,KGZ
2010,Number of appeals to the Ombudsman,1862,KGZ
2011,Number of appeals to the Ombudsman,2098,KGZ
2012,Number of appeals to the Ombudsman,2843,KGZ
2013,Number of appeals to the Ombudsman,2466,KGZ
2014,Number of appeals to the Ombudsman,2411,KGZ
2015,Number of appeals to the Ombudsman,2483,KGZ
2016,Number of appeals to the Ombudsman,3800,KGZ
2017,Number of appeals to the Ombudsman,3242,KGZ
2018,Number of appeals to the Ombudsman,3237,KGZ
2019,Number of appeals to the Ombudsman,3923,KGZ
2020,Number of appeals to the Ombudsman,3255,KGZ
2007,Number of successful appeals to the Ombudsman,619,KGZ
2010,Number of successful appeals to the Ombudsman,309,KGZ
2011,Number of successful appeals to the Ombudsman,196,KGZ
2012,Number of successful appeals to the Ombudsman,501,KGZ
2013,Number of successful appeals to the Ombudsman,384,KGZ
2015,Number of successful appeals to the Ombudsman,374,KGZ
2016,Number of successful appeals to the Ombudsman,615,KGZ
2017,Number of successful appeals to the Ombudsman,531,KGZ
2018,Number of successful appeals to the Ombudsman,376,KGZ
2019,Number of successful appeals to the Ombudsman,445,KGZ
2020,Number of successful appeals to the Ombudsman,343,KGZ
