Year,Reference area,GeoCode,Value,M49_country_code
2012,,,5.58,KGZ
2013,,,5.58,KGZ
2014,,,5.67,KGZ
2015,,,5.67,KGZ
2016,,,5.67,KGZ
2017,,,5.58,KGZ
2018,,,5.6,KGZ
2019,,,5.6,KGZ
2020,,,5.6,KGZ
2012,Batken,KG05,0.8,KGZ
2013,Batken,KG05,0.8,KGZ
2014,Batken,KG05,0.8,KGZ
2015,Batken,KG05,0.8,KGZ
2016,Batken,KG05,0.8,KGZ
2017,Batken,KG05,0.8,KGZ
2018,Batken,KG05,0.8,KGZ
2019,Batken,KG05,0.8,KGZ
2020,Batken,KG05,0.8,KGZ
2012,Jalal-Abad,KG03,1.9,KGZ
2013,Jalal-Abad,KG03,1.9,KGZ
2014,Jalal-Abad,KG03,1.9,KGZ
2015,Jalal-Abad,KG03,1.69,KGZ
2016,Jalal-Abad,KG03,1.69,KGZ
2017,Jalal-Abad,KG03,1.9,KGZ
2018,Jalal-Abad,KG03,1.9,KGZ
2019,Jalal-Abad,KG03,1.9,KGZ
2020,Jalal-Abad,KG03,1.9,KGZ
2012,Issyk-Kul,KG02,0.7,KGZ
2013,Issyk-Kul,KG02,0.7,KGZ
2014,Issyk-Kul,KG02,0.7,KGZ
2015,Issyk-Kul,KG02,0.7,KGZ
2016,Issyk-Kul,KG02,0.7,KGZ
2017,Issyk-Kul,KG02,0.7,KGZ
2018,Issyk-Kul,KG02,0.7,KGZ
2019,Issyk-Kul,KG02,0.7,KGZ
2020,Issyk-Kul,KG02,0.7,KGZ
2012,Naryn,KG04,0.7,KGZ
2013,Naryn,KG04,0.7,KGZ
2014,Naryn,KG04,0.7,KGZ
2015,Naryn,KG04,0.67,KGZ
2016,Naryn,KG04,0.67,KGZ
2017,Naryn,KG04,0.68,KGZ
2018,Naryn,KG04,0.7,KGZ
2019,Naryn,KG04,0.7,KGZ
2020,Naryn,KG04,0.7,KGZ
2012,Osh,KG06,0.9,KGZ
2013,Osh,KG06,0.9,KGZ
2014,Osh,KG06,0.96,KGZ
2015,Osh,KG06,0.97,KGZ
2016,Osh,KG06,0.97,KGZ
2017,Osh,KG06,0.9,KGZ
2018,Osh,KG06,0.9,KGZ
2019,Osh,KG06,0.9,KGZ
2020,Osh,KG06,0.9,KGZ
2012,Talas,KG07,0.3,KGZ
2013,Talas,KG07,0.3,KGZ
2014,Talas,KG07,0.3,KGZ
2015,Talas,KG07,0.3,KGZ
2016,Talas,KG07,0.3,KGZ
2017,Talas,KG07,0.3,KGZ
2018,Talas,KG07,0.3,KGZ
2019,Talas,KG07,0.3,KGZ
2020,Talas,KG07,0.3,KGZ
2012,Chui,KG08,0.2,KGZ
2013,Chui,KG08,0.2,KGZ
2014,Chui,KG08,0.2,KGZ
2015,Chui,KG08,0.2,KGZ
2016,Chui,KG08,0.2,KGZ
2017,Chui,KG08,0.2,KGZ
2018,Chui,KG08,0.2,KGZ
2019,Chui,KG08,0.2,KGZ
2020,Chui,KG08,0.2,KGZ
